Theia 1422                    ; Aps  ; 14 39 53.1 -72 02 18; Op    ; OC   ;   516.00;   661;     ; 9.250;* ;                                                       ;
TC 1453-7658                  ; Aps  ; 14 57 33.0 -77 08 15; Op    ; OCR? ;    78.00;   281;0.120; 8.400;* ;                                                       ;Found 11*, PMs= -17..-10, -15..-7, good RVs
Theia 1238                    ; Aps  ; 14 59 12.0 -73 12 59; Op    ; OC   ;   991.00;   613;     ; 9.050;* ;                                                       ;
IC 4499                       ; Aps  ; 15 00 19.0 -82 12 49; Op    ; GC   ;    12.00; 19030;0.230;10.100;* ;                                                       ;Surrounded by a halo
Theia 94                      ; Aps  ; 15 04 06.9 -79 46 26; Op    ; OC   ;   700.00;   199;     ; 7.550;* ;                                                       ;
UPK 605                       ; Aps  ; 15 05 02.1 -71 37 30; Op    ; OC   ;    33.48;   712;     ; 8.200;* ;                                                       ;
Theia 1216                    ; Aps  ; 15 16 29.3 -71 29 19; Op    ; OC   ;   770.00;   490;     ; 9.050;* ;                                                       ;
Theia 1351                    ; Aps  ; 15 20 28.2 -82 01 15; Op    ; OC   ;   618.00;   251;     ; 9.250;* ;                                                       ;
OPD 74                        ; Aps  ; 15 23 18.7 -71 36 02; Op    ; MG   ;  1280.00;    58;     ;      ;* ;                                                       ;Found 8* to G<16.5, PMs =-97..-79, -77..-43
Theia 452                     ; Aps  ; 15 45 12.6 -71 49 35; Op    ; OC   ;  3384.00;   461;     ; 8.250;* ;                                                       ;
NGC 6101                      ; Aps  ; 16 25 49.0 -72 12 06; Op    ; GC   ;    10.00; 14010;0.050;10.100;* ;                                                       ;Contain an unexpected large number of Black Holes
Theia 1246                    ; Aps  ; 16 30 55.5 -75 32 31; Op    ; OC   ;   421.00;   712;     ; 9.050;* ;                                                       ;
OPD 84                        ; Aps  ; 16 44 20.8 -73 45 27; Op    ; MG   ;   880.00;   292;     ;      ;* ;                                                       ;Found 7* to G < 13, good RVs
Theia 1602                    ; Aps  ; 16 49 19.1 -71 39 44; Op    ; OC   ;   414.00;   736;     ; 9.450;* ;                                                       ;
Theia 1556                    ; Aps  ; 16 58 44.2 -72 58 22; Op    ; OC   ;   271.00;   647;     ; 9.450;* ;                                                       ;
Theia 786                     ; Aps  ; 17 02 15.7 -72 59 21; Op    ; OC   ;  2404.00;   149;     ; 8.650;* ;                                                       ;
Theia 1423                    ; Aps  ; 17 43 17.8 -70 01 12; Op    ; OC   ;   633.00;   676;     ; 9.250;* ;                                                       ;
Theia 1089                    ; Aps  ; 17 46 16.5 -68 53 46; Op    ; OC   ;  1969.00;   128;     ; 8.950;* ;                                                       ;
Theia 374                     ; Aps  ; 17 47 30.3 -68 16 10; Op    ; OC   ;   688.00;   262;     ; 8.150;* ;                                                       ;
Theia 798                     ; Aps  ; 17 52 20.7 -78 31 08; Op    ; OC   ;   933.00;   252;     ; 8.650;* ;                                                       ;
Theia 1615                    ; Aps  ; 17 55 57.0 -72 41 56; Op    ; OC   ;   727.00;   467;     ; 9.450;* ;                                                       ;
Theia 1327                    ; Aps  ; 18 03 12.3 -78 33 24; Op    ; OC   ;   860.00;   688;     ; 9.150;* ;                                                       ;
Theia 696                     ; Aps  ; 18 10 52.7 -72 22 28; Op    ; OC   ;   413.00;   332;     ; 8.550;* ;                                                       ;
2MASS J1842-0330              ; Aql  ; 18 42 19.9 -03 30 09; IR    ; OC   ;     1.00;  3430;     ;      ;* ;                                                       ;
Bica 77                       ; Aql  ; 18 42 51.5 -03 43 57; IR    ; OC?  ;     1.40;  3400;     ;      ;* ;                                                       ;Somewhat dubious
Ryu 901                       ; Aql  ; 18 43 01.3 -03 34 33; IR    ; EC   ;     1.60;  7400;     ;      ;* ;                                                       ;In HII reg Lockman G28.78+0.25, dist from Anderson+ 2014
LMR 64                        ; Aql  ; 18 43 01.8 -03 47 28; IR    ; SFR  ;    13.50;  8700;     ;      ;* ;                                                       ;
SUH 16                        ; Aql  ; 18 43 03.2 -03 41 46; IR    ; EC   ;     0.60;  9600;     ;      ;* ;                                                       ;In HII reg HRDS G28.68+0.17, dist from Anderson+ 2012
BDSB 124                      ; Aql  ; 18 43 16.0 -03 35 42; IR    ; EC   ;     1.20;  7813;1.670; 7.900;* ;                                                       ;In HII reg WAM G28.80+0.17
UPK 38                        ; Aql  ; 18 43 25.4 -01 38 58; Op    ; OC   ;     6.34;   575;     ; 6.850;* ;                                                       ;
Russeil 59                    ; Aql  ; 18 43 29.1 -03 50 19; IR    ; SFR  ;     2.00;  6000;     ;      ;  ;                                                       ;
UCEC 4                        ; Aql  ; 18 43 46.0 -03 35 30; IR    ; EC   ;     0.75;  6800;     ;      ;* ;IRAS 18411-0338                                        ;In HII reg WHR 18411-0338
