Name                   ;Cns  ;RA          De       ;Wv   ;Type ;   Diam ;  Dist;    Age;Aliases                                                ;Notes
BDB 117                ;Cas  ;02 50 08.0 +61 59 47 ;IR   ;OC?  ;    2.70;      ;       ;AFGL 5085 Cl, IRAS 02461+6147                          ;
BDB 121                ;Cas  ;02 50 47.3 +60 39 00 ;IR   ;OCR  ;    8.40; 12998;   7.90;IRAS 02459+6029, FSR 608                               ;Overlaps with corona of IC 1848
GLM-G360 128 A         ;Cas  ;02 51 07.9 +60 25 02 ;Op   ;OC?  ;    2.60;      ;       ;Bica 224                                               ;In IC 1848, forms a pair of compact clusters
FSR 602                ;Cas  ;02 51 10.0 +62 33 41 ;Op   ;OC   ;    8.00;      ;       ;                                                       ;
GLM-G360 128 B         ;Cas  ;02 51 14.3 +60 23 09 ;Op   ;OC?  ;    2.00;      ;       ;Bica 225                                               ;In IC 1848, forms a pair of compact clusters
IC 1848                ;Cas  ;02 51 25.2 +60 25 08 ;Op   ;OC   ;   24.00;  2251;   6.84;Collinder 32, Collinder 33                             ;
Lotkin-Popova 9        ;Cas  ;02 51 32.4 +60 34 12 ;Op   ;OC   ;    8.00;  2793;  7.70 ;IC 1848, FF 1943                                       ;
Camargo 779            ;Cas  ;02 51 33.0 +60 03 52 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;In mult system, in comet neb
Camargo 778            ;Cas  ;02 51 35.0 +60 32 50 ;Op   ;OC?  ;    2.00;      ;       ;                                                       ;Small dusty core, in multiple syst
FSR 576                ;Cas  ;02 51 41.3 +69 14 42 ;Op   ;OCR  ;   13.20;  5200;   8.55;                                                       ;Strongly reddened cluster
Camargo 770            ;Cas  ;02 51 43.0 +62 10 24 ;Op   ;OC?  ;    3.40;      ;       ;                                                       ;Prominent dusty
Camargo 780            ;Cas  ;02 51 54.0 +60 07 01 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;Impr, in comet neb, multip syst
Alessi 95              ;Cas  ;02 52 15.0 +68 53 19 ;Op   ;OC   ;   24.00;   429;   8.20;Cas R1, SU Cas Cl                                      ;
Camargo 750            ;Cas  ;02 52 17.0 +60 03 16 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;Core in cometary nebula, in multiple system
BDB 123                ;Cas  ;02 52 19.0 +60 34 59 ;IR   ;OC?  ;    1.60;      ;       ;IRAS 02484+6022                                        ;
LMR 137                ;Cas  ;02 53 34.0 +60 28 54 ;IR   ;OB   ;   77.00;  3200;       ;                                                       ;
Lotkin-Popova 10       ;Cas  ;02 54 03.6 +60 39 36 ;Op   ;OC   ;    5.20;  2024;  8.74 ;SAI 23                                                 ;
SAI 23                 ;Cas  ;02 54 08.3 +60 39 19 ;IR   ;OC?  ;    7.60;  2700;   6.60;GLM-G360 129                                           ;
Majaess 31             ;Cas  ;02 54 25.0 +58 10 05 ;IR   ;OC?  ;   18.00;      ;       ;                                                       ;
BDB 118                ;Cas  ;02 54 30.5 +62 31 30 ;IR   ;OC   ;   25.80;  2056;   6.80;IRAS 02497+6217                                        ;
MTG 1                  ;Cas  ;02 54 31.0 +69 20 32 ;IR   ;OC   ;    6.00;   950;       ;FSR 579                                                ;Very nice cluster in WISE, in 2012MNRAS.421.1040M, distance is upper limit
BDB 124                ;Cas  ;02 55 15.6 +60 36 00 ;IR   ;OCR  ;    8.40;  2028;   7.80;BRC12 Grp, IRAS 02511+6023                             ;
Camargo 782            ;Cas  ;02 55 38.0 +60 38 21 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;2 shock fronts, in multip syst
FSR 581                ;Cas  ;02 56 06.2 +68 49 30 ;Op   ;OC?  ;   16.80;   469;   8.40;Theia 123                                              ;
Bica 226               ;Cas  ;02 57 02.0 +60 41 14 ;IR   ;OC   ;    0.50;      ;       ;                                                       ;
Camargo 761            ;Cas  ;02 57 21.0 +60 39 54 ;IR   ;OC?  ;    6.00;      ;       ;                                                       ;In mult cluster system
BDSB 58                ;Cas  ;02 57 28.0 +60 41 37 ;IR   ;OC?  ;    2.40;      ;       ;                                                       ;
Bica 227               ;Cas  ;02 57 34.0 +60 38 36 ;IR   ;OC   ;    2.30;      ;       ;                                                       ;In Sh2-199, IC 1848, winds
Saloranta 5            ;Cas  ;02 57 35.0 +64 25 57 ;Op   ;OC?  ;    6.50;      ;       ;                                                       ;
Camargo 781            ;Cas  ;02 58 08.0 +61 12 54 ;IR   ;OC?  ;    4.00;      ;       ;                                                       ;
TKMLM 1                ;Cas  ;02 58 28.0 +57 37 30 ;Op   ;OC   ;    8.00;  2540;       ;HD 18391 Cl                                            ;
Majaess 32             ;Cas  ;02 58 41.0 +62 26 41 ;IR   ;OC?  ;   18.00;      ;       ;                                                       ;
FSR 604                ;Cas  ;02 58 50.0 +63 34 51 ;Op   ;OC?  ;    1.70;      ;       ;                                                       ;
BDB 122                ;Cas  ;02 59 16.8 +62 18 00 ;IR   ;OC   ;   38.40;  2273;   6.65;IRAS 02541+6208                                        ;
Collinder 34           ;Cas  ;02 59 23.7 +60 33 58 ;Op   ;OC   ;   11.00;  2104;   7.38;W5 E Central Cl, HD 18326 Cl, SAI 24, NSN 1            ;
Kronberger J0259+6416  ;Cas  ;02 59 24.0 +64 16 18 ;Op   ;OC?  ;    1.70;      ;       ;                                                       ;
