Name                  ;Const;Coordinates (J2000.0);Wave ;Type ;Dia_arcm;Dst_pc;E(B-V);Log_t  ;Aliases                                                                                                    ;Comments
11 Cyg Grp            ;Cyg  ;19 36 44.0 +37 00 30 ;Op   ;***  ;   34.00;      ;      ;       ;TC 1936+3700, Saloranta J1936+3700                                                                         ;
12 Tri Grp            ;Tri  ;02 28 22.0 +29 47 48 ;Op   ;***  ;   33.00;      ;      ;       ;                                                                                                           ;
13 Sge Grp            ;Sge  ;20 00 00.0 +17 36 36 ;Op   ;***  ;   14.00;      ;      ;       ;                                                                                                           ;
15 Sge Grp            ;Sge  ;20 03 59.0 +17 03 42 ;Op   ;***  ;   13.00;      ;      ;       ;                                                                                                           ;
22 Lyn Grp            ;Lyn  ;07 30 17.0 +49 57 30 ;Op   ;***  ;   43.00;      ;      ;       ;                                                                                                           ;
24 Sgr Grp            ;Sgr  ;18 33 57.0 -24 08 00 ;Op   ;***  ;   20.00;      ;      ;       ;                                                                                                           ;
28 Peg Grp            ;Peg  ;22 10 03.0 +20 59 00 ;Op   ;***  ;   21.00;      ;      ;       ;TC 2210+2059, Raymond 11                                                                                   ;
29 Aur Grp            ;Cam  ;05 50 42.0 +56 54 12 ;Op   ;***  ;    3.50;      ;      ;       ;                                                                                                           ;
32 And Grp            ;And  ;00 40 47.0 +39 29 24 ;Op   ;***  ;   17.00;      ;      ;       ;                                                                                                           ;
41 Sex Grp            ;Sex  ;10 50 09.0 -08 54 12 ;Op   ;***  ;   45.00;      ;      ;       ;Kernya 3                                                                                                   ;
42 Lib Grp            ;Lib  ;15 39 22.0 -23 24 48 ;Op   ;***  ;   55.00;      ;      ;       ;                                                                                                           ;
43 Per Grp            ;Per  ;03 55 45.0 +50 38 00 ;Op   ;***  ;   25.00;      ;      ;       ;TC 0355+5038                                                                                               ;
51 Aql Grp            ;Aql  ;19 50 45.0 -10 52 18 ;Op   ;***  ;   51.00;      ;      ;       ;                                                                                                           ;
51 Eri Grp            ;Eri  ;04 37 47.0 -02 39 42 ;Op   ;***  ;   24.00;      ;      ;       ;                                                                                                           ;
57 Her Grp            ;Her  ;16 57 38.0 +25 10 48 ;Op   ;***  ;   26.00;      ;      ;       ;                                                                                                           ;
59 Dra Grp            ;Dra  ;19 14 12.0 +76 31 00 ;Op   ;***  ;   52.00;      ;      ;       ;                                                                                                           ;
6 Boo Grp             ;Boo  ;13 50 22.0 +21 15 48 ;Op   ;***  ;   18.00;      ;      ;       ;                                                                                                           ;
67 UMa Grp            ;UMa  ;12 02 15.0 +43 06 24 ;Op   ;***  ;   32.50;      ;      ;       ;                                                                                                           ;
7 Leo Grp             ;Leo  ;09 35 48.0 +14 19 12 ;Op   ;***  ;   35.00;      ;      ;       ;                                                                                                           ;
7 Sisters of the Pole ;Cep  ;00 00 00.0 +86 45 00 ;Op   ;***  ;  180.00;      ;      ;       ;                                                                                                           ;
79 Cyg Grp            ;Cyg  ;21 43 07.0 +38 07 06 ;Op   ;***  ;   33.00;      ;      ;       ;                                                                                                           ;
8 Lac Grp             ;Lac  ;22 35 53.0 +39 37 56 ;Op   ;***  ;   12.00;      ;      ;       ;                                                                                                           ;
9 Aur Grp             ;Aur  ;05 06 53.0 +51 38 42 ;Op   ;***  ;   17.50;      ;      ;       ;                                                                                                           ;
AH03 J0822-36.4       ;Pup  ;08 22 08.4 -36 24 18 ;Op   ;***  ;   16.80;      ;      ;       ;                                                                                                           ;
AH03 J2011+26.7       ;Vul  ;20 11 57.0 +26 44 08 ;Op   ;***  ;    4.50;      ;      ;       ;                                                                                                           ;
AM 0430-392           ;Cae  ;04 32 24.0 -39 17 36 ;Op   ;***  ;    2.00;      ;      ;       ;                                                                                                           ;
ASCC 102              ;Cyg  ;19 24 41.3 +29 57 36 ;Op   ;***  ;   19.80;      ;      ;       ;                                                                                                           ;
ASCC 109              ;Cyg  ;19 54 05.3 +34 32 42 ;Op   ;***  ;   40.80;      ;      ;       ;                                                                                                           ;
ASCC 116              ;Cyg  ;21 58 30.0 +54 29 24 ;Op   ;***  ;   16.80;      ;      ;       ;                                                                                                           ;
ASCC 119              ;Lac  ;22 18 39.6 +46 53 06 ;Op   ;***  ;   25.20;      ;      ;       ;                                                                                                           ;
ASCC 120              ;Cep  ;22 30 16.1 +57 11 42 ;Op   ;***  ;   25.20;      ;      ;       ;                                                                                                           ;
ASCC 121              ;Lac  ;22 30 49.7 +54 50 42 ;Op   ;***  ;   28.20;      ;      ;       ;                                                                                                           ;
ASCC 129              ;Cas  ;23 28 06.5 +55 36 47 ;Op   ;***  ;   31.20;      ;      ;       ;Alessi 70, Alessi J2327+55                                                                                 ;
ASCC 15               ;Aur  ;05 22 28.1 +36 33 54 ;Op   ;***  ;   19.80;      ;      ;       ;                                                                                                           ;
ASCC 21 A             ;Ori  ;05 31 37.0 +02 17 49 ;Op   ;***  ;   86.40;      ;      ;       ;                                                                                                           ;
ASCC 24               ;Mon  ;06 28 44.4 -06 58 48 ;Op   ;***  ;   34.80;      ;      ;       ;Alessi 47                                                                                                  ;
ASCC 25               ;Gem  ;06 45 32.4 +24 35 42 ;Op   ;***  ;   26.00;      ;      ;       ;                                                                                                           ;
ASCC 26               ;Mon  ;06 50 25.7 +07 15 00 ;Op   ;***  ;   19.20;      ;      ;       ;                                                                                                           ;
ASCC 27               ;Mon  ;06 53 56.4 -04 23 24 ;Op   ;***  ;   28.80;      ;      ;       ;                                                                                                           ;
ASCC 28               ;Mon  ;06 54 18.0 +00 09 00 ;Op   ;***  ;   32.40;      ;      ;       ;                                                                                                           ;
ASCC 3                ;Cas  ;00 31 04.8 +55 16 30 ;Op   ;***  ;   28.80;      ;      ;       ;                                                                                                           ;Resembles a B-association
ASCC 31               ;Mon  ;07 01 04.8 +03 31 48 ;Op   ;***  ;   20.40;      ;      ;       ;                                                                                                           ;
ASCC 34               ;CMi  ;07 10 37.2 +06 04 48 ;Op   ;***  ;   24.60;      ;      ;       ;                                                                                                           ;
ASCC 35               ;CMi  ;07 12 41.3 +02 06 18 ;Op   ;***  ;   28.20;      ;      ;       ;                                                                                                           ;
ASCC 38               ;Mon  ;07 27 00.0 -05 32 42 ;Op   ;***  ;   29.40;      ;      ;       ;                                                                                                           ;
ASCC 39               ;Pup  ;07 33 16.1 -22 57 00 ;Op   ;***  ;   31.20;      ;      ;       ;                                                                                                           ;
ASCC 4                ;Cas  ;00 53 16.8 +61 36 00 ;Op   ;***  ;   25.20;      ;      ;       ;                                                                                                           ;
ASCC 40               ;Pup  ;07 33 39.6 -13 45 54 ;Op   ;***  ;   18.60;      ;      ;       ;                                                                                                           ;
ASCC 43               ;Pup  ;07 53 04.1 -28 10 30 ;Op   ;***  ;   25.20;      ;      ;       ;                                                                                                           ;
ASCC 48               ;Vel  ;08 34 38.9 -37 37 48 ;Op   ;***  ;   20.40;      ;      ;       ;                                                                                                           ;
ASCC 52               ;Vel  ;09 27 59.3 -54 15 00 ;Op   ;***  ;   16.80;      ;      ;       ;                                                                                                           ;
ASCC 56               ;Car  ;10 08 18.5 -64 22 48 ;Op   ;***  ;   38.40;      ;      ;       ;                                                                                                           ;
ASCC 57               ;Car  ;10 10 55.2 -66 42 00 ;Op   ;***  ;   25.80;      ;      ;       ;                                                                                                           ;
ASCC 74               ;Cen  ;13 35 49.2 -58 48 36 ;Op   ;***  ;   21.60;      ;      ;       ;                                                                                                           ;
ASCC 75               ;Cen  ;13 47 14.9 -62 24 00 ;Op   ;***  ;   19.20;      ;      ;       ;                                                                                                           ;
ASCC 76               ;Cir  ;13 52 13.7 -66 24 18 ;Op   ;***  ;   26.40;      ;      ;       ;                                                                                                           ;
ASCC 78               ;TrA  ;15 05 36.5 -68 24 18 ;Op   ;***  ;   18.60;      ;      ;       ;                                                                                                           ;
ASCC 81               ;Nor  ;15 46 46.1 -50 59 42 ;Op   ;***  ;   19.20;      ;      ;       ;                                                                                                           ;
ASCC 91               ;Sco  ;17 48 50.4 -37 22 12 ;Op   ;***  ;   26.40;      ;      ;       ;                                                                                                           ;
ASCC 98               ;Sgr  ;18 42 39.6 -33 39 00 ;Op   ;***  ;   56.40;      ;      ;       ;                                                                                                           ;
Air ballon            ;PsA  ;21 30 00.0 -25 30 00 ;Op   ;***  ;   48.00;      ;      ;       ;                                                                                                           ;
Aladin 1              ;Cru  ;12 15 20.3 -60 22 18 ;Op   ;***  ;    0.85;      ;      ;       ;                                                                                                           ;
Aladin 17             ;Cru  ;12 00 30.0 -60 29 06 ;Op   ;***  ;   18.00;      ;      ;       ;                                                                                                           ;Dubious
Aladin 4              ;Cru  ;12 32 49.4 -61 53 18 ;Op   ;***  ;    2.80;      ;      ;       ;                                                                                                           ;
Aladin 8              ;Cru  ;11 56 45.0 -59 41 57 ;Op   ;***  ;    2.20;      ;      ;       ;                                                                                                           ;Small, but brght and detached circular group, Gaia-TGAS: not a cluster
Aladin J0429-8445     ;Men  ;04 29 55.0 -84 45 06 ;Op   ;***  ;   18.00;      ;      ;       ;                                                                                                           ;
Aladin J1410-8843     ;Oct  ;14 10 00.0 -88 43 30 ;Op   ;***  ;   57.00;      ;      ;       ;                                                                                                           ;Found using Aladin Lite. Large, very loose cl. Kin: -8.7+-3.9, -2.9+-3.1, 15*, used (McDonald+, 2017) and (Pickles+, 2010) to calculate E(B-V)
Aladin J1658+1819     ;Her  ;16 57 57.5 +18 19 48 ;Op   ;***  ;    3.00;      ;      ;       ;                                                                                                           ;Obvious little group of 22 stars
Aladin J1820-0358     ;Ser  ;18 20 26.0 -03 58 57 ;Op   ;***  ;    3.00;      ;      ;       ;                                                                                                           ;
Alessi 101            ;Cen  ;13 44 44.0 -49 49 27 ;Op   ;***  ;   38.00;      ;      ;       ;                                                                                                           ;
Alessi 103            ;Tau  ;05 45 48.0 +22 04 53 ;Op   ;***  ;   21.00;      ;      ;       ;                                                                                                           ;
Alessi 104            ;TrA  ;16 27 49.0 -65 45 16 ;Op   ;***  ;   59.00;      ;      ;       ;                                                                                                           ;UCAC4: two compact clumps in VPD
Alessi 105            ;Cnc  ;08 15 35.0 +07 38 32 ;Op   ;***  ;  123.00;      ;      ;       ;                                                                                                           ;
Alessi 11             ;Del  ;20 21 16.1 +18 23 24 ;Op   ;***  ;   18.60;      ;      ;       ;                                                                                                           ;
Alessi 110            ;CMi  ;07 10 19.0 +07 39 44 ;Op   ;***  ;   38.00;      ;      ;       ;                                                                                                           ;
Alessi 111            ;Lac  ;22 02 06.0 +39 20 57 ;Op   ;***  ;   54.00;      ;      ;       ;                                                                                                           ;
Alessi 115            ;Her  ;18 32 39.0 +17 33 00 ;Op   ;***  ;   31.00;      ;      ;       ;                                                                                                           ;
Alessi 117            ;Cap  ;20 23 32.0 -10 27 23 ;Op   ;***  ;   14.00;      ;      ;       ;                                                                                                           ;
Alessi 119            ;Her  ;18 28 15.0 +22 46 34 ;Op   ;***  ;   26.00;      ;      ;       ;                                                                                                           ;
Alessi 120            ;Del  ;20 32 57.0 +18 35 07 ;Op   ;***  ;   20.00;      ;      ;       ;                                                                                                           ;
Alessi 121            ;Oph  ;17 35 51.0 +05 55 05 ;Op   ;***  ;   40.00;      ;      ;       ;                                                                                                           ;
Alessi 123            ;CMi  ;07 44 32.0 +10 16 52 ;Op   ;***  ;   26.00;      ;      ;       ;                                                                                                           ;
Alessi 124            ;Cha  ;10 24 43.0 -80 58 55 ;Op   ;***  ;  260.00;      ;      ;       ;                                                                                                           ;
Alessi 125            ;Cen  ;14 26 57.0 -62 26 14 ;Op   ;***  ;   36.00;      ;      ;       ;                                                                                                           ;
Alessi 126            ;Nor  ;15 39 31.0 -48 29 54 ;Op   ;***  ;   18.00;      ;      ;       ;                                                                                                           ;
Alessi 127            ;CVn  ;13 14 55.0 +40 24 50 ;Op   ;***  ;  240.00;      ;      ;       ;                                                                                                           ;
Alessi 129            ;Gem  ;06 55 35.0 +13 54 34 ;Op   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;
Alessi 130            ;Aps  ;15 59 41.0 -82 27 03 ;Op   ;***  ;   60.00;      ;      ;       ;Alessi J1559-8227, Kernya 66                                                                               ;
Alessi 131            ;Gem  ;06 10 30.0 +26 28 05 ;Op   ;***  ;   72.00;      ;      ;       ;Santa 6                                                                                                    ;
Alessi 132            ;Dra  ;19 30 52.0 +63 17 43 ;Op   ;***  ;   48.00;      ;      ;       ;                                                                                                           ;
Alessi 133            ;Cep  ;03 54 48.0 +83 32 48 ;Op   ;***  ;   72.00;      ;      ;       ;                                                                                                           ;
Alessi 134            ;Cam  ;05 08 46.0 +57 24 06 ;Op   ;***  ;   60.00;      ;      ;       ;                                                                                                           ;
Alessi 136            ;Eri  ;04 54 34.0 -13 28 38 ;Op   ;***  ;  150.00;      ;      ;       ;                                                                                                           ;
Alessi 139            ;Car  ;08 15 22.0 -58 07 56 ;Op   ;***  ;    4.50;      ;      ;       ;Alessi J0815-5808                                                                                          ;
Alessi 14             ;Mon  ;06 30 25.9 +09 44 28 ;Op   ;***  ;   10.20;      ;      ;       ;                                                                                                           ;
Alessi 141            ;Ari  ;02 36 46.0 +20 15 19 ;Op   ;***  ;   45.00;      ;      ;       ;                                                                                                           ;
Alessi 143            ;Ari  ;03 09 04.0 +24 20 19 ;Op   ;***  ;    9.00;      ;      ;       ;Alessi J0309+2420                                                                                          ;HSOY: possible, prelim dist Gaia-DR2 - recheck
Alessi 148            ;Mon  ;06 57 07.0 +08 33 36 ;Op   ;***  ;   45.00;      ;      ;       ;                                                                                                           ;
Alessi 149            ;Oct  ;19 35 56.0 -84 19 39 ;Op   ;***  ;   90.00;      ;      ;       ;                                                                                                           ;
Alessi 150            ;Per  ;04 37 48.0 +41 45 32 ;Op   ;***  ;   23.00;      ;      ;       ;                                                                                                           ;
Alessi 151            ;Pic  ;05 30 56.0 -49 38 50 ;Op   ;***  ;   12.00;      ;      ;       ;Alessi J0530-4938                                                                                          ;Gaia-TGAS: stars are unrelated
Alessi 157            ;Pav  ;18 47 54.0 -59 46 00 ;Op   ;***  ;    2.00;      ;      ;       ;                                                                                                           ;
Alessi 158            ;Her  ;18 32 40.0 +18 50 22 ;Op   ;***  ;   39.00;      ;      ;       ;                                                                                                           ;
Alessi 160            ;Her  ;18 47 29.0 +15 30 46 ;Op   ;***  ;   60.00;      ;      ;       ;                                                                                                           ;
Alessi 162            ;Mic  ;20 45 49.0 -43 14 48 ;Op   ;***  ;   80.00;      ;      ;       ;                                                                                                           ;
Alessi 166            ;Leo  ;11 09 54.0 -00 52 20 ;Op   ;***  ;  220.00;      ;      ;       ;                                                                                                           ;
Alessi 168            ;Aql  ;19 40 06.0 +12 18 13 ;Op   ;***  ;   70.00;      ;      ;       ;                                                                                                           ;
Alessi 169            ;Lac  ;22 05 40.0 +44 52 04 ;Op   ;***  ;  160.00;      ;      ;       ;                                                                                                           ;
Alessi 171            ;Men  ;06 47 00.0 -76 01 00 ;Op   ;***  ;   30.00;      ;      ;       ;                                                                                                           ;
Alessi 175            ;Mon  ;07 15 53.0 -00 42 54 ;Op   ;***  ;   28.00;      ;      ;       ;                                                                                                           ;
Alessi 176            ;Mon  ;07 25 17.0 -00 45 42 ;Op   ;***  ;   34.00;      ;      ;       ;                                                                                                           ;
Alessi 177            ;Mon  ;07 27 49.0 -01 29 42 ;Op   ;***  ;   64.00;      ;      ;       ;                                                                                                           ;
Alessi 179            ;Pup  ;08 02 17.0 -18 54 00 ;Op   ;***  ;   32.00;      ;      ;       ;TC 0802-1854, HD 66271 Grp                                                                                 ;
Alessi 180            ;Pup  ;08 09 53.0 -19 40 12 ;Op   ;***  ;   60.00;      ;      ;       ;                                                                                                           ;
Alessi 181            ;Aql  ;19 17 48.0 +16 09 06 ;Op   ;***  ;   80.00;      ;      ;       ;                                                                                                           ;
Alessi 183            ;Gru  ;22 55 25.0 -42 53 06 ;Op   ;***  ;  400.00;      ;      ;       ;                                                                                                           ;Gaia-DR1: stars are unrelated
Alessi 184            ;Her  ;18 53 36.0 +18 29 54 ;Op   ;***  ;   34.00;      ;      ;       ;                                                                                                           ;
Alessi 186            ;Her  ;16 22 50.0 +45 31 07 ;Op   ;***  ;  450.00;      ;      ;       ;                                                                                                           ;
Alessi 187            ;UMi  ;14 21 08.0 +67 48 10 ;Op   ;***  ;  320.00;      ;      ;       ;                                                                                                           ;
Alessi 188            ;Lib  ;14 50 48.0 -12 55 00 ;Op   ;***  ;  720.00;      ;      ;       ;                                                                                                           ;
Alessi 189            ;Hor  ;03 05 26.0 -60 33 42 ;Op   ;***  ;  180.00;      ;      ;       ;                                                                                                           ;
Alessi 193            ;Ori  ;05 31 41.0 -07 02 55 ;Op   ;***  ;  120.00;      ;      ;       ;Nu Ori Cl                                                                                                  ;
Alessi 196            ;Ori  ;05 06 28.0 -03 23 03 ;Op   ;***  ;   60.00;      ;      ;       ;                                                                                                           ;
Alessi 197            ;Mon  ;06 13 56.0 -06 49 23 ;Op   ;***  ;  300.00;      ;      ;       ;                                                                                                           ;
Alessi 198            ;Cas  ;01 13 22.0 +49 16 50 ;Op   ;***  ;  200.00;      ;      ;       ;                                                                                                           ;
Alessi 199            ;Sge  ;18 59 09.0 +20 18 42 ;Op   ;***  ;  120.00;      ;      ;       ;                                                                                                           ;
Alessi 200            ;Vul  ;19 20 11.0 +22 37 06 ;Op   ;***  ;  100.00;      ;      ;       ;                                                                                                           ;
Alessi 201            ;Aql  ;19 38 17.0 +15 52 01 ;Op   ;***  ;   40.00;      ;      ;       ;                                                                                                           ;
Alessi 202            ;Pup  ;08 05 22.0 -33 08 28 ;Op   ;***  ;   96.00;      ;      ;       ;                                                                                                           ;
Alessi 203            ;CMa  ;07 01 13.0 -13 18 16 ;Op   ;***  ;   28.00;      ;      ;       ;                                                                                                           ;
Alessi 205            ;Mon  ;06 58 18.0 -10 57 29 ;Op   ;***  ;   42.00;      ;      ;       ;                                                                                                           ;
Alessi 207            ;Mon  ;06 50 04.0 -04 57 48 ;Op   ;***  ;   30.00;      ;      ;       ;                                                                                                           ;
Alessi 208            ;CMi  ;07 14 44.0 +05 40 41 ;Op   ;***  ;   45.00;      ;      ;       ;                                                                                                           ;
Alessi 209            ;Car  ;07 45 06.0 -55 48 30 ;Op   ;***  ;  156.00;      ;      ;       ;                                                                                                           ;
Alessi 210            ;Pup  ;06 40 55.0 -38 19 36 ;Op   ;***  ;  280.00;      ;      ;       ;                                                                                                           ;
Alessi 211            ;Pup  ;07 33 51.0 -36 20 18 ;Op   ;***  ;  150.00;      ;      ;       ;                                                                                                           ;
Alessi 212            ;Cha  ;07 49 25.0 -80 40 20 ;Op   ;***  ;    9.00;      ;      ;       ;                                                                                                           ;
Alessi 213            ;Cha  ;08 03 36.0 -80 09 12 ;Op   ;***  ;   18.00;      ;      ;       ;                                                                                                           ;
Alessi 214            ;Cha  ;08 26 18.0 -82 10 24 ;Op   ;***  ;    3.00;      ;      ;       ;                                                                                                           ;Obvious group with a dozen stars arranged in two parallel lines
Alessi 215            ;Cha  ;08 39 45.0 -78 51 46 ;Op   ;***  ;    2.00;      ;      ;       ;                                                                                                           ;Compact group of a dozen stars N of Mamajek 1
Alessi 216            ;Cha  ;09 35 51.0 -78 23 00 ;Op   ;***  ;   15.00;      ;      ;       ;                                                                                                           ;
Alessi 217            ;Cha  ;09 59 48.0 -76 14 43 ;Op   ;***  ;    1.00;      ;      ;       ;                                                                                                           ;Line of 7-8 tightly packed stars
Alessi 218            ;Cha  ;10 25 39.0 -79 53 22 ;Op   ;***  ;    6.00;      ;      ;       ;                                                                                                           ;
Alessi 219            ;Cha  ;10 30 16.0 -76 08 00 ;Op   ;***  ;    6.00;      ;      ;       ;                                                                                                           ;
Alessi 220            ;Cha  ;10 52 18.0 -77 27 24 ;Op   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;L-shaped gr of 7 * plus few fainter ones nearby
Alessi 222            ;Cha  ;11 52 36.0 -83 08 26 ;Op   ;***  ;    9.00;      ;      ;       ;                                                                                                           ;
Alessi 223            ;Cha  ;12 31 32.0 -76 20 30 ;Op   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;
Alessi 226            ;Cen  ;12 12 00.7 -50 48 43 ;Op   ;***  ;    6.00;      ;      ;       ;                                                                                                           ;
Alessi 227            ;Sco  ;16 18 16.8 -26 07 29 ;Op   ;***  ;   12.00;      ;      ;       ;                                                                                                           ;Shows nicely in WISE 3.4
Alessi 228            ;Ant  ;10 01 40.0 -32 13 16 ;Op   ;***  ;   18.00;      ;      ;       ;                                                                                                           ;
Alessi 229            ;Oct  ;03 40 48.0 -88 21 25 ;IR   ;GxCl ;    5.00;      ;      ;       ;                                                                                                           ;IR group visible WISE 3.4 and 4.6. Possible Cl of galaxies?
Alessi 230            ;Oct  ;07 50 04.0 -87 05 30 ;Op   ;***  ;    2.50;      ;      ;       ;                                                                                                           ;Compact grp of 15 stars
Alessi 232            ;Her  ;18 01 49.0 +19 33 33 ;Op   ;***  ;    8.00;      ;      ;       ;                                                                                                           ;
Alessi 233            ;CMa  ;07 15 32.0 -12 52 27 ;Op   ;***  ;    2.10;      ;      ;       ;                                                                                                           ;
Alessi 234            ;CMa  ;07 15 36.0 -24 02 58 ;Op   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;
Alessi 236            ;CMa  ;07 21 58.9 -25 32 56 ;Op   ;***  ;    0.60;      ;      ;       ;                                                                                                           ;Very small and compact
Alessi 237            ;CMa  ;07 26 13.0 -21 38 33 ;Op   ;***  ;    1.40;      ;      ;       ;                                                                                                           ;Very small and compact. In Ruprecht 19 field
Alessi 238            ;CMa  ;07 22 46.2 -19 25 09 ;Op   ;***  ;    0.90;      ;      ;       ;                                                                                                           ;In Ruprecht 16 field. ~10 stars in a tiny triangle
Alessi 239            ;Her  ;18 40 55.0 +13 02 42 ;Op   ;***  ;    7.00;      ;      ;       ;                                                                                                           ;
Alessi 39             ;Gem  ;06 53 44.0 +22 55 12 ;Op   ;***  ;   28.00;      ;      ;       ;                                                                                                           ;
Alessi 4              ;Ant  ;10 16 08.0 -34 15 15 ;Op   ;***  ;   60.00;      ;      ;       ;                                                                                                           ;
Alessi 42 A           ;Lac  ;22 46 54.0 +53 48 12 ;Op   ;***  ;   36.00;      ;      ;       ;                                                                                                           ;
Alessi 42 B           ;Lac  ;22 51 10.0 +53 55 12 ;Op   ;***  ;   32.00;      ;      ;       ;                                                                                                           ;
Alessi 48             ;Mon  ;06 27 16.0 -00 16 36 ;Op   ;***  ;  180.00;      ;      ;       ;                                                                                                           ;
Alessi 54             ;CMi  ;07 28 13.0 +00 31 09 ;Op   ;***  ;    2.20;      ;      ;       ;                                                                                                           ;Alessi: 5 unrelated stars (UCAC4), not a cluster (PPMXL)
Alessi 55             ;Mon  ;06 58 12.0 +00 52 07 ;Op   ;***  ;   18.00;      ;      ;       ;FSR 1080                                                                                                   ;
Alessi 61             ;Cir  ;15 14 51.0 -63 24 00 ;Op   ;***  ;    1.50;      ;      ;       ;                                                                                                           ;
Alessi 64             ;Lep  ;05 51 41.3 -12 13 12 ;Op   ;***  ;   15.60;      ;      ;       ;FSR 1123                                                                                                   ;
Alessi 67             ;Pav  ;18 47 05.0 -59 50 33 ;Op   ;***  ;    0.45;      ;      ;       ;                                                                                                           ;Compact grp of 8 stars
Alessi 68             ;Aql  ;19 10 48.0 +13 12 49 ;Op   ;***  ;    2.40;      ;      ;       ;                                                                                                           ;
Alessi 69             ;Cep  ;23 43 02.0 +70 04 12 ;Op   ;***  ;   60.00;      ;      ;       ;                                                                                                           ;
Alessi 74             ;Mus  ;12 25 08.0 -65 06 43 ;Op   ;***  ;   24.00;      ;      ;       ;                                                                                                           ;
Alessi 75             ;Sco  ;17 48 12.0 -34 57 10 ;Op   ;***  ;   25.00;      ;      ;       ;                                                                                                           ;
Alessi 85             ;Ori  ;05 38 02.0 -06 23 38 ;Op   ;***  ;   60.00;      ;      ;       ;                                                                                                           ;
Alessi 88             ;Cyg  ;20 29 02.0 +55 59 45 ;Op   ;***  ;   61.00;      ;      ;       ;                                                                                                           ;
Alessi 89             ;And  ;23 13 20.0 +53 09 54 ;Op   ;***  ;   28.00;      ;      ;       ;                                                                                                           ;
Alessi 90             ;Tau  ;05 45 05.0 +18 45 39 ;Op   ;***  ;   31.00;      ;      ;       ;EU Tau Grp                                                                                                 ;
Alessi 93             ;Car  ;07 59 07.0 -52 25 54 ;Op   ;***  ;   30.00;      ;      ;       ;                                                                                                           ;
Alessi 99             ;Cam  ;04 18 07.0 +67 48 20 ;Op   ;***  ;   16.00;      ;      ;       ;                                                                                                           ;
Alessi J0021+6234     ;Cas  ;00 21 24.0 +62 34 00 ;Op   ;***  ;   60.00;      ;      ;       ;                                                                                                           ;
Alessi J0022+5417     ;Cas  ;00 22 47.0 +54 17 54 ;Op   ;***  ;   10.00;      ;      ;       ;Foldvari 4                                                                                                 ;
Alessi J0053-6546     ;Tuc  ;00 53 56.0 -65 46 28 ;Op   ;***  ;   16.00;      ;      ;       ;                                                                                                           ;
Alessi J0120-4933     ;Phe  ;01 20 56.0 -49 33 42 ;Op   ;***  ;   35.00;      ;      ;       ;                                                                                                           ;
Alessi J0123-3330     ;Scl  ;01 23 12.0 -33 29 40 ;Op   ;***  ;    7.00;      ;      ;       ;Slotegraaf 1                                                                                               ;
Alessi J0146+4247     ;And  ;01 46 04.0 +42 46 58 ;Op   ;***  ;   56.00;      ;      ;       ;                                                                                                           ;
Alessi J0232-5127     ;Hor  ;02 32 24.0 -51 27 06 ;Op   ;***  ;   90.00;      ;      ;       ;                                                                                                           ;
Alessi J0234+4002     ;And  ;02 34 04.0 +40 02 30 ;Op   ;***  ;   90.00;      ;      ;       ;                                                                                                           ;
Alessi J0234-3533     ;For  ;02 34 26.0 -35 33 09 ;Op   ;***  ;   30.00;      ;      ;       ;                                                                                                           ;
Alessi J0240-5247     ;Hor  ;02 40 28.0 -52 47 00 ;Op   ;***  ;   88.00;      ;      ;       ;                                                                                                           ;
Alessi J0306+2413     ;Ari  ;03 06 33.0 +24 13 17 ;Op   ;***  ;  100.00;      ;      ;       ;                                                                                                           ;
Alessi J0325+4054     ;Per  ;03 25 16.0 +40 54 00 ;Op   ;***  ;   66.00;      ;      ;       ;                                                                                                           ;
Alessi J0345-2749     ;For  ;03 45 03.0 -27 49 18 ;Op   ;***  ;   50.00;      ;      ;       ;                                                                                                           ;
Alessi J0350+3708     ;Per  ;03 50 50.0 +37 08 19 ;Op   ;***  ;   44.00;      ;      ;       ;                                                                                                           ;
Alessi J0402+0846     ;Tau  ;04 02 02.0 +08 45 30 ;Op   ;***  ;   48.00;      ;      ;       ;                                                                                                           ;
Alessi J0404+7921     ;Cam  ;04 04 30.0 +79 21 24 ;Op   ;***  ;   80.00;      ;      ;       ;                                                                                                           ;
Alessi J0436+3038     ;Tau  ;04 36 15.0 +30 37 43 ;Op   ;***  ;   36.00;      ;      ;       ;                                                                                                           ;
Alessi J0503-3158     ;Cae  ;05 03 05.0 -31 58 12 ;Op   ;***  ;   13.00;      ;      ;       ;                                                                                                           ;Fine visually and VPD is fair, but Gaia-TGAS: asterism
Alessi J0517+3745     ;Aur  ;05 17 49.0 +37 45 09 ;Op   ;***  ;   36.00;      ;      ;       ;                                                                                                           ;
Alessi J0556+1559     ;Ori  ;05 56 48.0 +15 59 18 ;Op   ;***  ;    4.20;      ;      ;       ;                                                                                                           ;
Alessi J0622+2114     ;Gem  ;06 22 26.0 +21 14 50 ;Op   ;***  ;    2.00;      ;      ;       ;                                                                                                           ;
Alessi J0623+2124     ;Gem  ;06 23 32.0 +21 24 05 ;Op   ;***  ;    2.00;      ;      ;       ;                                                                                                           ;
Alessi J0623+2152     ;Gem  ;06 23 09.0 +21 52 13 ;Op   ;***  ;    4.00;      ;      ;       ;                                                                                                           ;
