Name                  ;Const;Coordinates (J2000.0);Wave ;Type ;Dia_arcm;Dst_pc;E(B-V);Log_t  ;Aliases                                                                                                    ;Comments
Bica 539              ;Sco  ;17 18 52.0 -36 09 55 ;IR   ;OC?? ;    5.00;      ;      ;       ;                                                                                                           ;in shell
Bica 543              ;Sco  ;17 19 08.0 -36 07 12 ;IR   ;OC?? ;    0.70;      ;      ;       ;                                                                                                           ;in pair
Bica 545              ;Sco  ;17 19 40.0 -36 07 52 ;IR   ;OC?? ;    7.00;      ;      ;       ;                                                                                                           ;in Gum 61, NGC 6334, inc CS 94
Bica 548              ;Sco  ;17 18 34.0 -35 46 01 ;IR   ;OC?? ;   10.00;      ;      ;       ;                                                                                                           ;in lg shell, attached NGC 6334
Bica 552              ;Sco  ;17 20 58.0 -36 03 18 ;IR   ;OC?? ;    5.00;      ;      ;       ;                                                                                                           ;inc. CS 90, Gum 62, NGC 6334
Bica 553              ;Sco  ;17 20 54.0 -36 03 09 ;IR   ;OC?? ;    5.00;      ;      ;       ;                                                                                                           ;in Gum 62, in NGC 6334
Bica 554              ;Sco  ;17 19 30.0 -35 42 36 ;IR   ;OC?? ;   17.00;      ;      ;       ;                                                                                                           ;in shell Gum 63, in NGC 6334
Bica 555              ;Sco  ;17 20 16.0 -35 48 53 ;IR   ;OC?? ;    2.20;      ;      ;       ;                                                                                                           ;in Gum64c, NGC 6334, 3 pillars
Bica 556              ;Sco  ;17 21 11.0 -35 55 32 ;IR   ;OC?? ;    1.00;      ;      ;       ;                                                                                                           ;
Bica 558              ;Sco  ;17 20 54.0 -35 53 54 ;IR   ;OC?? ;    9.00;      ;      ;       ;                                                                                                           ;in shell Gum 64b, in NGC 6334
Bica 560              ;Sco  ;17 20 19.0 -35 47 28 ;IR   ;OC?? ;    4.50;      ;      ;       ;                                                                                                           ;in Gum 64c, in NGC 6334
Bica 562              ;Sco  ;17 19 13.0 -35 37 16 ;IR   ;OC?? ;    1.80;      ;      ;       ;                                                                                                           ;in shell, Gum 63, NGC 6334
Bica 563              ;Sco  ;17 20 01.0 -35 42 57 ;IR   ;OC?? ;    2.10;      ;      ;       ;                                                                                                           ;in Gum 64c
Bica 564              ;Sco  ;17 20 50.0 -35 49 16 ;IR   ;OC?? ;    2.00;      ;      ;       ;                                                                                                           ;in bubble Gum 64b, NGC 6334
Bica 565              ;Sco  ;17 20 25.0 -35 45 35 ;IR   ;OC?? ;    5.00;      ;      ;       ;                                                                                                           ;in shell Gum 64c, NGC 6334
Bica 569              ;Sco  ;17 22 42.0 -35 47 49 ;IR   ;OC?? ;    1.50;      ;      ;       ;                                                                                                           ;
Bica 571              ;Sco  ;17 21 46.0 -35 35 15 ;IR   ;OC?? ;    2.60;      ;      ;       ;                                                                                                           ;in G351.68+0.61
Bica 573              ;Sco  ;17 22 29.0 -35 35 01 ;IR   ;OC?? ;    6.00;      ;      ;       ;                                                                                                           ;in shell
Bica 574              ;Sco  ;17 22 32.0 -35 35 13 ;IR   ;OC?? ;    2.50;      ;      ;       ;                                                                                                           ;
Bica 576              ;Sco  ;17 27 11.0 -35 18 05 ;IR   ;OC?? ;    2.00;      ;      ;       ;                                                                                                           ;
Bica 58               ;Sct  ;18 31 26.0 -08 28 42 ;IR   ;OC?? ;    3.50;      ;      ;       ;                                                                                                           ;
Bica 581              ;Sco  ;17 22 06.0 -34 14 47 ;IR   ;OC?? ;   10.00;      ;      ;       ;                                                                                                           ;in bubble
Bica 582              ;Sco  ;17 24 52.0 -34 34 16 ;IR   ;OC?? ;    4.00;      ;      ;       ;                                                                                                           ;in shell
