Name; RA_J2000_deg; De_J2000_deg; Type; Rad_deg; Dst_pc; E_B-V; Log_t; pmRA_mas; pmDe_mas; Reference; Aliases_and_associated_objects
BDSB_99; 259.745833333; -35.6966666667; OC; 0.0141666667; 1760; ; ; 0.47; -2.26; Alessi GEDR3; VdBH_85a, GN_17.15.6.01
BH_79; 145.920833333; -53.2500000000; OC:; 0.0666666667; 2210; 1.37; 8.40; -4.75; 3.67; Alessi GEDR3; 
BRCC_2; 174.541666667; -63.1941666667; EC; 0.0500000000; 2320; ; ; -6.10; 0.87; Alessi GEDR3; LS_2424
Basel_13; 318.457916667; +46.3941666667; OC; 0.1975000000; 1279; 0.34; 8.80; -3.05; -3.49; Hunt 2021; 
Berkeley_50; 302.505000000; +34.9669444444; OC; 0.0208333333; 4065; 0.76; 8.12; -3.40; -5.07; Cantat-Gaudin 2020b; IC_1310, FSR_199, FoF_492, UBC_138
Bica_127; 304.470833333; +39.3458333333; EC; 0.0500000000; 1677; ; ; -3.77; -5.15; Alessi GEDR3; 
Bica_177; 332.745833333; +63.3997222222; OC; 0.0583333333; 910; ; ; -0.86; -2.02; Alessi GEDR3; V447_Cep
Bica_183; 337.283333333; +64.8411111111; EC; 0.0416666667; 930; ; ; -0.64; -2.66; Alessi GEDR3; Sh2-150, LBN_520_
Bica_247; 80.5041666670; +40.0930555556; EC; 0.0166666667; 4200; ; ; -0.01; -0.44; Alessi GEDR3; IRAS_05185+4002
Bica_254; 66.7708333330; +26.1047222222; EC; 0.0583333333; 121; ; ; 6.16; -19.30; Alessi GDR2; DG_Tau
Bica_267; 67.9116666670; +18.1841666667; EC; 0.1250000000; 150; ; ; 6.65; -16.55; Alessi GDR2; LDN_1551, XZ_Tau, HL_Tau
Bica_279; 95.7433333330; +22.8636111111; OC; 0.0133333333; 2810; ; ; 0.08; -2.45; Alessi GEDR3; 
Bica_294; 86.7708333330; +0.3644444444; EC; 0.0500000000; 436; ; ; -1.07; -1.18; Alessi GEDR3; 
Bica_302; 83.8541666670; -5.1175000000; EC; 0.0250000000; 392; ; ; 2.09; -0.82; Alessi GEDR3; 
Bica_303; 83.8375000000; -5.2205555556; EC; 0.0208333333; 396; ; ; 0.86; -0.03; Alessi GEDR3; 
Bica_305; 83.8791666670; -5.2666666667; EC; 0.0333333333; 390; ; ; 1.24; 0.98; Alessi GEDR3; M_43, NGC_1982, NU_Ori
Bica_313; 104.025000000; +0.5650000000; EC; 0.0250000000; 3890; ; ; -0.74; -0.26; Alessi GEDR3; Leda_1169295
Bica_317; 92.7541666670; -6.2388888889; EC; 0.0500000000; 809; ; ; -3.83; 0.39; Alessi GEDR3; LkHA_339
Bica_321; 93.7208333330; -6.3786111111; OC; 0.1500000000; 833; ; ; -3.91; 0.59; Alessi GEDR3; 
Bica_329; 101.454166667; -7.3125000000; OC; 0.0183333333; 6000; ; ; -0.08; 0.76; Alessi GEDR3; LS_85, ALS_18679
Bica_333; 105.162500000; -8.9563888889; OC; 0.0250000000; 2200; ; ; -1.54; 0.76; Alessi GEDR3; 
Bica_337; 107.083333333; -10.5077777778; OC; 0.0208333333; 1370; ; ; -2.68; 0.84; Alessi GEDR3; IRAS_07059-1025
Bica_347; 105.862500000; -9.3288888889; OC; 0.0133333333; 2730; ; ; -1.27; 0.76; Alessi GEDR3; IRAS_07010-0915
Bica_357; 112.700000000; -15.0013888889; OC; 0.0583333333; 4470; ; ; -1.42; 1.51; Alessi GEDR3; IRAS_07285-1454
Bica_372; 112.708333333; -19.2572222222; OC; 0.0166666667; 3096; ; 7.30; -1.48; 1.68; Borissova 2020; IRAS_07286-1909
Bica_376; 112.962500000; -19.2963888889; OC; 0.0058333333; 2398; ; 8.44; -2.00; 2.34; Borissova 2020; [KC97c]_G234.6-00.2
Bica_377; 112.995833333; -19.2986111111; OC; 0.0083333333; 2299; ; 8.57; -1.70; 1.99; Borissova 2020; 
Bica_378; 112.983333333; -19.3291666667; OC; 0.0125000000; 2500; ; 8.40; -1.83; 2.10; Borissova 2020; IRAS_07297-1913
Bica_385; 120.475000000; -28.3811111111; EC; 0.0166666667; 4480; ; ; -2.19; 2.97; Alessi GEDR3; Bran_96
Bica_387; 120.637500000; -34.5041666667; OC; 0.0250000000; 3003; ; 8.54; -2.29; 2.84; Borissova 2020; ESO_369-3, Bran_99
Bica_389; 129.275000000; -39.6750000000; OC; 0.0583333333; 898; ; ; -5.30; 4.28; Alessi GEDR3; 
Bica_403; 137.808333333; -45.5863888889; OC; 0.0833333333; 741; ; ; -8.36; 3.81; Alessi GEDR3; 
Bica_404; 139.027916667; -50.7658333333; OC; 0.0583333333; 3400; ; ; -4.71; 4.07; Alessi GEDR3; 
Bica_408; 141.383333333; -52.1133333333; OC; 0.0100000000; 3497; ; 7.48; -3.70; 3.12; Borissova 2020; 
Bica_445; 172.079166667; -63.0066666667; EC; 0.0166666667; 2760; ; ; -6.28; 1.43; Alessi GEDR3; Bran_362_B
Bica_446; 172.145833333; -62.9619444444; EC; 0.0116666667; 2186; ; ; -6.42; 1.29; Alessi GEDR3; LS_2353, RCW_60_B
Bica_452; 173.008333333; -63.4188888889; OC; 0.0250000000; 2280; ; ; -6.28; 0.89; Alessi GEDR3; LS_2382, ALS_14184
Bica_453; 172.804166667; -63.8372222222; EC; 0.0083333333; 2630; ; ; -6.47; 1.22; Alessi GEDR3; Wray_15-821, Hen_3-664
Bica_470; 167.450000000; -77.4419444444; EC; 0.0291666667; 190; ; ; -22.70; 0.40; Alessi GEDR3; 
Bica_570; 260.520833333; -35.6688888889; EC; 0.0416666667; 1640; ; ; -0.39; -2.66; Alessi GEDR3; G351.65+0.51
Bica_58; 277.858333333; -8.4783333333; EC; 0.0291666667; 2530; ; ; 0.20; -2.33; Alessi GEDR3; 
Bica_631; 263.685000000; -33.4763888889; OC; 0.0333333333; 3370; ; ; -0.57; -1.68; Alessi GEDR3; 
Bica_637; 267.879166667; -31.2591666667; EC; 0.0250000000; 1312; ; ; -0.89; -2.13; Alessi GEDR3; vdBH-RN_93a, Sco_R7
Bica_652; 318.295833333; +46.5452777778; OC; 0.0166666667; 3870; ; ; -2.53; -3.57; Alessi GEDR3; 
Bica_656; 143.333333333; -52.0613888889; OC; 0.0208333333; 5100; ; ; -4.29; 3.34; Alessi GEDR3; 
Bica_68; 279.641666667; -6.1005555556; OC; 0.0166666667; 3700; ; ; -0.78; -2.52; Alessi GEDR3; 
CAH_5; 93.3500000000; +17.8808333333; EC; 0.0083333333; 2140; ; ; -0.44; -0.74; Alessi GEDR3; Camargo_53, G192.75-0.00
CBB_14; 103.641666667; +0.2494444444; EC; 0.0216666667; 3890; ; 6.00; -0.98; 0.01; Alessi GEDR3; 
CBB_3; 81.9291666670; +34.5433333333; OC; 0.0500000000; 2001; ; 6.30; 0.03; -2.34; Alessi GEDR3; ALS_8364
CCCP-Cl_13; 161.307083333; -59.9661111111; OC; 0.0291666667; 2350; ; ; -6.77; 2.06; Alessi GEDR3; Carina_M
CCCP-Cl_14; 161.400416667; -59.8055555556; OC; 0.0241666667; 2280; ; ; -6.85; 2.37; Alessi GEDR3; Carina_N, SPW_7, SpitzerCar_G
CCCP-Cl_2; 161.004166667; -60.0961111111; EC; 0.0333333333; 2310; ; ; -6.63; 1.89; Alessi GEDR3; 
CCCP-Cl_3; 161.060416667; -59.7213888889; EC; 0.0183333333; 2410; ; ; -7.09; 2.70; Alessi GEDR3; 
CMa_OB1_B; 107.082500000; -12.2383333333; OB; 0.8608333333; 1118; ; ; -3.29; 0.88; Alessi GEDR3; 
COIN-Gaia_23; 87.4491666670; +27.0080555556; OC; 0.2750000000; 969; 0.21; 7.93; -0.32; -0.93; Cantat-Gaudin 2020b; Theia_497, UPK_380
Camargo_1019; 115.983333333; -22.7447222222; EC; 0.0083333333; 3300; ; ; -1.48; 2.28; Alessi GDR2; ESO_493-5, IRAS_07417-2237
Camargo_1020; 113.895833333; -23.8688888889; EC; 0.0416666667; 1370; ; ; -4.58; 4.81; Alessi GDR2; Bran_51B, IRAS_07334-2345
Camargo_1029; 110.679166667; -26.0111111111; OC; 0.0300000000; 1490; ; ; -2.13; 2.37; Alessi GEDR3; 
Camargo_1040; 111.854166667; -27.2347222222; OC; 0.0333333333; 5300; ; ; -1.08; 2.05; Alessi GDR2; 
Camargo_108; 85.3750000000; -8.6705555556; EC; 0.0666666667; 517; ; ; -0.08; -1.09; Alessi GEDR3; IRAS_05391-0841
Camargo_13; 75.9583333330; +42.3708333333; OC; 0.0500000000; 5190; ; ; 0.26; -0.26; Alessi GEDR3; 
Camargo_130; 103.916666667; -3.1627777778; EC; 0.0216666667; 2010; ; ; -1.56; 0.51; Alessi GEDR3; GN_06.53.2
Camargo_136; 104.608333333; -3.0144444444; OC; 0.0750000000; 2160; ; ; -1.32; 0.52; Alessi GEDR3; 
Camargo_16; 81.1708333330; +36.6044444444; OC; 0.0183333333; 4200; ; ; -0.01; -0.83; Alessi GEDR3; 
Camargo_165; 104.895833333; -4.7669444444; EC; 0.0333333333; 2130; ; ; -1.55; 0.66; Alessi GEDR3; Sh2-287_B
Camargo_178; 105.758333333; -6.9738888889; EC; 0.0666666667; 2150; ; ; -1.15; 1.41; Alessi GEDR3; GN_07.00.7
Camargo_218; 126.579166667; -40.8108333333; OC; 0.0416666667; 1300; ; 8.24; -2.45; 3.18; Borissova 2020; 
Camargo_233; 125.287500000; -42.4097222222; OC; 0.0208333333; 1720; ; ; -5.80; 5.03; Alessi GDR2; 
Camargo_28; 80.7854166670; +33.4755555556; EC; 0.0166666667; 3730; ; ; -0.19; -1.42; Alessi GEDR3; NGC_1893_J
Camargo_29; 80.7416666670; +33.4444444444; EC; 0.0166666667; 3340; ; ; -0.27; -1.41; Alessi GEDR3; 
Camargo_30; 80.6679166670; +33.3708333333; EC; 0.0208333333; 2900; ; ; -0.35; -1.54; Alessi GEDR3; NGC_1893_A, LS_V_+33_15
Camargo_339; 141.895833333; -53.9594444444; OC; 0.0833333333; 2290; ; ; -5.13; 3.75; Alessi GEDR3; 
Camargo_353; 143.912500000; -54.1944444444; OC; 0.1000000000; 5300; ; ; -4.22; 3.30; Alessi GEDR3; 
Camargo_358; 144.575000000; -54.4783333333; OC; 0.0500000000; 4800; ; ; -4.33; 3.22; Alessi GEDR3; 
Camargo_360; 144.983333333; -54.4294444444; OC; 0.0375000000; 5500; ; ; -4.70; 3.22; Alessi GEDR3; 
Camargo_366; 147.833333333; -52.9136111111; OC; 0.0750000000; 2450; ; ; -5.67; 3.67; Alessi GEDR3; 
Camargo_390; 148.691666667; -56.6055555556; OC; 0.0666666667; 3770; ; ; -4.75; 4.79; Alessi GEDR3; 
Camargo_398; 149.591666667; -56.3702777778; OC; 0.0500000000; 2299; ; 7.84; -3.47; 3.39; Borissova 2020; 
Camargo_405; 149.750000000; -56.8616666667; OC; 0.0500000000; 2299; ; 8.24; -5.23; 3.51; Borissova 2020; 
Camargo_406; 149.812500000; -56.9127777778; OC; 0.0500000000; 2299; ; 7.78; -5.59; 3.59; Borissova 2020; 
Camargo_44; 91.9458333330; +20.6588888889; EC; 0.0416666667; 2160; ; ; 0.57; -2.08; Alessi GEDR3; IRAS_06047+2040
Camargo_440; 59.9916666670; +51.5563888889; OC; 0.0333333333; 1038; ; 6.00; 0.05; -2.11; Alessi GEDR3; GM1-34, BFS_33, GN_03.56.2
Camargo_48; 92.9208333330; +20.5286111111; EC; 0.0583333333; 2050; ; ; -0.42; -2.16; Alessi GEDR3; 
Camargo_519; 294.562500000; +20.6316666667; EC; 0.0283333333; 2690; ; ; -2.28; -5.71; Alessi EDR3; 
Camargo_575; 297.287500000; +26.8147222222; EC; 0.0125000000; 4410; ; ; -3.52; -5.55; Alessi EDR3; [KC97c]_G063.1+00.4
Camargo_604; 299.054166667; +30.2163888889; OC; 0.0383333333; 4250; ; ; -3.10; -5.63; Alessi GEDR3; 
Camargo_605; 299.012500000; +30.3177777778; OC; 0.0583333333; 3960; ; ; -3.11; -5.53; Alessi GEDR3; 
Camargo_63; 93.0041666670; +13.6600000000; OC; 0.1000000000; 1158; ; 6.48; 0.56; -0.35; Alessi GEDR3; 
Camargo_632; 301.229166667; +35.6202777778; EC; 0.0266666667; 1590; ; ; -3.81; -7.19; Alessi GEDR3; RK_99, GN_20.03.0
Camargo_637; 354.450000000; +63.9425000000; EC; 0.0583333333; 4100; ; ; -2.73; -1.20; Alessi GEDR3; 
Camargo_662; 7.92916666700; +62.6791666667; OC; 0.0416666667; 2850; ; 8.64; -2.32; -0.89; Alessi GEDR3; 
Camargo_681; 17.0833333330; +63.5866666667; OC; 0.1250000000; 2720; ; 8.71; -2.44; -0.33; Alessi GEDR3; 
Camargo_695; 19.1541666670; +64.8455555556; EC; 0.0083333333; 4800; ; ; -1.44; 0.10; Alessi GEDR3; GGA_29, Leda_2796551
Camargo_714; 29.6333333330; +61.6763888889; OC:; 0.0416666667; 3270; ; ; -0.87; -0.42; Alessi GEDR3; 
Camargo_716; 30.3791666670; +60.5450000000; OC; 0.0500000000; 2700; ; 6.30; -0.99; -0.59; Alessi GEDR3; 
Camargo_718; 32.5833333330; +60.8352777778; OC; 0.0250000000; 3600; ; ; -1.00; -0.31; Alessi GEDR3; 
Camargo_726; 36.2441666670; +62.6330555556; OC; 0.0300000000; 4280; ; ; -1.04; 0.23; Alessi GEDR3; 
Camargo_747; 38.0958333330; +62.1422222222; OC; 0.0250000000; 3240; ; ; -0.46; -0.41; Alessi GEDR3; 
Camargo_759; 41.5250000000; +62.7750000000; OC; 0.0091666667; 5580; ; ; -0.77; 0.20; Alessi GEDR3; 
Camargo_770; 42.9291666670; +62.1733333333; OC; 0.0283333333; 5270; ; ; -0.58; 0.18; Alessi GEDR3; 
Camargo_778; 42.8958333330; +60.5472222222; OC; 0.0166666667; 2190; ; ; -0.40; -0.34; Alessi GEDR3; 
Camargo_780; 42.9750000000; +60.1169444444; EC; 0.0250000000; 2120; ; ; -0.21; -0.70; Alessi GEDR3; 
Camargo_87; 101.245833333; +0.3463888889; OC; 0.0500000000; 4230; ; ; -0.35; 0.24; Alessi GEDR3; 
Camargo_873; 67.8083333330; +52.5036111111; OC; 0.0166666667; 3240; ; ; 0.32; -0.64; Alessi GEDR3; IRAS_04274+5223, Sh2-210
Camargo_920; 78.5875000000; +32.8027777778; OC; 0.0416666667; 1192; ; ; -0.31; -2.71; Alessi GEDR3; 
Camargo_928; 91.9208333330; +29.3783333333; OC; 0.0166666667; 3260; ; ; -0.14; -0.68; Alessi GEDR3; IRAS_06045+2923
Camargo_970; 94.2708333330; +14.6305555556; EC; 0.0250000000; 4040; ; ; -0.15; -0.40; Alessi GEDR3; IRAS_06142+1439
Camargo_986; 112.162500000; -21.9566666667; EC; 0.0200000000; 1720; ; ; -2.17; 1.27; Alessi GDR2; IRAS_07264-2151
Camargo_99; 102.508333333; +0.6908333333; OC; 0.0500000000; 4220; ; ; -0.72; 1.16; Alessi GEDR3; 
Camargo_992; 112.100000000; -22.6783333333; OC; 0.0125000000; 3000; ; ; -1.48; 2.67; Alessi GDR2; 
Camargo_995; 114.121250000; -21.8050000000; OC; 0.0141666667; 4100; ; ; -1.11; 2.59; Alessi GDR2; 
Camargo_996; 114.141666667; -21.8952777778; EC; 0.0100000000; 2790; ; ; -1.37; 2.47; Alessi GDR2; IRAS_07344-2146, CGMW_2-1023, Leda_86056
Cas_5; 356.741666667; +62.0866666667; OB; 0.3333333333; 2800; ; ; -3.54; -1.56; Alessi GEDR3; 
Casado_10; 120.585000000; -32.1344444444; OC; 0.0583333333; 4000; ; ; -3.10; 3.60; Casado 2020; 
Casado_11; 7.28916666700; +56.6988888889; OC; 0.1000000000; 1695; ; ; -3.30; -2.60; Casado 2020; 
Casado_12; 12.7650000000; +63.6516666667; OC; 0.0583333333; 2941; ; ; -3.00; -0.40; Casado 2020; 
Casado_14; 10.9212500000; +62.5983333333; OC; 0.0500000000; 4762; ; ; -2.10; -0.40; Casado 2020; 
Casado_17; 3.77583333300; +63.5569444444; OC; 0.0666666667; 2128; ; ; -3.30; -1.00; Casado 2020; Theia_2330
Casado_18; 353.383333333; +61.8450000000; OC; 0.0666666667; 2703; ; ; -3.70; -1.60; Casado 2020; 
Casado_19; 345.801250000; +57.8888888889; OC; 0.0500000000; 3333; ; ; -3.30; -2.20; Casado 2020; 
Casado_2; 163.408333333; -59.8172222222; OC; 0.0333333333; 2564; ; ; -6.90; 2.60; Casado 2020; 
Casado_20; 348.042500000; +56.8261111111; OC; 0.0500000000; 1923; ; ; -3.30; -2.60; Casado 2020; 
Casado_21; 341.905000000; +59.4366666667; OC; 0.1166666667; 2632; ; ; -2.70; -1.90; Casado 2020; 
Casado_3; 121.159166667; -31.5202777778; OC; 0.0666666667; 1205; ; ; -4.70; 4.80; Casado 2020; 
Casado_4; 125.800000000; -37.6288888889; OC; 0.1666666667; 1235; ; ; -5.70; 5.30; Casado 2020; 
Casado_5; 119.417500000; -35.1297222222; OC; 0.2333333333; 1282; ; ; -4.70; 2.20; Casado 2020; 
Casado_6; 121.427083333; -31.6002777778; OC; 0.0833333333; 4545; ; ; -2.90; 3.50; arXiv:2009.04751v1; FoF_204, FoF_953, Theia_2516
Casado_7; 267.035833333; -28.9902777778; OC; 0.0416666667; 1724; ; ; 0.50; -1.50; Casado 2020; 
Casado_8; 123.471250000; -30.9666666667; OC; 0.1666666667; 3571; ; ; -3.00; 1.70; Casado 2020; 
Casado_9; 120.751666667; -32.2466666667; OC; 0.0833333333; 4167; ; ; -3.20; 3.70; Casado 2020; 
Cen_OB1B; 194.886250000; -60.9116666667; OB; 0.4300000000; 2237; ; ; -4.96; -1.47; Alessi GDR2; Theia_2900
Cen_OB1D; 197.992083333; -61.1702777778; OB; 0.6641666667; 2151; ; ; -4.36; -1.80; Alessi GDR2; 
Cep_C_Core-2; 346.654166667; +62.5300000000; EC; 0.0666666667; 802; ; ; -0.79; -2.27; Alessi GEDR3; IRAS_23045+6215
Cep_OB3; 344.815416667; +62.8433333333; OC; 1.0000000000; 832; 0.71; 6.75; -1.10; -2.20; Alessi GEDR3; FoF_2249, Cep_3, Theia_27, Theia_50
Cep_OB5; 345.535416667; +57.0880555556; OB; 0.4783333333; 3077; ; ; -2.71; -2.13; Alessi GDR2; FoF_169, UBC_395, UBC_393
Cha_II; 193.411666667; -77.1713888889; OC; 1.0791666667; 198; ; 6.00; -20.70; -8.00; 2018ApJ...867..151D; AWG_7, Theia_29
Collinder_107; 99.2029166670; +4.9719444444; OC; 0.3900000000; 1621; 0.44; 7.17; -1.32; 0.66; Cantat-Gaudin 2020b; Mon_OB1B, Theia_1734
Collinder_132; 108.485000000; -30.7580555556; OC; 1.3333333333; 666; 0.03; 7.39; -4.14; 3.73; Cantat-Gaudin 2020b; ESO_428-10, Escorial_17, Slotegraaf_12, Theia_1765
Collinder_135; 109.362083333; -37.0441666667; OC; 1.1383333333; 305; 0.04; 7.42; -9.97; 6.16; Cantat-Gaudin 2020b; FoF_2386, FoF_2436, OPD_79, UPK_489
Collinder_359; 270.597916667; +3.2600000000; OC; 1.5616666667; 560; 0.18; 7.51; 0.64; -8.67; Cantat-Gaudin 2020b; Melotte_186, FoF_2427, UPK_35
Collinder_53; 70.1620833330; +50.4580555556; EC; 0.0316666667; 4430; ; 8.42; -0.02; -0.46; Alessi GEDR3; NGC_1624, BDSB_67
Collinder_69; 83.7920833330; +9.8130555556; OC; 0.9891666667; 406; 0.10; 6.95; 1.19; -2.12; Cantat-Gaudin 2020b; Lambda_Ori, Ori_OB1A, FoF_2381, UPK_393
Collinder_70; 83.9470833330; +0.8800000000; OB; 0.8800000000; 379; 0.04; 6.98; 0.90; -0.60; selected non-Gaia; Escorial_6, Alnilam, Epsilon_Ori
Collinder_89; 94.7920833330; +23.1563888889; OC; 0.0858333333; 2159; 0.48; 7.50; 0.50; -1.65; Hunt 2021; 9-12_Gem_Moving_Cluster, FoF_2142, Gem_OB1
Collinder_92; 95.7604166670; +5.2052777778; OC; 0.1350000000; 3744; 0.52; 9.14; -0.16; -0.05; Hunt 2021; 
Cru_OB1D; 176.875000000; -62.3877777778; OB; 0.5058333333; 2545; ; ; -6.52; 0.96; Alessi GDR2; 
Cyg_OB3B; 301.942916667; +36.5019444444; OB; 0.4908333333; 2237; ; ; -2.58; -5.39; Alessi GDR2; 
DBSB_109; 251.795833333; -41.2744444444; EC; 0.0258333333; 1700; ; ; -1.65; -1.65; Alessi GEDR3; GN_16.43.7, vdBH_73a
DBSB_114; 254.791666667; -40.2013888889; EC; 0.0191666667; 2330; ; 6.40; -0.28; -1.24; Alessi GEDR3; [CH87]_345.308+1.471
DBSB_118; 259.600000000; -39.3180555556; EC; 0.0141666667; 4110; ; 6.62; -1.28; -3.13; Alessi GEDR3; Wray_16-260, Sh2-4
DBSB_127; 159.625000000; -58.3133333333; EC; 0.0083333333; 1600; ; 8.70; -6.17; 2.81; Borissova 2020; Bica_422, [VBG94]_4-S3
DBSB_128; 159.508333333; -58.7791666667; EC; 0.0291666667; 2400; ; 6.18; -7.04; 2.65; Alessi GEDR3; G286.38-0.26, PMT14_d
DBSB_32; 132.675000000; -49.0938888889; EC; 0.0350000000; 1780; ; ; -4.82; 4.66; Alessi GEDR3; 
DBSB_44; 153.962500000; -57.3938888889; EC; 0.0083333333; 3690; ; ; -5.60; 3.41; Alessi GEDR3; Bran_299, LS_1473, V499_Car
DBSB_50; 153.972083333; -59.0461111111; OC; 0.0550000000; 3872; 0.42; 7.50; -7.19; 3.87; Hunt 2021; FoF_782
DBSB_52; 163.041666667; -56.2083333333; OC; 0.0175000000; 2850; ; ; -6.47; 3.14; Alessi GEDR3; 
DBSB_56; 164.920833333; -59.0211111111; EC; 0.0166666667; 4470; ; ; -5.15; 2.35; Alessi GEDR3; Majaess_135, ESO_128-25, PK_288+00.2
DBSB_59; 168.075000000; -58.7716666667; EC; 0.0166666667; 4400; ; ; -6.13; 2.06; Alessi GEDR3; FSR_1567, IRAS_11101-5829, HH_136
DBSB_63; 172.583333333; -59.9544444444; EC; 0.0191666667; 4370; ; ; -5.88; 1.41; Alessi GEDR3; Bran_358_A/B
DBSB_65; 167.883333333; -61.3627777778; EC; 0.0100000000; 4550; ; ; -6.12; 0.84; Alessi GEDR3; ESO_129-5
DBSB_71; 176.391666667; -65.5494444444; EC; 0.0333333333; 3440; ; ; -5.75; 1.17; Alessi GEDR3; vdBH-RN_53b
DBSB_8; 113.912500000; -18.8138888889; OC; 0.0116666667; 2230; ; ; -1.91; 2.89; Alessi GDR2; IRAS_07334-1842
DBSB_81; 194.666666667; -66.3777777778; EC; 0.0333333333; 1940; ; ; -8.39; -0.31; Alessi GEDR3; 
DBSB_98; 239.908333333; -53.7569444444; EC; 0.0208333333; 2760; ; ; -2.88; -3.54; Alessi GEDR3; Gum_50, Wray_16-196
DB_51; 267.447083333; -31.2838888889; OC; 0.0750000000; 1426; 3.12; 6.00; -1.08; -2.16; Hunt 2021; 
DB_58; 266.250000000; -28.8597222222; EC; 0.0075000000; 2930; 1.98; 6.00; 0.17; -0.39; Alessi GEDR3; Sh2-17
DB_85; 92.3791666670; +21.3991666667; EC; 0.0183333333; 2040; ; ; 0.44; -2.13; Alessi GEDR3; IRAS_06065+2124, BDB_177
DB_89; 93.1541666670; +17.9500000000; EC; 0.0141666667; 2900; ; ; -0.23; -0.68; Alessi GEDR3; Sh2-256, BDB_187
DOB_1; 87.8000000000; +25.7705555556; EC; 0.0200000000; 3195; ; ; 0.14; -1.91; Alessi GDR2; IRAS_05480+2545, WB89_713
Desvoivres_2; 99.9083333330; +6.0266666667; OC; 0.1000000000; 1470; ; ; -1.53; 0.97; Alessi GEDR3; 
Dolidze_10; 306.579166667; +40.1097222222; OC; 0.1333333333; 2420; ; ; -2.21; -3.83; Alessi GEDR3; 
Dolidze_18_B; 80.8375000000; +33.5080555556; OC; 0.1191666667; 2930; ; ; -0.26; -1.36; Alessi GEDR3; 
Dolidze_29; 278.019583333; -6.3997222222; OC; 0.1166666667; 2110; ; 7.50; 0.38; -1.05; Alessi GEDR3; 
Dolidze_30; 278.356666667; -5.9647222222; OC; 0.1158333333; 2170; ; 8.95; -0.37; -1.88; Alessi GEDR3; 
Dolidze_31; 279.147083333; -6.7219444444; OB; 0.1183333333; 2020; ; 6.00; -0.94; -2.29; Alessi GEDR3; Alicante_6, TC_1836-0642
Dolidze_34; 280.394166667; -4.2197222222; OC; 0.0866666667; 2432; 1.04; 7.95; -0.85; -0.55; Hunt 2021; 
Dolidze_35; 291.346666667; +11.6413888889; OC; 0.0950000000; 3472; 0.91; 8.45; -1.97; -4.32; Dias 2021; 
Dolidze_43; 305.291666667; +39.8169444444; OC; 0.1000000000; 1695; ; ; -3.40; -5.92; Alessi GEDR3; 
Dolidze_47; 310.433333333; +36.6227777778; OC:; 0.0833333333; 3800; ; ; -3.12; -4.68; Alessi GEDR3; 
Dolidze_52_C; 275.875000000; -17.1483333333; OC; 0.0750000000; 1868; ; ; -0.24; -1.57; Alessi GEDR3; 
