name                       RA_ICRS            DE_ICRS         Diam    
Alessi_52                 183.25880400   -62.7079765          2.3    
Alessi_53                  97.35200000    +9.1800000          2.6    
Alessi_56                 286.72298120    +9.5850305          2.2    
Alessi_57                 290.22527640   +15.6758354          3.0    
Alessi_58                  96.43928700   +19.9123588          6.3    
Alessi_59                 103.07800000    +2.1960000          0.7    
Alessi_6                  220.05800000   -66.1270000         35.3    
Alessi_60                 105.61900000    -1.1200000          5.8    
Alessi_62                 284.02600000   +21.5970000         30.7    
Alessi_63                 273.10749430   -15.3795434          4.5    
Alessi_72                 106.50833330   -16.0563889         11.0    
Alessi_8                  232.40800000   -51.2270000         26.9    
Alessi_82                 197.45416670   -64.6383333         30.0    
Alessi_87                 256.19079170   -51.4102833          6.0    
Alessi_95                  43.06250000   +68.8886111         60.0    
Alessi_J0618+1454          94.53750000   +14.8933333         28.0    
Alessi_J1145-6158         176.44714050   -61.9668059         17.3    
Alessi_J1933+1147         293.43528070   +11.8042363          5.5    
Alicante_3                355.94900000   +62.1610000          1.9    
Alicante_6                279.08125000    -6.6516667          1.8    
Alicante_7                281.12500000    -3.4833330          5.0    
Alicante_8                278.71250000    -7.2333330          7.0    
Alicante_9                281.17916700    -3.2416670          4.5    
Alves-Homeier_1           287.57291700    +9.1058330          1.4    
Andrews-Lindsay_1         281.08500000    -4.9300000          7.2    
Andrews-Lindsay_5         281.07900000    -4.9310000          2.8    
Antalova_1                262.23700000   -31.5800000         16.8    
Antalova_2                262.46200000   -32.5410000         11.6    
Antalova_3                262.65700000   -32.2050000          7.8    
Antalova_4                263.18200000   -32.9550000         12.0    
Apriamasvili_1            282.03600000    -5.8760000          8.4    
Archinal_1                283.70900000    +5.5500000          4.8    
Arp-Madore_2              114.68300000   -33.8450000          3.1    
Auner_1                   106.06000000   -19.7480000          3.1    
Aveni-Hunter_1            354.17500000   +48.2050000         59.5    
Azatyan-Nikoghosyan_13    283.56000000    +4.6950000          2.2    
Azatyan-Nikoghosyan_3     274.49166670   -12.1233333          1.5    
Azatyan-Nikoghosyan_5     283.32500000    +1.4238889          1.5    
Azatyan-Nikoghosyan_7     290.90541670   +17.4836111          0.5    
BBD_9                      96.22916700   +19.9997220          1.4    
BBJ_1b                     95.38328920   -16.0440797        110.0    
BBJ_2                     119.70000000   -49.4000000        120.0    
BBJ_3b                    119.74700000   -45.7620000         36.0    
BBJ_5                     123.01317500   -46.4002310         19.0    
BDB_10                    273.55875000   -17.9197222          0.9    
BDB_100                    13.10000000   +56.5627778          3.9    
BDB_12                    275.12500000   -16.1819444          1.9    
BDB_162                    84.45000000   +31.9900000          3.5    
BDB_168                    85.10000000   +23.8483333         10.0    
BDB_186                    93.22083330   +17.9894444          2.6    
BDB_19                    277.49166670    +1.2130556          0.9    
