Name               ;RA_J2000_deg ;De_J2000_deg  ;Type;Rad_deg      ;Dst_pc; E_B-V; Log_t;pmRA_mas;pmDe_mas;Reference          ;Aliases_and_associated_objects
Cartes_du_Ciel_1   ;84.1125000000; -0.3550000000;OC  ;0.1333333333 ;   380;      ;      ;  -0.88 ;  -0.78 ;Alessi GEDR3       ;IC_426, GN_05.33.9.02, RK_31, RK_32, DG_61, DG_62
Cha_I_SW           ;148.213333333;-79.4825000000;YA  ;0.3825000000 ;   213;      ;      ; -15.72 ;   1.81 ;Alessi GEDR3       ;
Eps_Cap            ;324.269166667;-19.4658333333;OC  ;1.3333333333 ;   285;      ;  7.44;  12.46 ;   0.69 ;Alessi GEDR3       ;
Eta_PsA_Cl         ;330.150416667;-29.0388888889;MG  ;3.5641666667 ;   261;      ;  8.06;  15.30 ;   0.10 ;Alessi GEDR3       ;
GEDR3-1            ;217.598750000;-53.9280555556;EC  ;0.0583333333 ;  1029;      ;      ;  -3.80 ;  -2.09 ;Alessi GEDR3       ;
GEDR3-2            ;223.300000000;-54.1000000000;OC  ;0.1250000000 ;  1057;      ;      ;  -2.82 ;  -2.30 ;Alessi GEDR3       ;
GEDR3-3            ;229.670000000;-37.6600000000;OC  ;0.1166666667 ;   133;      ;      ; -18.83 ; -27.01 ;Alessi GEDR3       ;
GEDR3-4            ;90.7000000000;-19.7500000000;OC  ;1.5000000000 ;   353;      ;      ;  -7.29 ;   1.21 ;Alessi GEDR3       ;
GEDR3-5            ;279.850000000; -5.3750000000;OC  ;0.0750000000 ;  3080;      ;      ;   0.23 ;  -2.20 ;Alessi GEDR3       ;
GEDR3-7            ;280.990000000;-10.7800000000;OC  ;0.0500000000 ;  1544;      ;      ;  -1.09 ;  -2.67 ;Alessi GEDR3       ;
GEDR3-8            ;280.850000000; -4.4500000000;OC  ;0.0500000000 ;  2920;      ;      ;  -1.57 ;  -4.01 ;Alessi GEDR3       ;
GEDR3-9            ;279.900000000; -8.4300000000;OC  ;0.0750000000 ;  2950;      ;      ;  -0.27 ;  -2.99 ;Alessi GEDR3       ;
GEDR3-13           ;279.550000000; -6.9800000000;OC  ;0.1250000000 ;  1883;      ;      ;  -1.05 ;  -2.33 ;Alessi GEDR3       ;
GEDR3-14           ;279.625000000; -7.0000000000;OC  ;0.1250000000 ;  1740;      ;      ;   0.49 ;  -4.89 ;Alessi GEDR3       ;
GEDR3-15           ;280.150000000; -5.3300000000;OC  ;0.0750000000 ;  3480;      ;      ;  -0.21 ;  -1.85 ;Alessi GEDR3       ;
GEDR3-16           ;35.5000000000;+30.0000000000;OC  ;1.2500000000 ;   811;      ;      ;   9.95 ;  -3.40 ;Alessi GEDR3       ;
GEDR3-17           ;336.772083333;+65.1322222222;OC  ;0.0833333333 ;   902;      ;      ;  -0.61 ;  -3.07 ;Alessi GEDR3       ;26_Cep
GEDR3-18           ;334.042916667;+52.3575000000;EC  ;0.0583333333 ;  3770;      ;      ;  -3.66 ;  -3.45 ;Alessi GEDR3       ;
GEDR3-19           ;338.667500000;+40.6736111111;EC  ;0.1691666667 ;   493;      ;      ;  -2.46 ;  -3.66 ;Alessi GEDR3       ;
GEDR3-20           ;221.100000000;-63.0000000000;OC  ;1.0833333333 ;  1062;      ;      ;  -6.11 ;  -6.42 ;Alessi GEDR3       ;
GEDR3-21           ;274.630000000;-15.1700000000;OC  ;0.1000000000 ;  1608;      ;      ;  -0.50 ;  -0.87 ;Alessi GEDR3       ;
GEDR3-22           ;93.9500000000;+22.6000000000;OC  ;0.1250000000 ;  1834;      ;      ;  -0.35 ;  -1.67 ;Alessi GEDR3       ;
GEDR3-23           ;92.0250000000;+21.5200000000;OC  ;0.0833333333 ;  4070;      ;      ;   0.19 ;  -0.18 ;Alessi GEDR3       ;
GEDR3-24           ;96.7000000000;+15.1000000000;OC  ;0.3000000000 ;  1177;      ;      ;  -1.35 ;  -0.85 ;Alessi GEDR3       ;
GEDR3-25           ;106.700000000;-12.3000000000;OC  ;0.2500000000 ;  1545;      ;      ;  -1.03 ;  -0.25 ;Alessi GEDR3       ;
GEDR3-25           ;156.325000000;-59.0900000000;OC  ;0.0833333333 ;  3380;      ;      ;  -5.76 ;   3.88 ;Alessi GEDR3       ;
GEDR3-26           ;108.485000000;-30.0000000000;OC  ;1.0000000000 ;   845;      ;      ;  -3.17 ;   3.22 ;Alessi GEDR3       ;
GEDR3-26           ;156.700000000;-59.2500000000;OC  ;0.1500000000 ;  3830;      ;      ;  -6.97 ;   4.18 ;Alessi GEDR3       ;
GEDR3-27           ;106.600000000;-25.3000000000;OC  ;0.2250000000 ;   763;      ;      ;  -3.56 ;   3.41 ;Alessi GEDR3       ;
GEDR3-27           ;163.500000000;-60.1000000000;OC  ;0.0500000000 ;  3780;      ;      ;  -7.28 ;   3.19 ;Alessi GEDR3       ;
GEDR3-28           ;111.140000000;-20.3000000000;OC  ;0.1583333333 ;  2750;      ;      ;  -2.18 ;   3.07 ;Alessi GEDR3       ;
GEDR3-28           ;198.700000000;-63.5166666667;OC  ;0.2500000000 ;  1897;      ;      ;  -4.42 ;  -2.33 ;Alessi GEDR3       ;
GEDR3-29           ;105.800000000;-12.6166666667;OC  ;0.2416666667 ;  1218;      ;      ;  -0.57 ;  -0.36 ;Alessi GEDR3       ;
GEDR3-29           ;172.920000000;-60.8166666667;OC  ;0.0750000000 ;  3060;      ;      ;  -6.30 ;   1.16 ;Alessi GEDR3       ;
GEDR3-30           ;273.525000000;-19.0000000000;OC  ;0.1083333333 ;  2656;      ;      ;  -0.35 ;  -1.18 ;Alessi GEDR3       ;
GEDR3-31           ;273.550000000;-18.8500000000;OC  ;0.1416666667 ;  1441;      ;      ;   1.03 ;  -2.63 ;Alessi GEDR3       ;
GEDR3-32           ;274.000000000;-16.5000000000;OC  ;0.4500000000 ;  1600;      ;      ;  -0.53 ;  -0.93 ;Alessi GEDR3       ;
GEDR3-33           ;115.050000000;-22.0000000000;OC  ;0.3000000000 ;  2510;      ;      ;  -3.21 ;   3.16 ;Alessi GEDR3       ;
GEDR3-34           ;182.550000000;-62.3400000000;OC: ;0.0500000000 ;  4170;      ;      ;  -6.77 ;   0.95 ;Alessi GEDR3       ;UBC_516_B
GEDR3-35           ;274.500000000;+23.0000000000;MG  ;1.2166666667 ;   329;      ;      ;  -0.32 ;  -6.53 ;Alessi GEDR3       ;Theia_817b
QY_Cen             ;212.071250000;-61.7372222222;OC  ;0.1416666667 ;  1780;      ;      ;  -4.84 ;  -2.07 ;Alessi GEDR3       ;
Urq_G19.82-0.33    ;277.092500000;-11.7955555556;EC  ;0.0083333333 ;  2025;      ;      ;  -0.05 ;  -1.31 ;Alessi GEDR3       ;
WG_3               ;52.0029166670;+30.2652777778;EC  ;0.2766666667 ;   257;      ;      ;   7.84 ; -10.53 ;Alessi GEDR3       ;LDN_1455
WG_4               ;52.2183333330;+30.9252777778;EC  ;0.2158333333 ;   290;      ;      ;   6.61 ;  -7.43 ;Alessi GEDR3       ;
WG_5               ;164.603750000;-77.2886111111;EC  ;0.1750000000 ;   183;      ;      ; -23.34 ;   2.26 ;Alessi GEDR3       ;SZ_Cha
WISE_J1104-6145    ;166.075833333;-61.7575000000;OC  ;0.0333333333 ;  5490;      ;      ;  -5.89 ;   2.31 ;Alessi GEDR3       ;IRAS_11022-6128
Zeta_CrB_Cl        ;234.528333333;+37.0319444444;MG  ;2.9016666667 ;   155;      ;  7.90; -14.96 ;  -5.78 ;Alessi GEDR3       ;
