Name                     ; Reference           ;E(B-V);  log_t
FoF 2226                 ; arXiv:1910.12600v1  ;      ;  8.97 
FoF 2227                 ; arXiv:1910.12600v1  ;      ;  8.76 
FoF 2228                 ; arXiv:1910.12600v1  ;      ;  7.46 
FoF 2229                 ; arXiv:1910.12600v1  ;      ;  8.07 
FoF 223                  ; arXiv:1910.12600v1  ;      ;  8.18 
FoF 2230                 ; arXiv:1910.12600v1  ;      ;  8.55 
FoF 2231                 ; arXiv:1910.12600v1  ;      ;  7.98 
FoF 2232                 ; arXiv:1910.12600v1  ;      ;  8.96 
FoF 2233                 ; arXiv:1910.12600v1  ;      ;  8.50 
FoF 2234                 ; arXiv:1910.12600v1  ;      ;  7.04 
FoF 2235                 ; arXiv:1910.12600v1  ;      ;  6.85 
FoF 2236                 ; arXiv:1910.12600v1  ;      ;  9.35 
FoF 2237                 ; arXiv:1910.12600v1  ;      ;  7.74 
FoF 2238                 ; 2020A&A...640A...1C ; 0.078;  8.47
FoF 2238                 ; Dias 2021           ; 0.122;  8.687
FoF 2238                 ; arXiv:1910.12600v1  ;      ;  9.42 
FoF 2239                 ; arXiv:1910.12600v1  ;      ;  7.97 
FoF 224                  ; arXiv:1910.12600v1  ;      ;  8.84 
FoF 2240                 ; arXiv:1910.12600v1  ;      ;  7.97 
FoF 2241                 ; arXiv:1910.12600v1  ;      ;  8.97 
FoF 2242                 ; arXiv:1910.12600v1  ;      ;  8.62 
FoF 2243                 ; arXiv:1910.12600v1  ;      ;  8.47 
FoF 2244                 ; arXiv:1910.12600v1  ;      ;  8.45 
FoF 2245                 ; arXiv:1910.12600v1  ;      ;  6.60 
FoF 2246                 ; arXiv:1910.12600v1  ;      ;  8.37 
FoF 2247                 ; arXiv:1910.12600v1  ;      ;  7.18 
FoF 2248                 ; arXiv:1910.12600v1  ;      ;  7.50 
FoF 2249                 ; Dias 2021           ; 0.707;  6.720
FoF 2249                 ; arXiv:1910.12600v1  ;      ;  6.78 
FoF 225                  ; arXiv:1910.12600v1  ;      ;  6.70 
FoF 2250                 ; arXiv:1910.12600v1  ;      ;  8.47 
FoF 2251                 ; arXiv:1910.12600v1  ;      ;  7.28 
FoF 2252                 ; arXiv:1910.12600v1  ;      ;  9.52 
FoF 2253                 ; 2020A&A...640A...1C ; 0.350;  7.71
FoF 2253                 ; Dias 2021           ; 0.511;  7.854
FoF 2253                 ; arXiv:1910.12600v1  ;      ;  7.42 
FoF 2254                 ; arXiv:1910.12600v1  ;      ;  6.60 
FoF 2255                 ; arXiv:1910.12600v1  ;      ;  7.20 
FoF 2256                 ; arXiv:1910.12600v1  ;      ;  6.95 
FoF 2257                 ; arXiv:1910.12600v1  ;      ;  9.06 
FoF 2258                 ; arXiv:1910.12600v1  ;      ;  7.97 
FoF 2259                 ; arXiv:1910.12600v1  ;      ;  8.52 
FoF 226                  ; arXiv:1910.12600v1  ;      ;  6.60 
FoF 2260                 ; arXiv:1910.12600v1  ;      ;  8.43 
FoF 2261                 ; arXiv:1910.12600v1  ;      ;  7.99 
FoF 2262                 ; arXiv:1910.12600v1  ;      ;  6.70 
FoF 2263                 ; arXiv:1910.12600v1  ;      ;  6.60 
FoF 2264                 ; arXiv:1910.12600v1  ;      ;  7.80 
FoF 2265                 ; arXiv:1910.12600v1  ;      ;  8.94 
FoF 2266                 ; arXiv:1910.12600v1  ;      ;  8.55 
FoF 2267                 ; arXiv:1910.12600v1  ;      ;  7.82 
FoF 2268                 ; arXiv:1910.12600v1  ;      ;  9.07 
FoF 2269                 ; arXiv:1910.12600v1  ;      ;  7.99 
FoF 227                  ; arXiv:1910.12600v1  ;      ;  9.22 
FoF 2270                 ; arXiv:1910.12600v1  ;      ;  7.04 
FoF 2271                 ; arXiv:1910.12600v1  ;      ;  7.28 
FoF 2272                 ; arXiv:1910.12600v1  ;      ;  7.70 
FoF 2273                 ; arXiv:1910.12600v1  ;      ;  7.67 
FoF 2274                 ; arXiv:1910.12600v1  ;      ;  7.72 
FoF 2275                 ; arXiv:1910.12600v1  ;      ;  7.50 
FoF 2276                 ; arXiv:1910.12600v1  ;      ;  8.45 
FoF 2277                 ; arXiv:1910.12600v1  ;      ;  8.54 
FoF 2278                 ; arXiv:1910.12600v1  ;      ;  7.82 
FoF 2279                 ; arXiv:1910.12600v1  ;      ;  7.83 
FoF 228                  ; arXiv:1910.12600v1  ;      ;  7.18 
FoF 2280                 ; arXiv:1910.12600v1  ;      ; 10.06 
FoF 2281                 ; arXiv:1910.12600v1  ;      ;  7.97 
FoF 2282                 ; arXiv:1910.12600v1  ;      ;  6.85 
FoF 2283                 ; arXiv:1910.12600v1  ;      ;  7.77 
FoF 2284                 ; arXiv:1910.12600v1  ;      ;  6.78 
FoF 2285                 ; arXiv:1910.12600v1  ;      ;  8.52 
FoF 2286                 ; arXiv:1910.12600v1  ;      ;  7.61 
FoF 2287                 ; Dias 2021           ; 0.203;  8.138
FoF 2287                 ; arXiv:1910.12600v1  ;      ;  8.71 
FoF 2288                 ; arXiv:1910.12600v1  ;      ;  7.04 
FoF 2289                 ; arXiv:1910.12600v1  ;      ;  7.61 
FoF 229                  ; arXiv:1910.12600v1  ;      ;  8.70 
FoF 2290                 ; arXiv:1910.12600v1  ;      ;  7.77 
FoF 2291                 ; arXiv:1910.12600v1  ;      ;  6.90 
FoF 2292                 ; arXiv:1910.12600v1  ;      ;  7.83 
FoF 2293                 ; arXiv:1910.12600v1  ;      ;  8.61 
FoF 2294                 ; arXiv:1910.12600v1  ;      ;  8.37 
FoF 2295                 ; arXiv:1910.12600v1  ;      ;  8.44 
FoF 2296                 ; arXiv:1910.12600v1  ;      ;  7.88 
FoF 2297                 ; arXiv:1910.12600v1  ;      ;  7.91 
FoF 2298                 ; arXiv:1910.12600v1  ;      ;  7.38 
FoF 2299                 ; arXiv:1910.12600v1  ;      ;  8.12 
FoF 23                   ; arXiv:1910.12600v1  ;      ; 10.11 
FoF 230                  ; arXiv:1910.12600v1  ;      ; 10.10 
FoF 2300                 ; arXiv:1910.12600v1  ;      ;  7.80 
FoF 2301                 ; arXiv:1910.12600v1  ;      ;  9.07 
FoF 2302                 ; arXiv:1910.12600v1  ;      ;  7.70 
FoF 2303                 ; arXiv:1910.12600v1  ;      ;  7.48 
FoF 2304                 ; arXiv:1910.12600v1  ;      ;  9.26 
FoF 2305                 ; arXiv:1910.12600v1  ;      ;  7.98 
FoF 2306                 ; arXiv:1910.12600v1  ;      ;  6.70 
FoF 2307                 ; arXiv:1910.12600v1  ;      ;  7.80 
FoF 2308                 ; arXiv:1910.12600v1  ;      ;  7.97 
FoF 2309                 ; arXiv:1910.12600v1  ;      ;  9.06 
FoF 231                  ; arXiv:1910.12600v1  ;      ;  7.57 
FoF 2310                 ; arXiv:1910.12600v1  ;      ;  7.52 
FoF 2311                 ; arXiv:1910.12600v1  ;      ;  6.60 
FoF 2312                 ; Dias 2021           ; 0.598;  7.715
FoF 2312                 ; arXiv:1910.12600v1  ;      ;  8.45 
FoF 2313                 ; arXiv:1910.12600v1  ;      ;  6.60 
FoF 2314                 ; arXiv:1910.12600v1  ;      ;  8.48 
FoF 2315                 ; arXiv:1910.12600v1  ;      ;  8.56 
FoF 2316                 ; arXiv:1910.12600v1  ;      ;  6.60 
FoF 2317                 ; arXiv:1910.12600v1  ;      ;  7.32 
FoF 2318                 ; arXiv:1910.12600v1  ;      ;  7.26 
FoF 2319                 ; arXiv:1910.12600v1  ;      ;  7.58 
FoF 232                  ; arXiv:1910.12600v1  ;      ;  6.90 
FoF 2320                 ; arXiv:1910.12600v1  ;      ;  7.63 
FoF 2321                 ; arXiv:1910.12600v1  ;      ;  7.67 
FoF 2322                 ; arXiv:1910.12600v1  ;      ;  7.82 
FoF 2323                 ; arXiv:1910.12600v1  ;      ;  8.11 
FoF 2324                 ; arXiv:1910.12600v1  ;      ;  6.70 
FoF 2325                 ; arXiv:1910.12600v1  ;      ;  7.76 
FoF 2326                 ; arXiv:1910.12600v1  ;      ;  7.28 
FoF 2327                 ; arXiv:1910.12600v1  ;      ;  8.94 
FoF 2328                 ; arXiv:1910.12600v1  ;      ;  7.32 
FoF 2329                 ; arXiv:1910.12600v1  ;      ;  8.45 
FoF 233                  ; arXiv:1910.12600v1  ;      ;  8.73 
FoF 2330                 ; arXiv:1910.12600v1  ;      ;  7.52 
FoF 2331                 ; arXiv:1910.12600v1  ;      ;  7.54 
FoF 2332                 ; arXiv:1910.12600v1  ;      ;  8.43 
FoF 2333                 ; arXiv:1910.12600v1  ;      ;  6.70 
FoF 2334                 ; arXiv:1910.12600v1  ;      ;  8.74 
FoF 2335                 ; arXiv:1910.12600v1  ;      ;  7.25 
FoF 2336                 ; arXiv:1910.12600v1  ;      ;  8.45 
FoF 2337                 ; arXiv:1910.12600v1  ;      ;  8.56 
FoF 2338                 ; arXiv:1910.12600v1  ;      ;  7.82 
FoF 2339                 ; Dias 2021           ; 0.830;  7.839
FoF 2339                 ; arXiv:1910.12600v1  ;      ;  8.44 
FoF 234                  ; arXiv:1910.12600v1  ;      ;  8.73 
FoF 2340                 ; arXiv:1910.12600v1  ;      ;  8.64 
FoF 2341                 ; arXiv:1910.12600v1  ;      ;  7.63 
FoF 2342                 ; arXiv:1910.12600v1  ;      ;  9.29 
FoF 2343                 ; arXiv:1910.12600v1  ;      ;  6.60 
FoF 2344                 ; arXiv:1910.12600v1  ;      ;  7.48 
FoF 2345                 ; arXiv:1910.12600v1  ;      ;  7.60 
FoF 2346                 ; arXiv:1910.12600v1  ;      ;  7.80 
FoF 2347                 ; arXiv:1910.12600v1  ;      ;  7.93 
FoF 2348                 ; arXiv:1910.12600v1  ;      ;  9.49 
FoF 2349                 ; arXiv:1910.12600v1  ;      ;  7.76 
FoF 235                  ; arXiv:1910.12600v1  ;      ;  8.27 
FoF 2350                 ; arXiv:1910.12600v1  ;      ;  7.08 
FoF 2351                 ; arXiv:1910.12600v1  ;      ;  7.38 
FoF 2352                 ; arXiv:1910.12600v1  ;      ;  6.70 
FoF 2353                 ; arXiv:1910.12600v1  ;      ;  6.70 
FoF 2354                 ; arXiv:1910.12600v1  ;      ;  8.25 
FoF 2355                 ; arXiv:1910.12600v1  ;      ;  8.58 
FoF 2356                 ; arXiv:1910.12600v1  ;      ;  8.54 
FoF 2357                 ; arXiv:1910.12600v1  ;      ;  9.06 
FoF 2358                 ; arXiv:1910.12600v1  ;      ;  8.02 
FoF 2359                 ; arXiv:1910.12600v1  ;      ;  7.90 
FoF 236                  ; arXiv:1910.12600v1  ;      ;  9.15 
FoF 2360                 ; arXiv:1910.12600v1  ;      ;  7.67 
FoF 2361                 ; arXiv:1910.12600v1  ;      ;  7.52 
FoF 2362                 ; arXiv:1910.12600v1  ;      ;  8.82 
FoF 2363                 ; arXiv:1910.12600v1  ;      ; 10.11 
FoF 2364                 ; arXiv:1910.12600v1  ;      ;  9.97 
FoF 2365                 ; arXiv:1910.12600v1  ;      ; 10.11 
FoF 2366                 ; arXiv:1910.12600v1  ;      ;  8.50 
FoF 2367                 ; arXiv:1910.12600v1  ;      ;  7.04 
FoF 2368                 ; arXiv:1910.12600v1  ;      ;  8.47 
FoF 2369                 ; arXiv:1910.12600v1  ;      ;  7.04 
FoF 237                  ; arXiv:1910.12600v1  ;      ;  6.85 
FoF 2370                 ; arXiv:1910.12600v1  ;      ;  6.60 
FoF 2371                 ; arXiv:1910.12600v1  ;      ;  7.28 
FoF 2372                 ; arXiv:1910.12600v1  ;      ;  7.04 
FoF 2373                 ; arXiv:1910.12600v1  ;      ;  6.95 
FoF 2374                 ; arXiv:1910.12600v1  ;      ;  7.15 
FoF 2375                 ; arXiv:1910.12600v1  ;      ;  7.32 
FoF 2376                 ; arXiv:1910.12600v1  ;      ;  7.28 
FoF 2377                 ; arXiv:1910.12600v1  ;      ;  7.08 
FoF 2378                 ; arXiv:1910.12600v1  ;      ;  7.97 
FoF 2379                 ; arXiv:1910.12600v1  ;      ;  6.60 
FoF 238                  ; arXiv:1910.12600v1  ;      ;  8.86 
FoF 2380                 ; arXiv:1910.12600v1  ;      ;  9.39 
FoF 2381                 ; arXiv:1910.12600v1  ;      ;  6.95 
FoF 2382                 ; arXiv:1910.12600v1  ;      ;  7.54 
FoF 2383                 ; arXiv:1910.12600v1  ;      ;  7.52 
FoF 2384                 ; arXiv:1910.12600v1  ;      ;  7.52 
FoF 2385                 ; arXiv:1910.12600v1  ;      ;  6.78 
FoF 2386                 ; arXiv:1910.12600v1  ;      ;  7.74 
FoF 2387                 ; arXiv:1910.12600v1  ;      ;  6.84 
FoF 2388                 ; arXiv:1910.12600v1  ;      ;  7.25 
FoF 2389                 ; arXiv:1910.12600v1  ;      ;  7.82 
FoF 239                  ; arXiv:1910.12600v1  ;      ;  9.05 
FoF 2390                 ; arXiv:1910.12600v1  ;      ;  8.96 
FoF 2391                 ; arXiv:1910.12600v1  ;      ;  7.92 
FoF 2392                 ; arXiv:1910.12600v1  ;      ;  7.11 
FoF 2393                 ; arXiv:1910.12600v1  ;      ;  7.53 
FoF 2394                 ; arXiv:1910.12600v1  ;      ;  6.85 
FoF 2395                 ; arXiv:1910.12600v1  ;      ;  7.58 
FoF 2396                 ; arXiv:1910.12600v1  ;      ;  7.11 
FoF 2397                 ; arXiv:1910.12600v1  ;      ;  7.51 
FoF 2398                 ; arXiv:1910.12600v1  ;      ; 10.11 
FoF 2399                 ; arXiv:1910.12600v1  ;      ;  7.66 
FoF 24                   ; arXiv:1910.12600v1  ;      ; 10.11 
FoF 240                  ; arXiv:1910.12600v1  ;      ;  7.48 
FoF 2400                 ; arXiv:1910.12600v1  ;      ;  7.58 
FoF 2401                 ; arXiv:1910.12600v1  ;      ;  7.58 
FoF 2402                 ; arXiv:1910.12600v1  ;      ;  6.95 
FoF 2403                 ; arXiv:1910.12600v1  ;      ;  7.58 
FoF 2404                 ; arXiv:1910.12600v1  ;      ;  8.27 
FoF 2405                 ; arXiv:1910.12600v1  ;      ;  7.77 
FoF 2406                 ; arXiv:1910.12600v1  ;      ;  7.81 
FoF 2407                 ; arXiv:1910.12600v1  ;      ;  7.53 
FoF 2408                 ; arXiv:1910.12600v1  ;      ;  8.83 
FoF 2409                 ; arXiv:1910.12600v1  ;      ;  6.95 
FoF 241                  ; arXiv:1910.12600v1  ;      ;  8.72 
FoF 2410                 ; arXiv:1910.12600v1  ;      ;  7.70 
FoF 2411                 ; arXiv:1910.12600v1  ;      ;  7.70 
FoF 2412                 ; arXiv:1910.12600v1  ;      ;  7.30 
FoF 2413                 ; arXiv:1910.12600v1  ;      ;  7.66 
FoF 2414                 ; arXiv:1910.12600v1  ;      ;  7.94 
FoF 2415                 ; arXiv:1910.12600v1  ;      ;  7.68 
FoF 2416                 ; arXiv:1910.12600v1  ;      ;  6.95 
FoF 2417                 ; arXiv:1910.12600v1  ;      ;  7.78 
FoF 2418                 ; arXiv:1910.12600v1  ;      ;  7.49 
FoF 2419                 ; arXiv:1910.12600v1  ;      ;  7.61 
FoF 242                  ; arXiv:1910.12600v1  ;      ;  8.71 
FoF 2420                 ; arXiv:1910.12600v1  ;      ;  7.46 
FoF 2421                 ; arXiv:1910.12600v1  ;      ;  7.70 
FoF 2422                 ; arXiv:1910.12600v1  ;      ;  8.95 
FoF 2423                 ; arXiv:1910.12600v1  ;      ;  7.82 
FoF 2424                 ; arXiv:1910.12600v1  ;      ;  7.52 
FoF 2425                 ; arXiv:1910.12600v1  ;      ;  8.70 
FoF 2426                 ; arXiv:1910.12600v1  ;      ;  7.52 
FoF 2427                 ; arXiv:1910.12600v1  ;      ;  7.32 
FoF 2428                 ; arXiv:1910.12600v1  ;      ;  7.42 
FoF 2429                 ; arXiv:1910.12600v1  ;      ;  8.41 
FoF 243                  ; arXiv:1910.12600v1  ;      ;  7.04 
FoF 2430                 ; arXiv:1910.12600v1  ;      ;  7.40 
FoF 2431                 ; arXiv:1910.12600v1  ;      ;  8.94 
FoF 2432                 ; arXiv:1910.12600v1  ;      ;  7.52 
FoF 2433                 ; arXiv:1910.12600v1  ;      ;  7.66 
FoF 2434                 ; arXiv:1910.12600v1  ;      ;  8.64 
FoF 2435                 ; arXiv:1910.12600v1  ;      ;  7.28 
FoF 2436                 ; arXiv:1910.12600v1  ;      ;  7.52 
FoF 2437                 ; arXiv:1910.12600v1  ;      ;  7.60 
FoF 2438                 ; arXiv:1910.12600v1  ;      ;  7.61 
FoF 2439                 ; arXiv:1910.12600v1  ;      ;  6.90 
FoF 244                  ; arXiv:1910.12600v1  ;      ;  8.66 
FoF 2440                 ; arXiv:1910.12600v1  ;      ;  6.70 
FoF 2441                 ; arXiv:1910.12600v1  ;      ;  7.85 
FoF 2442                 ; arXiv:1910.12600v1  ;      ;  6.78 
FoF 245                  ; arXiv:1910.12600v1  ;      ;  8.83 
FoF 246                  ; arXiv:1910.12600v1  ;      ;  8.75 
FoF 247                  ; arXiv:1910.12600v1  ;      ;  9.06 
FoF 248                  ; arXiv:1910.12600v1  ;      ;  9.08 
FoF 249                  ; arXiv:1910.12600v1  ;      ;  8.70 
FoF 25                   ; arXiv:1910.12600v1  ;      ; 10.07 
FoF 250                  ; arXiv:1910.12600v1  ;      ;  8.48 
FoF 251                  ; arXiv:1910.12600v1  ;      ;  9.31 
FoF 252                  ; arXiv:1910.12600v1  ;      ;  8.06 
FoF 253                  ; arXiv:1910.12600v1  ;      ;  8.07 
FoF 254                  ; arXiv:1910.12600v1  ;      ;  6.60 
FoF 255                  ; arXiv:1910.12600v1  ;      ;  8.06 
FoF 256                  ; arXiv:1910.12600v1  ;      ;  9.04 
FoF 257                  ; arXiv:1910.12600v1  ;      ;  8.25 
FoF 258                  ; arXiv:1910.12600v1  ;      ;  9.22 
FoF 259                  ; arXiv:1910.12600v1  ;      ;  6.60 
FoF 26                   ; arXiv:1910.12600v1  ;      ;  6.78 
FoF 260                  ; arXiv:1910.12600v1  ;      ;  8.06 
FoF 261                  ; arXiv:1910.12600v1  ;      ;  8.24 
FoF 262                  ; arXiv:1910.12600v1  ;      ;  6.60 
FoF 263                  ; arXiv:1910.12600v1  ;      ;  6.60 
FoF 264                  ; arXiv:1910.12600v1  ;      ;  8.67 
FoF 265                  ; Dias 2021           ; 1.342;  8.851
FoF 265                  ; arXiv:1910.12600v1  ;      ;  8.90 
FoF 266                  ; arXiv:1910.12600v1  ;      ;  6.60 
FoF 267                  ; arXiv:1910.12600v1  ;      ;  7.92 
FoF 268                  ; arXiv:1910.12600v1  ;      ;  8.85 
FoF 269                  ; arXiv:1910.12600v1  ;      ;  8.71 
FoF 27                   ; arXiv:1910.12600v1  ;      ;  9.01 
FoF 270                  ; arXiv:1910.12600v1  ;      ;  6.60 
FoF 271                  ; arXiv:1910.12600v1  ;      ;  7.04 
FoF 272                  ; arXiv:1910.12600v1  ;      ;  6.70 
FoF 273                  ; 2020A&A...640A...1C ; 0.641;  8.58
FoF 273                  ; arXiv:1910.12600v1  ;      ;  9.17 
FoF 274                  ; arXiv:1910.12600v1  ;      ;  8.65 
FoF 275                  ; arXiv:1910.12600v1  ;      ;  7.79 
FoF 276                  ; arXiv:1910.12600v1  ;      ;  6.60 
FoF 277                  ; arXiv:1910.12600v1  ;      ;  8.06 
FoF 278                  ; arXiv:1910.12600v1  ;      ;  8.79 
FoF 279                  ; arXiv:1910.12600v1  ;      ;  8.89 
FoF 28                   ; arXiv:1910.12600v1  ;      ;  9.42 
FoF 280                  ; arXiv:1910.12600v1  ;      ;  8.84 
FoF 281                  ; arXiv:1910.12600v1  ;      ;  6.70 
FoF 282                  ; Dias 2021           ; 1.334;  8.204
FoF 282                  ; arXiv:1910.12600v1  ;      ;  8.84 
FoF 283                  ; arXiv:1910.12600v1  ;      ;  6.60 
FoF 284                  ; arXiv:1910.12600v1  ;      ;  8.61 
FoF 285                  ; arXiv:1910.12600v1  ;      ;  8.79 
FoF 286                  ; arXiv:1910.12600v1  ;      ;  7.42 
FoF 287                  ; arXiv:1910.12600v1  ;      ;  8.70 
FoF 288                  ; Dias 2021           ; 0.790;  7.075
FoF 288                  ; arXiv:1910.12600v1  ;      ;  8.70 
FoF 289                  ; arXiv:1910.12600v1  ;      ;  8.89 
FoF 29                   ; arXiv:1910.12600v1  ;      ;  8.97 
FoF 290                  ; arXiv:1910.12600v1  ;      ;  9.22 
FoF 291                  ; arXiv:1910.12600v1  ;      ;  9.09 
FoF 292                  ; arXiv:1910.12600v1  ;      ;  7.87 
FoF 293                  ; arXiv:1910.12600v1  ;      ;  8.08 
FoF 294                  ; arXiv:1910.12600v1  ;      ;  8.70 
FoF 295                  ; arXiv:1910.12600v1  ;      ;  9.02 
FoF 296                  ; arXiv:1910.12600v1  ;      ;  8.70 
FoF 297                  ; arXiv:1910.12600v1  ;      ;  6.70 
FoF 298                  ; arXiv:1910.12600v1  ;      ;  8.70 
FoF 299                  ; arXiv:1910.12600v1  ;      ;  8.80 
FoF 3                    ; arXiv:1910.12600v1  ;      ;  9.53 
FoF 30                   ; arXiv:1910.12600v1  ;      ;  9.42 
FoF 300                  ; arXiv:1910.12600v1  ;      ;  8.37 
FoF 301                  ; arXiv:1910.12600v1  ;      ;  6.60 
FoF 302                  ; arXiv:1910.12600v1  ;      ;  7.88 
FoF 303                  ; arXiv:1910.12600v1  ;      ;  8.06 
FoF 304                  ; arXiv:1910.12600v1  ;      ;  6.60 
FoF 305                  ; arXiv:1910.12600v1  ;      ; 10.07 
FoF 306                  ; arXiv:1910.12600v1  ;      ; 10.09 
FoF 307                  ; arXiv:1910.12600v1  ;      ; 10.06 
FoF 308                  ; arXiv:1910.12600v1  ;      ;  8.67 
FoF 309                  ; arXiv:1910.12600v1  ;      ;  8.69 
FoF 31                   ; arXiv:1910.12600v1  ;      ;  8.54 
FoF 310                  ; arXiv:1910.12600v1  ;      ;  8.11 
FoF 311                  ; arXiv:1910.12600v1  ;      ;  8.03 
FoF 312                  ; arXiv:1910.12600v1  ;      ;  6.60 
FoF 313                  ; Dias 2021           ; 1.063;  8.609
FoF 313                  ; arXiv:1910.12600v1  ;      ;  9.06 
FoF 314                  ; arXiv:1910.12600v1  ;      ;  9.64 
FoF 315                  ; arXiv:1910.12600v1  ;      ;  9.68 
FoF 316                  ; arXiv:1910.12600v1  ;      ;  9.63 
FoF 317                  ; arXiv:1910.12600v1  ;      ;  9.53 
FoF 318                  ; arXiv:1910.12600v1  ;      ;  8.00 
FoF 319                  ; arXiv:1910.12600v1  ;      ;  7.88 
FoF 32                   ; arXiv:1910.12600v1  ;      ;  8.33 
FoF 320                  ; arXiv:1910.12600v1  ;      ; 10.08 
FoF 321                  ; 2020A&A...640A...1C ; 0.772;  9.07
FoF 321                  ; Dias 2021           ; 0.996;  8.861
FoF 321                  ; arXiv:1910.12600v1  ;      ;  8.83 
FoF 322                  ; arXiv:1910.12600v1  ;      ;  6.60 
FoF 323                  ; arXiv:1910.12600v1  ;      ;  7.81 
FoF 324                  ; arXiv:1910.12600v1  ;      ;  8.99 
FoF 325                  ; arXiv:1910.12600v1  ;      ;  7.92 
FoF 326                  ; arXiv:1910.12600v1  ;      ;  8.52 
FoF 327                  ; arXiv:1910.12600v1  ;      ; 10.04 
FoF 328                  ; arXiv:1910.12600v1  ;      ;  9.67 
FoF 329                  ; arXiv:1910.12600v1  ;      ;  7.92 
FoF 33                   ; arXiv:1910.12600v1  ;      ;  6.78 
FoF 330                  ; arXiv:1910.12600v1  ;      ; 10.04 
FoF 331                  ; arXiv:1910.12600v1  ;      ; 10.04 
FoF 332                  ; arXiv:1910.12600v1  ;      ; 10.03 
FoF 333                  ; arXiv:1910.12600v1  ;      ;  7.94 
FoF 334                  ; arXiv:1910.12600v1  ;      ; 10.03 
FoF 335                  ; arXiv:1910.12600v1  ;      ;  9.23 
FoF 336                  ; arXiv:1910.12600v1  ;      ;  8.86 
FoF 337                  ; arXiv:1910.12600v1  ;      ;  9.63 
FoF 338                  ; arXiv:1910.12600v1  ;      ;  8.04 
FoF 339                  ; arXiv:1910.12600v1  ;      ;  7.56 
FoF 34                   ; arXiv:1910.12600v1  ;      ;  8.87 
FoF 340                  ; arXiv:1910.12600v1  ;      ;  7.92 
FoF 341                  ; Dias 2021           ; 0.654;  7.162
FoF 341                  ; arXiv:1910.12600v1  ;      ;  8.83 
FoF 342                  ; arXiv:1910.12600v1  ;      ;  8.87 
FoF 343                  ; arXiv:1910.12600v1  ;      ;  8.37 
FoF 344                  ; Dias 2021           ; 0.789;  7.878
FoF 344                  ; arXiv:1910.12600v1  ;      ;  6.70 
FoF 345                  ; arXiv:1910.12600v1  ;      ;  6.60 
FoF 346                  ; arXiv:1910.12600v1  ;      ;  6.60 
FoF 347                  ; arXiv:1910.12600v1  ;      ;  8.31 
FoF 348                  ; arXiv:1910.12600v1  ;      ;  6.60 
FoF 349                  ; arXiv:1910.12600v1  ;      ;  9.23 
FoF 35                   ; arXiv:1910.12600v1  ;      ;  9.35 
FoF 350                  ; arXiv:1910.12600v1  ;      ;  8.02 
FoF 351                  ; arXiv:1910.12600v1  ;      ;  8.99 
FoF 352                  ; arXiv:1910.12600v1  ;      ;  6.78 
FoF 353                  ; arXiv:1910.12600v1  ;      ;  7.80 
FoF 354                  ; arXiv:1910.12600v1  ;      ;  7.80 
FoF 355                  ; arXiv:1910.12600v1  ;      ;  6.70 
FoF 356                  ; arXiv:1910.12600v1  ;      ;  8.38 
FoF 357                  ; arXiv:1910.12600v1  ;      ;  7.90 
FoF 358                  ; arXiv:1910.12600v1  ;      ;  8.70 
FoF 359                  ; arXiv:1910.12600v1  ;      ;  6.90 
FoF 36                   ; arXiv:1910.12600v1  ;      ;  6.60 
FoF 360                  ; arXiv:1910.12600v1  ;      ;  8.64 
FoF 361                  ; arXiv:1910.12600v1  ;      ;  6.60 
FoF 362                  ; arXiv:1910.12600v1  ;      ;  8.11 
FoF 363                  ; arXiv:1910.12600v1  ;      ;  8.76 
FoF 364                  ; arXiv:1910.12600v1  ;      ;  8.44 
FoF 365                  ; arXiv:1910.12600v1  ;      ;  8.67 
FoF 366                  ; arXiv:1910.12600v1  ;      ;  9.06 
FoF 367                  ; arXiv:1910.12600v1  ;      ;  9.08 
FoF 368                  ; Dias 2021           ; 0.447;  7.747
FoF 368                  ; arXiv:1910.12600v1  ;      ;  8.75 
FoF 369                  ; arXiv:1910.12600v1  ;      ;  9.22 
FoF 37                   ; arXiv:1910.12600v1  ;      ;  8.40 
FoF 370                  ; arXiv:1910.12600v1  ;      ;  8.78 
FoF 371                  ; arXiv:1910.12600v1  ;      ;  8.71 
FoF 372                  ; arXiv:1910.12600v1  ;      ;  9.00 
FoF 373                  ; Dias 2021           ; 0.387;  8.228
FoF 373                  ; arXiv:1910.12600v1  ;      ;  6.60 
FoF 374                  ; arXiv:1910.12600v1  ;      ;  8.84 
FoF 375                  ; arXiv:1910.12600v1  ;      ;  9.03 
FoF 376                  ; arXiv:1910.12600v1  ;      ;  7.80 
FoF 377                  ; arXiv:1910.12600v1  ;      ;  9.47 
FoF 378                  ; arXiv:1910.12600v1  ;      ;  8.98 
FoF 379                  ; arXiv:1910.12600v1  ;      ;  6.60 
FoF 38                   ; arXiv:1910.12600v1  ;      ;  8.55 
FoF 380                  ; arXiv:1910.12600v1  ;      ;  8.88 
FoF 381                  ; arXiv:1910.12600v1  ;      ;  8.72 
FoF 382                  ; arXiv:1910.12600v1  ;      ;  8.54 
FoF 383                  ; arXiv:1910.12600v1  ;      ;  7.70 
FoF 384                  ; arXiv:1910.12600v1  ;      ;  8.56 
FoF 385                  ; arXiv:1910.12600v1  ;      ;  8.85 
FoF 386                  ; arXiv:1910.12600v1  ;      ;  8.76 
FoF 387                  ; arXiv:1910.12600v1  ;      ;  9.09 
FoF 388                  ; arXiv:1910.12600v1  ;      ;  9.47 
