Name                Cns RA           Dec         Type    Diam   Dist  E(B-V) Age     pmRA    pmDe  BibCode            
FoF 1068            Car  11 05 33.6 -60 41 38    OC?     18.1   3731         8.70   -6.51    1.98  Liu 2019           
FoF 1532            Car  11 06 16.7 -59 11 35    OC?     13.4   3663         6.70   -6.14    2.05  Liu 2019           
FoF 1058            Car  11 06 35.6 -61 13 12    OC:     14.6   3636         8.73   -6.16    2.12  Liu 2019           
FoF 1501            Car  11 07 04.8 -59 11 40    OC?     18.0   3460         8.70   -6.00    2.14  Liu 2019           
FoF 1074            Car  11 07 19.5 -61 29 01    OC?     16.0   3268         8.83   -6.00    2.07  Liu 2019           
FoF 1522            Car  11 07 22.0 -59 09 32    OC?     16.3   3650         8.82   -6.20    2.20  Liu 2019           
FoF 1503            Car  11 07 29.0 -58 47 26    OC?     16.9   3597         6.60   -6.49    2.45  Liu 2019           
FoF 1527            Car  11 08 40.1 -60 17 13    OC?     16.7   3876         8.68   -6.54    2.04  Liu 2019           
FoF 1073            Car  11 08 43.8 -61 29 05    OC?     13.9   4132         8.86   -5.74    1.94  Liu 2019           
FoF 1086            Car  11 09 48.4 -60 43 24    OC?     13.1   4132         8.76   -6.16    2.00  Liu 2019           
FoF 1531            Car  11 12 14.6 -60 30 45    OC?     13.4   2597         6.60   -6.21    1.78  Liu 2019           
FoF 1525            Car  11 14 21.5 -60 28 00    OC?     15.1   3846        10.11   -6.12    2.04  Liu 2019           
FoF 1084            Car  11 15 42.6 -60 59 41    OC?     12.8   3817        10.07   -6.36    1.97  Liu 2019           
FoF 1548            Car  11 17 37.7 -60 28 19    OC?     16.1   3390         6.60   -6.35    1.76  Liu 2019           
FoF 1547            Car  11 17 47.1 -60 15 56    OC?     15.1   4310         8.97   -6.52    2.09  Liu 2019           
FoF 1546            Car  11 17 59.1 -60 37 39    OC?     16.9   4049        10.06   -6.27    1.98  Liu 2019           
FoF 1088            Car  11 18 30.8 -60 36 52    OC?     13.1   4098         6.60   -6.14    1.82  Liu 2019           
UBC 602             Cas  01 38 13.2 +60 43 12    OC       3.8   3311                -1.04   -0.28  Cantat-Gaudin 2020b
FoF 1545            Cen  11 21 18.4 -60 16 02    OC?     14.6   4292         9.29   -6.18    1.68  Liu 2019           
FoF 413             Cen  11 24 01.7 -60 56 15    OC?     13.3   4608         8.72   -6.27    1.68  Liu 2019           
FoF 1102            Cen  11 24 05.5 -60 58 23    OC?     13.8   4184         8.70   -6.48    1.59  Liu 2019           
FoF 1541            Cen  11 25 38.1 -60 23 46    OC?     13.8   3968         9.08   -6.22    1.63  Liu 2019           
FoF 1542            Cen  11 26 59.6 -60 25 52    OC?     14.2   4184         8.82   -6.11    1.76  Liu 2019           
FoF 1543            Cen  11 28 16.4 -60 21 20    OC?     15.2   4082        10.11   -5.95    1.49  Liu 2019           
FoF 1550            Cen  11 29 38.6 -60 33 20    OC?     15.2   4098         9.31   -6.36    1.70  Liu 2019           
FoF 1107            Cen  11 29 58.9 -61 05 00    OC?     11.2   3367         8.78   -6.37    1.32  Liu 2019           
FoF 1559            Cen  11 30 40.9 -60 53 47    OC?     15.5   3676         8.98   -6.55    1.56  Liu 2019           
FoF 1561            Cen  11 31 23.0 -61 04 23    OC?     15.1   4219         9.22   -6.10    1.49  Liu 2019           
FoF 1557            Cen  11 31 53.4 -60 49 37    OC?     14.4   3322         6.60   -6.33    1.36  Liu 2019           
FoF 1555            Cen  11 34 03.9 -60 55 32    OC?     13.8   4237         8.84   -6.51    1.59  Liu 2019           
FoF 1560            Cen  11 34 21.6 -61 03 02    OC?     18.1   3436         6.60   -6.28    1.34  Liu 2019           
FoF 1575            Cen  11 36 41.4 -61 27 15    OC?     13.4   4016         8.86   -6.54    1.33  Liu 2019           
FoF 1101            Cen  11 37 11.8 -61 23 15    OC?     12.6   4082         7.86   -6.63    1.45  Liu 2019           
FoF 1558            Cen  11 38 28.0 -61 05 11    OC?     16.4   4184         6.60   -6.55    1.39  Liu 2019           
FoF 1097            Cen  11 41 01.2 -61 25 16    OC?     16.0   4219         8.89   -6.60    1.42  Liu 2019           
FoF 1571            Cen  11 42 37.1 -61 15 23    OC?     15.7   4184         9.12   -6.93    1.36  Liu 2019           
FoF 837             Cen  11 43 35.2 -63 35 46    OC?     14.2   4115         8.06   -6.02    1.11  Liu 2019           
FoF 1099            Cen  11 44 34.0 -61 46 46    OC?     16.4   4098         8.73   -6.45    1.20  Liu 2019           
FoF 839             Cen  11 44 56.7 -63 10 48    OC?     11.3   3125         7.88   -5.65    0.95  Liu 2019           
FoF 1093            Cen  11 44 57.7 -62 30 19    OC?     19.3   3509         9.94   -6.21    1.04  Liu 2019           
FoF 1109            Cen  11 45 49.1 -61 41 28    OC?     12.5   4184         8.70   -6.31    0.90  Liu 2019           
FoF 244             Cen  11 46 29.1 -62 10 16    OC?     14.0   4739         8.66   -6.24    1.13  Liu 2019           
FoF 1095            Cen  11 46 41.0 -62 19 36    OC?     16.2   3968         8.85   -6.10    1.18  Liu 2019           
