Streicher 53        ;Cha  ;12 21 36.0 -76 27 00 ;Op   ;***  ;    20.0;      ;      ;                                                    ;
Streicher 54        ;Mon  ;06 25 38.0 +11 11 24 ;Op   ;OC   ;    18.0;  1695; 7.73 ;Xuyi 11, COIN-Gaia 28, UBC 81, FoF 2076, Theia 1864 ;
Streicher 55        ;Mon  ;07 08 33.0 +00 27 12 ;Op   ;***  ;     9.0;      ;      ;                                                    ;
Streicher 56        ;Ori  ;05 42 49.0 +00 06 00 ;Op   ;***  ;    21.0;      ;      ;                                                    ;
Streicher 57        ;Ori  ;05 27 54.0 +15 02 48 ;Op   ;***  ;     4.0;      ;      ;                                                    ;
Streicher 58        ;Ori  ;05 42 57.0 -08 01 30 ;Op   ;OC   ;    23.0;   420; 6.85 ;                                                    ;
Streicher 59        ;Lac  ;22 12 45.0 +52 52 42 ;Op   ;***  ;     9.0;      ;      ;                                                    ;
Streicher 60        ;Lac  ;22 23 20.0 +51 02 54 ;Op   ;***  ;    11.0;      ;      ;                                                    ;
Streicher 61        ;Mic  ;20 59 08.0 -34 46 00 ;Op   ;***  ;    21.0;      ;      ;                                                    ;
Streicher 62        ;Mic  ;20 45 20.0 -35 17 54 ;Op   ;***  ;    18.0;      ;      ;                                                    ;
Streicher 63        ;Ind  ;20 40 59.0 -51 47 12 ;Op   ;***  ;    11.5;      ;      ;                                                    ;
Streicher 64        ;Her  ;17 03 47.0 +13 33 33 ;Op   ;***  ;    14.0;      ;      ;                                                    ;
Streicher 65        ;Ind  ;20 32 30.0 -45 18 18 ;Op   ;***  ;    11.0;      ;      ;                                                    ;
Streicher 66        ;Ind  ;20 56 30.0 -59 15 30 ;Op   ;***  ;     7.0;      ;      ;                                                    ;
Streicher 67        ;Col  ;05 48 12.0 -34 07 20 ;Op   ;***  ;    38.0;      ;      ;15 Sge                                              ;
Streicher 68        ;Nor  ;15 35 12.0 -52 05 18 ;Op   ;***  ;     7.0;      ;      ;                                                    ;
Streicher 69        ;Sco  ;17 57 11.0 -39 53 42 ;Op   ;***  ;    12.0;      ;      ;                                                    ;
Streicher 70        ;Sco  ;17 30 29.0 -33 41 12 ;Op   ;OC   ;    16.0;  1147;      ;                                                    ;
Streicher 71        ;Tel  ;19 12 47.0 -49 54 06 ;Op   ;***  ;     9.5;      ;      ;                                                    ;
Streicher 72        ;Her  ;16 47 10.0 +06 27 15 ;Op   ;***  ;     9.5;      ;      ;                                                    ;
Streicher 73        ;Lyr  ;18 59 42.0 +29 45 12 ;Op   ;***  ;    13.5;      ;      ;                                                    ;
Streicher 74        ;Lup  ;14 34 20.0 -44 18 18 ;Op   ;***  ;     7.0;      ;      ;Streicher J1434-44                                  ;
Streicher 75        ;Ind  ;21 13 11.0 -59 25 48 ;Op   ;***  ;     4.5;      ;      ;                                                    ;
Streicher 76        ;Cen  ;13 29 36.0 -34 48 12 ;Op   ;***  ;     9.0;      ;      ;                                                    ;
Streicher 77        ;Pav  ;18 11 26.0 -62 47 06 ;Op   ;***  ;     2.0;      ;      ;                                                    ;
Streicher 78        ;Vul  ;19 49 34.0 +28 33 30 ;Op   ;***  ;    23.6;      ;      ;                                                    ;
Streicher 79        ;Cae  ;04 54 42.0 -28 54 54 ;Op   ;***  ;    15.5;      ;      ;HD 31445 Grp                                        ;
Streicher 80        ;CMa  ;07 23 20.0 -12 37 36 ;Op   ;***  ;     8.5;      ;      ;HD 58055 Grp                                        ;
Streicher 81        ;CMi  ;07 17 52.0 +11 08 54 ;Op   ;***  ;     7.0;      ;      ;SAO 96740 Grp                                       ;
Streicher 82        ;Mus  ;12 29 24.0 -70 04 57 ;Op   ;***  ;     8.5;      ;      ;Streicher J1230-70                                  ;
Streicher 83        ;Lup  ;16 04 47.0 -37 51 42 ;Op   ;***  ;     6.0;      ;      ;HD 143928 Grp                                       ;
Streicher 84        ;Scl  ;00 05 06.0 -32 23 30 ;Op   ;***  ;    18.0;      ;      ;HD 21 Grp                                           ;
Streicher 85        ;Scl  ;00 14 53.0 -36 04 18 ;Op   ;***  ;    12.0;      ;      ;HD 1090 Grp                                         ;
Streicher 86        ;Scl  ;00 27 30.0 -35 17 18 ;Op   ;***  ;    20.0;      ;      ;GSC 6997-613 Grp                                    ;
Streicher 87        ;Lep  ;05 22 26.0 -25 40 54 ;Op   ;***  ;    13.0;      ;      ;HD 35285 Grp                                        ;
Streicher 88        ;Pav  ;18 06 42.0 -58 30 36 ;Op   ;***  ;    15.0;      ;      ;DSH J1806.7-5830                                    ;
Streicher 89        ;Ori  ;04 50 57.0 +07 41 55 ;Op   ;***  ;     7.0;      ;      ;                                                    ;
Streicher 90        ;Gem  ;06 36 56.8 +24 10 30 ;Op   ;***  ;     6.0;      ;      ;                                                    ;
Streicher 91        ;CrA  ;18 40 01.6 -44 12 33 ;Op   ;***  ;     9.0;      ;      ;                                                    ;
Streicher 92        ;Col  ;06 36 00.0 -43 04 24 ;Op   ;***  ;     6.0;      ;      ;DSH J0636.0-4304                                    ;
