Name                          ;Alias                         ;TotCl; TotAl; TotC; FracCl%; FracAl%
ASCC 87                       ;Theia 330                     ;     ;      ;     ;        ;
ASCC 87                       ;Theia 330                     ;   45;   347;   39;  86.667;  11.239
ASCC 87                       ;UPK 650                       ;     ;      ;     ;        ;
ASCC 88                       ;FoF 2334                      ;     ;      ;     ;        ;
ASCC 88                       ;FoF 2334                      ;  137;    58;   49;  35.766;  84.483
ASCC 88                       ;Theia 195                     ;     ;      ;     ;        ;
ASCC 88                       ;Theia 195                     ;  137;  1088;  109;  79.562;  10.018
ASCC 88                       ;UPK 646                       ;     ;      ;     ;        ;
ASCC 89                       ;Alessi 24                     ;     ;      ;     ;        ;
ASCC 9                        ;FSR 615                       ;     ;      ;     ;        ;
ASCC 9                        ;FoF 177                       ;     ;      ;     ;        ;
ASCC 9                        ;FoF 177                       ;   48;   380;   30;  62.500;   7.895
ASCC 9                        ;Theia 1659                    ;   48;   256;   18;  37.500;   7.031
ASCC 90                       ;Alessi 41                     ;     ;      ;     ;        ;
ASCC 90                       ;Theia 948                     ;     ;      ;     ;        ;
ASCC 90                       ;Theia 948                     ;   58;   168;   52;  89.655;  30.952
ASCC 92                       ;Alessi 31                     ;     ;      ;     ;        ;
ASCC 92                       ;FoF 2356                      ;     ;      ;     ;        ;
ASCC 92                       ;Theia 739                     ;     ;      ;     ;        ;
ASCC 92                       ;UPK 11                        ;     ;      ;     ;        ;
ASCC 94                       ;UBC 342                       ;     ;      ;     ;        ;
ASCC 96                       ;Ferrero 1                     ;     ;      ;     ;        ;
ASCC 97                       ;Alessi 40                     ;     ;      ;     ;        ;
ASCC 97                       ;FoF 2405                      ;     ;      ;     ;        ;
ASCC 97                       ;FoF 2405                      ;   20;   152;   13;  65.000;   8.553
ASCC 97                       ;Theia 462                     ;     ;      ;     ;        ;
ASCC 97                       ;Theia 462                     ;   20;   140;    8;  40.000;   5.714
ASCC 97                       ;UPK 6                         ;     ;      ;     ;        ;
ASCC 99                       ;FoF 2281                      ;     ;      ;     ;        ;
ASCC 99                       ;Theia 518                     ;     ;      ;     ;        ;
ASCC 99                       ;Theia 518                     ;   63;   116;   51;  80.952;  43.966
AT 17                         ;Alessi 165                    ;     ;      ;     ;        ;
AVG 2                         ;BDSB 28                       ;     ;      ;     ;        ;
AWG 1                         ;NGC 1788                      ;     ;      ;     ;        ;
AWG 3                         ;Zannin J0520-05               ;     ;      ;     ;        ;
AWG 4                         ;Bica 285                      ;     ;      ;     ;        ;
AWG 7                         ;Cha II                        ;     ;      ;     ;        ;
Abt 1                         ;Markarian 6                   ;     ;      ;     ;        ;
Abt 1                         ;Stock 7                       ;     ;      ;     ;        ;
Achernar                      ;Eta Hor                       ;   21;    20;    3;  14.286;  15.000
Achernar Subgr                ;OPD 15                        ;     ;      ;     ;        ;
Afsar-Bond 1                  ;Mamajek J0704-0350            ;     ;      ;     ;        ;
Airplane                      ;Harrington 12                 ;     ;      ;     ;        ;
Al Sufi's Cluster             ;Collinder 399                 ;     ;      ;     ;        ;
Aladin 11                     ;VX Cru                        ;     ;      ;     ;        ;
Aladin 13                     ;La Serena 25                  ;     ;      ;     ;        ;
Aladin 17                     ;FoF 1581                      ;     ;      ;     ;        ;
Aladin 18                     ;UBC 522                       ;     ;      ;     ;        ;
Aladin 2                      ;VVVX CL 3                     ;     ;      ;     ;        ;
Aladin 20                     ;UBC 238                       ;     ;      ;     ;        ;
Aladin 9                      ;Gulliver 58                   ;     ;      ;     ;        ;
Aladin B                      ;FoF 297                       ;     ;      ;     ;        ;
Aladin C                      ;FoF 2115                      ;     ;      ;     ;        ;
Aladin E                      ;ALS 4988                      ;     ;      ;     ;        ;
Aladin F                      ;Ruprecht 170                  ;     ;      ;     ;        ;
Alcaeus                       ;PST 2                         ;     ;      ;     ;        ;
Alessi 1                      ;Casado 1                      ;     ;      ;     ;        ;
Alessi 1                      ;Kupco 8                       ;     ;      ;     ;        ;
Alessi 1                      ;LeDrew 1                      ;     ;      ;     ;        ;
Alessi 1                      ;Saloranta-Holmstrom 1         ;     ;      ;     ;        ; 
Alessi 1                      ;Santa 21                      ;     ;      ;     ;        ;
Alessi 1                      ;TC 0053+4934                  ;     ;      ;     ;        ;
Alessi 1                      ;Theia 1254                    ;     ;      ;     ;        ;
Alessi 1                      ;Theia 1254                    ;   45;   148;   42;  93.333;  28.378
Alessi 1                      ;UPK 245                       ;     ;      ;     ;        ;
Alessi 10                     ;LeDrew 3                      ;     ;      ;     ;        ;
Alessi 10                     ;Theia 535                     ;     ;      ;     ;        ;
Alessi 10                     ;Theia 535                     ;   70;   239;   70; 100.000;  29.289
Alessi 102                    ;UBC 54                        ;     ;      ;     ;        ;
Alessi 106                    ;Theia 791                     ;    5;   167;    1;  20.000;   0.599
Alessi 112                    ;Alessi J0808-4204             ;     ;      ;     ;        ;
Alessi 113                    ;Gulliver 9                    ;     ;      ;     ;        ;
Alessi 114                    ;Theia 231                     ;     ;      ;     ;        ;
Alessi 116                    ;UPK 84                        ;     ;      ;     ;        ;
Alessi 118                    ;Gulliver 47                   ;     ;      ;     ;        ;
Alessi 12                     ;FoF 2391                      ;     ;      ;     ;        ;
Alessi 12                     ;FoF 2391                      ;  307;   191;  182;  59.283;  95.288
Alessi 12                     ;LeDrew 2                      ;     ;      ;     ;        ;
Alessi 12                     ;Theia 254                     ;     ;      ;     ;        ;
Alessi 12                     ;Theia 254                     ;  307;  1216;  297;  96.743;  24.424
Alessi 12                     ;UPK 95                        ;     ;      ;     ;        ;
Alessi 128                    ;Alessi-Teutsch 14             ;     ;      ;     ;        ;
Alessi 13                     ;Chi For                       ;     ;      ;     ;        ;
Alessi 13                     ;Chi-2 For                     ;     ;      ;     ;        ;
Alessi 13                     ;Harrington 2                  ;     ;      ;     ;        ;
Alessi 13                     ;OPD 19                        ;     ;      ;     ;        ;
Alessi 13                     ;OPD 19                        ;   48;    13;    6;  12.500;  46.154
Alessi 13                     ;Ramakers 26                   ;     ;      ;     ;        ;
