Name                          ;Alias                         ;TotCl; TotAl; TotC; FracCl%; FracAl%
FSR 348                       ;NGC 7245                      ;     ;      ;     ;        ;
FSR 349                       ;NGC 7226                      ;     ;      ;     ;        ;
FSR 352                       ;NGC 7235                      ;     ;      ;     ;        ;
FSR 353                       ;Teutsch 127                   ;     ;      ;     ;        ;
FSR 357                       ;Foldvari 95                   ;     ;      ;     ;        ;
FSR 358                       ;Kirkpatrick 1                 ;     ;      ;     ;        ;
FSR 359                       ;Berkeley 96                   ;     ;      ;     ;        ;
FSR 36                        ;NGC 6642                      ;     ;      ;     ;        ;
FSR 360                       ;LMR 127                       ;     ;      ;     ;        ;
FSR 361                       ;Berkeley 98                   ;     ;      ;     ;        ;
FSR 363                       ;NGC 7261                      ;     ;      ;     ;        ;
FSR 366                       ;FoF 1806                      ;     ;      ;     ;        ;
FSR 372                       ;Juchert 21                    ;     ;      ;     ;        ;
FSR 373                       ;NGC 7142                      ;     ;      ;     ;        ;
FSR 374                       ;NGC 7129                      ;     ;      ;     ;        ;
FSR 375                       ;Berkeley 95                   ;     ;      ;     ;        ;
FSR 377                       ;SUH 102                       ;     ;      ;     ;        ;
FSR 377                       ;UBC 390                       ;     ;      ;     ;        ;
FSR 380                       ;NGC 7438                      ;     ;      ;     ;        ;
FSR 381                       ;FoF 1310                      ;     ;      ;     ;        ;
FSR 382                       ;Berkeley 97                   ;     ;      ;     ;        ;
FSR 383                       ;PM 1                          ;     ;      ;     ;        ;
FSR 383                       ;Pismis-Moreno 1               ;     ;      ;     ;        ;
FSR 385                       ;FoF 1810                      ;     ;      ;     ;        ;
FSR 385                       ;FoF 1810                      ;   58;    52;   37;  63.793;  71.154
FSR 387                       ;NGC 7380                      ;     ;      ;     ;        ;
FSR 391                       ;NGC 7423                      ;     ;      ;     ;        ;
FSR 392                       ;King 18                       ;     ;      ;     ;        ;
FSR 394                       ;SAI 147                       ;     ;      ;     ;        ;
FSR 395                       ;Cep OB5                       ;     ;      ;     ;        ;
FSR 396                       ;King 10                       ;     ;      ;     ;        ;
FSR 398                       ;FoF 2255                      ;     ;      ;     ;        ;
FSR 398                       ;FoF 2255                      ;   55;   100;   55; 100.000;  55.000
FSR 398                       ;Theia 91                      ;   55;   784;   49;  89.091;   6.250
FSR 398                       ;UPK 196                       ;     ;      ;     ;        ;
FSR 399                       ;BDSB 37                       ;     ;      ;     ;        ;
FSR 4                         ;NGC 6287                      ;     ;      ;     ;        ;
FSR 40                        ;2MASS-GC 1                    ;     ;      ;     ;        ;
FSR 400                       ;NGC 7419                      ;     ;      ;     ;        ;
FSR 404                       ;TPN 11                        ;     ;      ;     ;        ;
FSR 406                       ;Cep OB3B                      ;     ;      ;     ;        ;
FSR 406                       ;Cep OB3B West                 ;     ;      ;     ;        ;
FSR 406                       ;V454 Cep                      ;     ;      ;     ;        ;
FSR 409                       ;ASCC 125                      ;     ;      ;     ;        ;
FSR 411                       ;King 19                       ;     ;      ;     ;        ;
FSR 412                       ;Pfleiderer 3                  ;     ;      ;     ;        ;
FSR 413                       ;FoF 2249                      ;     ;      ;     ;        ;
FSR 414                       ;FoF 2249                      ;     ;      ;     ;        ;
FSR 415                       ;NGC 7510                      ;     ;      ;     ;        ;
FSR 416                       ;Theia 50                      ;     ;      ;     ;        ;
FSR 416                       ;UBC 178                       ;     ;      ;     ;        ;
FSR 417                       ;FoF 350                       ;     ;      ;     ;        ;
FSR 419                       ;BDSB 43                       ;     ;      ;     ;        ;
FSR 420                       ;BDSB 43                       ;     ;      ;     ;        ;
FSR 421                       ;Markarian 50                  ;     ;      ;     ;        ;
FSR 430                       ;FoF 541                       ;     ;      ;     ;        ;
FSR 430                       ;FoF 541                       ;   31;    88;   27;  87.097;  30.682
FSR 430                       ;SAI 148                       ;     ;      ;     ;        ;
FSR 430                       ;Saloranta J2315+6410          ;     ;      ;     ;        ;
FSR 431                       ;Gulliver 49                   ;     ;      ;     ;        ;
FSR 433                       ;Czernik 43                    ;     ;      ;     ;        ;
FSR 434                       ;King 20                       ;     ;      ;     ;        ;
FSR 435                       ;Theia 3528                    ;   70;   188;   27;  38.571;  14.362
FSR 435                       ;UBC 179                       ;   70;    55;    6;   8.571;  10.909
FSR 436                       ;Skiff 7                       ;     ;      ;     ;        ;
FSR 436                       ;Skiff J2330+60.2              ;     ;      ;     ;        ;
FSR 44                        ;NGC 6717                      ;     ;      ;     ;        ;
FSR 441                       ;SAI 150                       ;     ;      ;     ;        ;
FSR 441                       ;UBC 401                       ;     ;      ;     ;        ;
FSR 442                       ;FoF 1829                      ;     ;      ;     ;        ;
FSR 442                       ;FoF 1829                      ;  218;   166;  151;  69.266;  90.964
FSR 442                       ;Theia 2084                    ;     ;      ;     ;        ;
FSR 442                       ;Theia 2084                    ;  218;   280;  155;  71.101;  55.357
FSR 444                       ;Berkeley 101                  ;     ;      ;     ;        ;
FSR 445                       ;BDSB 46                       ;     ;      ;     ;        ;
FSR 45                        ;NGC 6603                      ;     ;      ;     ;        ;
FSR 450                       ;NGC 7789                      ;     ;      ;     ;        ;
FSR 451                       ;FoF 1319                      ;     ;      ;     ;        ;
FSR 451                       ;FoF 1319                      ;  269;    53;   23;   8.550;  43.396
FSR 451                       ;FoF 353                       ;     ;      ;     ;        ;
FSR 451                       ;FoF 353                       ;  269;   271;  135;  50.186;  49.815
FSR 451                       ;FoF 888                       ;  269;   112;   20;   7.435;  17.857
FSR 451                       ;Theia 1767                    ;  269;   147;   40;  14.870;  27.211
FSR 451                       ;UBC 404                       ;     ;      ;     ;        ;
FSR 453                       ;Alicante 2                    ;     ;      ;     ;        ;
FSR 453                       ;Negueruela 1                  ;     ;      ;     ;        ;
FSR 454                       ;Teutsch 23                    ;     ;      ;     ;        ;
FSR 455                       ;Berkeley 99                   ;     ;      ;     ;        ;
FSR 457                       ;King 12                       ;     ;      ;     ;        ;
FSR 458                       ;NGC 7788                      ;     ;      ;     ;        ;
FSR 460                       ;SAI 153                       ;     ;      ;     ;        ;
FSR 461                       ;NGC 7790                      ;     ;      ;     ;        ;
FSR 465                       ;SAI 151                       ;     ;      ;     ;        ;
FSR 467                       ;King 11                       ;     ;      ;     ;        ;
FSR 468                       ;NGC 7762                      ;     ;      ;     ;        ;
FSR 469                       ;IRAS 23545+6508               ;     ;      ;     ;        ;
FSR 469                       ;KKC 54                        ;     ;      ;     ;        ;
FSR 469                       ;SAI 152                       ;     ;      ;     ;        ;
FSR 471                       ;Stock 18                      ;     ;      ;     ;        ;
FSR 475                       ;King 13                       ;     ;      ;     ;        ;
FSR 476                       ;Berkeley 59                   ;     ;      ;     ;        ;
FSR 478                       ;Juchert-Saloranta 1           ;     ;      ;     ;        ;
FSR 48                        ;Palomar 8                     ;     ;      ;     ;        ;
FSR 480                       ;SAI 3                         ;     ;      ;     ;        ;
FSR 489                       ;Berkeley 2                    ;     ;      ;     ;        ;
FSR 490                       ;King 1                        ;     ;      ;     ;        ;
FSR 491                       ;NGC 103                       ;     ;      ;     ;        ;
FSR 493                       ;Stock 20                      ;     ;      ;     ;        ;
FSR 494                       ;FoF 545                       ;     ;      ;     ;        ;
FSR 494                       ;FoF 545                       ;   37;   100;   20;  54.054;  20.000
FSR 494                       ;SAI 5                         ;     ;      ;     ;        ;
FSR 495                       ;Stock 21                      ;     ;      ;     ;        ;
FSR 496                       ;FoF 1847                      ;     ;      ;     ;        ;
FSR 496                       ;FoF 1847                      ;  109;   228;   98;  89.908;  42.982
FSR 496                       ;Theia 5710                    ;     ;      ;     ;        ;
FSR 496                       ;Theia 5710                    ;  109;   527;   99;  90.826;  18.786
FSR 498                       ;FoF 1321                      ;     ;      ;     ;        ;
FSR 498                       ;FoF 1321                      ;   43;    87;   28;  65.116;  32.184
FSR 501                       ;King 15                       ;     ;      ;     ;        ;
FSR 502                       ;NGC 146                       ;     ;      ;     ;        ;
FSR 503                       ;SAI 7                         ;     ;      ;     ;        ;
FSR 505                       ;SAI 8                         ;     ;      ;     ;        ;
FSR 508                       ;SAI 9                         ;     ;      ;     ;        ;
FSR 508                       ;UBC 598                       ;     ;      ;     ;        ;
FSR 510                       ;Czernik 2                     ;     ;      ;     ;        ;
FSR 511                       ;KKC 2                         ;     ;      ;     ;        ;
FSR 512                       ;King 16                       ;     ;      ;     ;        ;
FSR 514                       ;Berkeley 61                   ;     ;      ;     ;        ;
FSR 519                       ;FoF 550                       ;     ;      ;     ;        ;
FSR 519                       ;UBC 411                       ;     ;      ;     ;        ;
FSR 523                       ;Skiff 1                       ;     ;      ;     ;        ;
FSR 523                       ;Skiff J0058+68.4              ;     ;      ;     ;        ;
FSR 524                       ;SAI 11                        ;     ;      ;     ;        ;
FSR 525                       ;Berkeley 62                   ;     ;      ;     ;        ;
FSR 527                       ;Pfleiderer 1                  ;     ;      ;     ;        ;
FSR 528                       ;NGC 366                       ;     ;      ;     ;        ;
FSR 529                       ;NGC 381                       ;     ;      ;     ;        ;
FSR 53                        ;NGC 6611                      ;     ;      ;     ;        ;
FSR 533                       ;NGC 433                       ;     ;      ;     ;        ;
FSR 534                       ;FoF 1337                      ;     ;      ;     ;        ;
FSR 534                       ;FoF 1337                      ;   53;    86;   29;  54.717;  33.721
FSR 534                       ;Theia 2202                    ;     ;      ;     ;        ;
FSR 534                       ;Theia 2202                    ;   53;   112;   22;  41.509;  19.643
FSR 536                       ;FoF 1885                      ;     ;      ;     ;        ;
FSR 536                       ;FoF 1885                      ;   23;   123;   19;  82.609;  15.447
FSR 536                       ;SAI 13                        ;     ;      ;     ;        ;
FSR 537                       ;FoF 906                       ;     ;      ;     ;        ;
FSR 537                       ;FoF 906                       ;   46;    86;   31;  67.391;  36.047
FSR 540                       ;NGC 457                       ;     ;      ;     ;        ;
FSR 541                       ;BDSB 52                       ;     ;      ;     ;        ;
FSR 542                       ;FoF 1890                      ;     ;      ;     ;        ;
FSR 542                       ;FoF 554                       ;   16;  2839;    4;  25.000;   0.141
FSR 543                       ;NGC 559                       ;     ;      ;     ;        ;
FSR 545                       ;Berkeley 8                    ;     ;      ;     ;        ;
FSR 547                       ;FoF 911                       ;     ;      ;     ;        ;
FSR 548                       ;NGC 609                       ;     ;      ;     ;        ;
FSR 550                       ;M 103                         ;     ;      ;     ;        ;
FSR 551                       ;FoF 2251                      ;     ;      ;     ;        ;
FSR 551                       ;FoF 2251                      ;  141;    95;   84;  59.574;  88.421
FSR 551                       ;Theia 285                     ;     ;      ;     ;        ;
FSR 551                       ;Theia 285                     ;  141;   499;   92;  65.248;  18.437
FSR 551                       ;UPK 259                       ;     ;      ;     ;        ;
FSR 552                       ;Trumpler 1                    ;     ;      ;     ;        ;
FSR 554                       ;NGC 637                       ;     ;      ;     ;        ;
FSR 556                       ;NGC 654                       ;     ;      ;     ;        ;
FSR 557                       ;NGC 659                       ;     ;      ;     ;        ;
FSR 559                       ;NGC 663                       ;     ;      ;     ;        ;
FSR 56                        ;NGC 6366                      ;     ;      ;     ;        ;
FSR 563                       ;IC 166                        ;     ;      ;     ;        ;
FSR 567                       ;Berkeley 7                    ;     ;      ;     ;        ;
FSR 569                       ;FoF 2361                      ;     ;      ;     ;        ;
FSR 569                       ;UBC 187                       ;     ;      ;     ;        ;
FSR 57                        ;Bica 3                        ;     ;      ;     ;        ;
FSR 570                       ;Czernik 5                     ;     ;      ;     ;        ;
FSR 574                       ;NGC 744                       ;     ;      ;     ;        ;
FSR 578                       ;FSR 178                       ;     ;      ;     ;        ;
FSR 579                       ;MTG 1                         ;     ;      ;     ;        ;
FSR 58                        ;NGC 6517                      ;     ;      ;     ;        ;
FSR 582                       ;SAI 19                        ;     ;      ;     ;        ;
FSR 584                       ;Camargo 742                   ;     ;      ;     ;        ;
FSR 584                       ;Czernik 9                     ;     ;      ;     ;        ;
FSR 584                       ;SAI 20                        ;     ;      ;     ;        ;
FSR 585                       ;Tombaugh 4                    ;     ;      ;     ;        ;
FSR 586                       ;Basel 10                      ;     ;      ;     ;        ;
FSR 588                       ;IC 1805                       ;     ;      ;     ;        ;
FSR 59                        ;FoF 292                       ;  794;   507;  307;  38.665;  60.552
FSR 59                        ;NGC 6631                      ;     ;      ;     ;        ;
FSR 59                        ;NGC 6631                      ;  794;   151;  148;  18.640;  98.013
FSR 591                       ;FoF 179                       ;     ;      ;     ;        ;
FSR 591                       ;FoF 181                       ;     ;      ;     ;        ;
FSR 596                       ;FoF 181                       ;     ;      ;     ;        ;
FSR 596                       ;UBC 191                       ;     ;      ;     ;        ;
FSR 597                       ;Czernik 8                     ;     ;      ;     ;        ;
FSR 598                       ;Berkeley 65                   ;     ;      ;     ;        ;
FSR 599                       ;King 4                        ;     ;      ;     ;        ;
FSR 6                         ;NGC 6325                      ;     ;      ;     ;        ;
FSR 603                       ;NGC 957                       ;     ;      ;     ;        ;
FSR 608                       ;BDB 121                       ;     ;      ;     ;        ;
FSR 61                        ;NGC 6539                      ;     ;      ;     ;        ;
FSR 610                       ;IC 1848                       ;     ;      ;     ;        ;
FSR 613                       ;SAI 23                        ;     ;      ;     ;        ;
FSR 615                       ;ASCC 9                        ;     ;      ;     ;        ;
FSR 618                       ;Collinder 34                  ;     ;      ;     ;        ;
FSR 619                       ;Czernik 12                    ;     ;      ;     ;        ;
FSR 623                       ;Berkeley 10                   ;     ;      ;     ;        ;
FSR 624                       ;Berkeley 66                   ;     ;      ;     ;        ;
FSR 634                       ;FoF 1954                      ;     ;      ;     ;        ;
FSR 634                       ;SAI 29                        ;     ;      ;     ;        ;
FSR 636                       ;King 6                        ;     ;      ;     ;        ;
FSR 637                       ;NGC 1502                      ;     ;      ;     ;        ;
FSR 639                       ;King 5                        ;     ;      ;     ;        ;
FSR 64                        ;M 14                          ;     ;      ;     ;        ;
FSR 641                       ;Tombaugh 5                    ;     ;      ;     ;        ;
FSR 644                       ;Czernik 15                    ;     ;      ;     ;        ;
FSR 645                       ;Czernik 16                    ;     ;      ;     ;        ;
FSR 646                       ;Berkeley 9                    ;     ;      ;     ;        ;
FSR 647                       ;Alicante 1                    ;     ;      ;     ;        ;
FSR 648                       ;NGC 1245                      ;     ;      ;     ;        ;
FSR 649                       ;NGC 1193                      ;     ;      ;     ;        ;
FSR 650                       ;NGC 1348                      ;     ;      ;     ;        ;
FSR 651                       ;Juchert 11                    ;     ;      ;     ;        ;
FSR 652                       ;IC 361                        ;     ;      ;     ;        ;
FSR 655                       ;Majaess 39                    ;     ;      ;     ;        ;
FSR 655                       ;SAI 32                        ;     ;      ;     ;        ;
FSR 657                       ;BDSB 60                       ;     ;      ;     ;        ;
FSR 658                       ;King 7                        ;     ;      ;     ;        ;
FSR 659                       ;NGC 1496                      ;     ;      ;     ;        ;
FSR 66                        ;IC 1276                       ;     ;      ;     ;        ;
FSR 660                       ;SAI 34                        ;     ;      ;     ;        ;
FSR 663                       ;FSR 665                       ;     ;      ;     ;        ;
FSR 665                       ;FSR 663                       ;     ;      ;     ;        ;
FSR 667                       ;Camargo 443                   ;     ;      ;     ;        ;
FSR 667                       ;El Kanbi-Prestgard 1          ;     ;      ;     ;        ;
FSR 667                       ;Patchick 16                   ;     ;      ;     ;        ;
FSR 667                       ;Theia 2674                    ;     ;      ;     ;        ;
FSR 667                       ;Theia 2674                    ;   69;   318;   44;  63.768;  13.836
FSR 668                       ;BDSB 65                       ;     ;      ;     ;        ;
FSR 676                       ;Juchert 20                    ;     ;      ;     ;        ;
FSR 677                       ;Berkeley 67                   ;     ;      ;     ;        ;
FSR 679                       ;NGC 1342                      ;     ;      ;     ;        ;
FSR 681                       ;NGC 1624                      ;     ;      ;     ;        ;
FSR 686                       ;FoF 2298                      ;     ;      ;     ;        ;
FSR 686                       ;FoF 2298                      ;   12;    53;   12; 100.000;  22.642
FSR 686                       ;Theia 204                     ;     ;      ;     ;        ;
FSR 686                       ;Theia 204                     ;   12;   238;   11;  91.667;   4.622
FSR 686                       ;UBC 55                        ;     ;      ;     ;        ;
FSR 686                       ;UBC 55                        ;   12;    56;   11;  91.667;  19.643
FSR 686                       ;UPK 334                       ;     ;      ;     ;        ;
FSR 687                       ;SAI 37                        ;     ;      ;     ;        ;
FSR 687                       ;Xuyi 5                        ;     ;      ;     ;        ;
FSR 69                        ;Theia 2494                    ;   89;   950;   42;  47.191;   4.421
FSR 694                       ;NGC 1605                      ;     ;      ;     ;        ;
FSR 696                       ;DZS 1                         ;     ;      ;     ;        ;
FSR 696                       ;SAI 39                        ;     ;      ;     ;        ;
FSR 699                       ;DZS 2                         ;     ;      ;     ;        ;
FSR 699                       ;SAI 38                        ;     ;      ;     ;        ;
FSR 7                         ;NGC 6652                      ;     ;      ;     ;        ;
FSR 704                       ;IC 348                        ;     ;      ;     ;        ;
FSR 705                       ;NGC 1798                      ;     ;      ;     ;        ;
FSR 71                        ;M 26                          ;     ;      ;     ;        ;
FSR 71                        ;NGC 6694                      ;     ;      ;     ;        ;
FSR 710                       ;Berkeley 12                   ;     ;      ;     ;        ;
FSR 713                       ;Berkeley 68                   ;     ;      ;     ;        ;
FSR 716                       ;FoF 2033                      ;     ;      ;     ;        ;
FSR 716                       ;FoF 2033                      ;  164;    61;   44;  26.829;  72.131
FSR 716                       ;SAI 44                        ;     ;      ;     ;        ;
FSR 717                       ;FSR 721                       ;   76;    24;   24;  31.579; 100.000
FSR 718                       ;Berkeley 15                   ;     ;      ;     ;        ;
FSR 719                       ;UBC 611                       ;     ;      ;     ;        ;
FSR 720                       ;Majaess 50                    ;     ;      ;     ;        ;
FSR 721                       ;FSR 717                       ;   24;    76;   24; 100.000;  31.579
FSR 726                       ;Berkeley 14                   ;     ;      ;     ;        ;
FSR 727                       ;Patchick 3                    ;     ;      ;     ;        ;
FSR 728                       ;FoF 2056                      ;     ;      ;     ;        ;
FSR 728                       ;FoF 2056                      ;   55;    62;   42;  76.364;  67.742
FSR 729                       ;NGC 1883                      ;     ;      ;     ;        ;
FSR 730                       ;NGC 2126                      ;     ;      ;     ;        ;
FSR 731                       ;King 22                       ;     ;      ;     ;        ;
FSR 732                       ;FoF 1967                      ;     ;      ;     ;        ;
FSR 734                       ;Berkeley 14A                  ;  186;    27;   26;  13.978;  96.296
FSR 734                       ;Theia 501                     ;  186;   623;  107;  57.527;  17.175
FSR 735                       ;FoF 923                       ;     ;      ;     ;        ;
FSR 735                       ;FoF 923                       ;   94;    67;   33;  35.106;  49.254
FSR 739                       ;NGC 1579                      ;     ;      ;     ;        ;
FSR 74                        ;NGC 6712                      ;     ;      ;     ;        ;
FSR 743                       ;Berkeley 70                   ;     ;      ;     ;        ;
FSR 746                       ;ASCC 23                       ;     ;      ;     ;        ;
FSR 746                       ;Ferrero 16                    ;     ;      ;     ;        ;
FSR 747                       ;Teutsch 5                     ;     ;      ;     ;        ;
FSR 755                       ;NGC 1857                      ;     ;      ;     ;        ;
FSR 761                       ;UBC 197                       ;     ;      ;     ;        ;
FSR 764                       ;FSR 765                       ;     ;      ;     ;        ;
FSR 765                       ;FSR 764                       ;     ;      ;     ;        ;
FSR 769                       ;Czernik 21                    ;     ;      ;     ;        ;
FSR 771                       ;UBC 64                        ;     ;      ;     ;        ;
FSR 774                       ;NGC 1907                      ;     ;      ;     ;        ;
FSR 777                       ;Alicante 11                   ;     ;      ;     ;        ;
FSR 777                       ;Lin-Chen 68                   ;     ;      ;     ;        ;
FSR 778                       ;Dolidze 16                    ;     ;      ;     ;        ;
FSR 780                       ;Lin-Chen 71                   ;     ;      ;     ;        ;
FSR 780                       ;Stock 8                       ;     ;      ;     ;        ;
FSR 781                       ;Stock 8                       ;     ;      ;     ;        ;
FSR 784                       ;BDB 156                       ;     ;      ;     ;        ;
FSR 784                       ;Koposov 7                     ;     ;      ;     ;        ;
FSR 784                       ;Sh2-235North-West             ;     ;      ;     ;        ;
FSR 785                       ;NGC 1893                      ;     ;      ;     ;        ;
FSR 785                       ;NGC 1893 I                    ;     ;      ;     ;        ;
FSR 786                       ;NGC 1893                      ;     ;      ;     ;        ;
FSR 787                       ;Sh2-235                       ;     ;      ;     ;        ;
FSR 788                       ;BDB 73                        ;     ;      ;     ;        ;
FSR 788                       ;IRAS 05382+3547               ;     ;      ;     ;        ;
FSR 788                       ;KKC 11                        ;     ;      ;     ;        ;
FSR 788                       ;Sh2-235                       ;     ;      ;     ;        ;
FSR 790                       ;Skiff 3                       ;     ;      ;     ;        ;
FSR 790                       ;Skiff J0507+30.8              ;     ;      ;     ;        ;
FSR 791                       ;Collinder 68                  ;     ;      ;     ;        ;
FSR 792                       ;Czernik 19                    ;     ;      ;     ;        ;
FSR 793                       ;Berkeley 69                   ;     ;      ;     ;        ;
FSR 794                       ;M 36                          ;     ;      ;     ;        ;
FSR 795                       ;Koposov 10                    ;     ;      ;     ;        ;
FSR 8                         ;M 69                          ;     ;      ;     ;        ;
FSR 800                       ;Berkeley 17                   ;     ;      ;     ;        ;
FSR 802                       ;Alessi J0601+35b              ;     ;      ;     ;        ;
FSR 802                       ;Koposov 12                    ;     ;      ;     ;        ;
FSR 805                       ;FSR 808                       ;     ;      ;     ;        ;
FSR 807                       ;Russeil 216                   ;     ;      ;     ;        ;
FSR 808                       ;FSR 805                       ;     ;      ;     ;        ;
FSR 810                       ;Berkeley 71                   ;     ;      ;     ;        ;
FSR 810                       ;Berkeley 72                   ;     ;      ;     ;        ;
FSR 811                       ;Teutsch 166                   ;     ;      ;     ;        ;
FSR 812                       ;SAI 52                        ;     ;      ;     ;        ;
FSR 814                       ;Koposov 36                    ;     ;      ;     ;        ;
FSR 814                       ;TC 0536+3112                  ;     ;      ;     ;        ;
FSR 818                       ;M 37                          ;     ;      ;     ;        ;
FSR 82                        ;M 11                          ;     ;      ;     ;        ;
FSR 82                        ;NGC 6705                      ;     ;      ;     ;        ;
FSR 822                       ;NGC 1746                      ;     ;      ;     ;        ;
FSR 825                       ;Basel 4                       ;     ;      ;     ;        ;
FSR 825                       ;Czernik 22                    ;     ;      ;     ;        ;
FSR 826                       ;SAI 55                        ;     ;      ;     ;        ;
FSR 827                       ;COIN-Gaia 22                  ;     ;      ;     ;        ;
FSR 827                       ;Kronberger 6                  ;     ;      ;     ;        ;
FSR 827                       ;TC 0604+3136                  ;     ;      ;     ;        ;
FSR 828                       ;Koposov 43                    ;     ;      ;     ;        ;
FSR 829                       ;Teutsch 10                    ;     ;      ;     ;        ;
FSR 834                       ;Czernik 23                    ;     ;      ;     ;        ;
FSR 835                       ;FSR 837                       ;     ;      ;     ;        ;
FSR 837                       ;FSR 835                       ;     ;      ;     ;        ;
FSR 839                       ;Koposov 41                    ;     ;      ;     ;        ;
FSR 845                       ;BDB 167                       ;     ;      ;     ;        ;
FSR 845                       ;Hodapp 2                      ;     ;      ;     ;        ;
FSR 847                       ;Teutsch 51                    ;     ;      ;     ;        ;
FSR 849                       ;Koposov 58                    ;     ;      ;     ;        ;
FSR 849                       ;Theia 2057                    ;   55;   211;   31;  56.364;  14.692
FSR 850                       ;FoF 77                        ;     ;      ;     ;        ;
FSR 850                       ;FoF 77                        ;  118;   122;   73;  61.864;  59.836
FSR 850                       ;Theia 2865                    ;     ;      ;     ;        ;
FSR 850                       ;Theia 2865                    ;  118;    72;   29;  24.576;  40.278
FSR 850                       ;UBC 71                        ;     ;      ;     ;        ;
FSR 852                       ;FoF 924                       ;     ;      ;     ;        ;
FSR 852                       ;FoF 924                       ;   87;    60;   29;  33.333;  48.333
FSR 852                       ;SAI 56                        ;     ;      ;     ;        ;
FSR 854                       ;Juchert 23                    ;     ;      ;     ;        ;
FSR 855                       ;SAI 54                        ;     ;      ;     ;        ;
FSR 856                       ;Koposov 53                    ;     ;      ;     ;        ;
FSR 856                       ;Teutsch 9                     ;     ;      ;     ;        ;
FSR 866                       ;FoF 2044                      ;     ;      ;     ;        ;
FSR 866                       ;FoF 2044                      ;   35;   159;   33;  94.286;  20.755
FSR 866                       ;Theia 6736                    ;     ;      ;     ;        ;
FSR 866                       ;Theia 6736                    ;   35;   253;   29;  82.857;  11.462
FSR 867                       ;IC 2157                       ;     ;      ;     ;        ;
FSR 869                       ;Koposov 63                    ;     ;      ;     ;        ;
FSR 869                       ;TC 0610+2434                  ;     ;      ;     ;        ;
FSR 870                       ;NGC 2129                      ;     ;      ;     ;        ;
FSR 872                       ;NGC 2158                      ;     ;      ;     ;        ;
FSR 874                       ;IRAS 05380+2020               ;     ;      ;     ;        ;
FSR 874                       ;SAI 53                        ;     ;      ;     ;        ;
FSR 875                       ;Berkeley 21                   ;     ;      ;     ;        ;
FSR 877                       ;Basel 11B                     ;     ;      ;     ;        ;
FSR 879                       ;NGC 2266                      ;     ;      ;     ;        ;
FSR 88                        ;FoF 156                       ;     ;      ;     ;        ;
FSR 88                        ;FoF 156                       ;  513;   227;  190;  37.037;  83.700
FSR 881                       ;Czernik 24                    ;     ;      ;     ;        ;
FSR 883                       ;FoF 187                       ;     ;      ;     ;        ;
FSR 883                       ;FoF 187                       ;  189;   163;  111;  58.730;  68.098
FSR 888                       ;Camargo 39                    ;     ;      ;     ;        ;
FSR 89                        ;UBC 355                       ;     ;      ;     ;        ;
FSR 89                        ;UBC 355                       ;   84;    42;   42;  50.000; 100.000
FSR 890                       ;Camargo 43                    ;     ;      ;     ;        ;
FSR 892                       ;Camargo 40                    ;     ;      ;     ;        ;
FSR 893                       ;FoF 1379                      ;     ;      ;     ;        ;
FSR 893                       ;FoF 1379                      ;  133;    52;   44;  33.083;  84.615
FSR 898                       ;NGC 2175s                     ;     ;      ;     ;        ;
FSR 899                       ;Teutsch 136                   ;     ;      ;     ;        ;
FSR 901                       ;Alessi 50                     ;     ;      ;     ;        ;
FSR 903                       ;FSR 904                       ;     ;      ;     ;        ;
FSR 903                       ;FSR 904                       ;  405;   206;  206;  50.864; 100.000
FSR 903                       ;FoF 188                       ;  405;   116;   98;  24.198;  84.483
FSR 903                       ;Theia 1862                    ;  405;    76;   51;  12.593;  67.105
FSR 904                       ;FSR 903                       ;     ;      ;     ;        ;
FSR 904                       ;FSR 903                       ;  206;   405;  206; 100.000;  50.864
FSR 904                       ;FoF 188                       ;     ;      ;     ;        ;
FSR 904                       ;FoF 188                       ;  206;   116;   90;  43.689;  77.586
FSR 904                       ;Prestgard F                   ;     ;      ;     ;        ;
FSR 904                       ;SAI 61                        ;     ;      ;     ;        ;
FSR 904                       ;Theia 1862                    ;     ;      ;     ;        ;
FSR 904                       ;Theia 1862                    ;  206;    76;   49;  23.786;  64.474
FSR 905                       ;FoF 1974                      ;     ;      ;     ;        ;
FSR 905                       ;FoF 1974                      ;  155;    78;   74;  47.742;  94.872
FSR 905                       ;Saloranta J0633+2217          ;     ;      ;     ;        ;
FSR 905                       ;Theia 3923                    ;     ;      ;     ;        ;
FSR 905                       ;Theia 3923                    ;  155;   161;   66;  42.581;  40.994
FSR 908                       ;DB 87                         ;     ;      ;     ;        ;
FSR 909                       ;IRAS 06117+1901               ;   10;   145;   10; 100.000;   6.897
FSR 910                       ;AFGL 5173                     ;     ;      ;     ;        ;
FSR 911                       ;BBD 7                         ;     ;      ;     ;        ;
FSR 912                       ;Alessi 58                     ;     ;      ;     ;        ;
FSR 917                       ;Berkeley 23                   ;     ;      ;     ;        ;
FSR 921                       ;SAI 58                        ;     ;      ;     ;        ;
FSR 923                       ;Theia 2789                    ;     ;      ;     ;        ;
FSR 923                       ;Theia 2789                    ;   70;    54;   29;  41.429;  53.704
FSR 926                       ;Teutsch 58                    ;     ;      ;     ;        ;
FSR 931                       ;UBC 201                       ;     ;      ;     ;        ;
FSR 932                       ;SAI 57                        ;     ;      ;     ;        ;
FSR 935                       ;Theia 2270                    ;   40;   490;    7;  17.500;   1.429
FSR 938                       ;NGC 2234                      ;     ;      ;     ;        ;
FSR 94                        ;FoF 1657                      ;     ;      ;     ;        ;
