Cluster_s name                ;Galaxy ;Const;RAJ2000.0  DEJ2000.0   ;Wavel ;Type  ;Dia_arcS;Dst_pc ;V_mag  ;E(B-V);Log_t ;Aliases/Variants                                                                                                  ;Comments
HCD01-1                       ;LMC    ;Dor  ;04 57 16   -66 23 21   ;Op    ;OC    ;     1.8;  49500;       ;      ;      ;                                                                                                                  ;in IC 2116
TLF 1                         ;LMC    ;Dor  ;05 39 38   -69 46 09   ;Op    ;OC    ;     1.8;  49500;       ;      ;      ;                                                                                                                  ;in UC HII LI-LMC 1501W, in N159A5
TLF 2                         ;LMC    ;Dor  ;05 39 36   -69 46 04   ;Op    ;OC    ;     1.8;  49500;       ;      ;      ;                                                                                                                  ;in N159A6
R 136a                        ;LMC    ;Dor  ;05 38 43.3 -69 06 08   ;Op    ;OC    ;     4.1;  52500;       ;      ;      ;RMC 136a, Sk-69 243                                                                                               ;in 30 Dor
HCD02-2                       ;LMC    ;Dor  ;05 39 45   -69 38 38   ;Op    ;OC    ;     4.2;  49500;       ;      ;      ;                                                                                                                  ;in NGC 2080
HRR 1                         ;LMC    ;Dor  ;04 57 44   -66 27 40   ;Op    ;OC    ;     4.2;  49500;       ;      ;      ;                                                                                                                  ;rel Sk-66 41, in NGC 1769
TLK 2                         ;LMC    ;Dor  ;05 40 05   -69 44 40   ;Op    ;OC    ;     4.2;  49500;       ;      ;      ;N159-5-B                                                                                                          ;
TLK 1                         ;LMC    ;Dor  ;05 40 04   -69 44 37   ;Op    ;OC    ;     4.8;  49500;       ;      ;      ;N159-5-A                                                                                                          ;in NKD-N159Y4
MYSO 045403 Cl                ;LMC    ;Dor  ;04 54 03.6 -67 16 18.3 ;Op    ;OC    ;     6.0;  49500;       ;      ;      ;                                                                                                                  ;From arXiv:1609.04399v1, diam from HST image
TLD 1                         ;LMC    ;Dor  ;05 37 47   -69 09 08   ;Op    ;OC    ;     6.0;  49500;       ;      ;      ;                                                                                                                  ;rel Breysacher 73, in BSDL 2634
WDP 1                         ;LMC    ;Dor  ;04 56 59   -66 24 39   ;Op    ;OC    ;     6.0;  49500;       ;      ;      ;                                                                                                                  ;rel LH 10-3209, in LH 10
[WB87] 2                      ;LMC    ;Dor  ;05 38 33   -69 04 32   ;Op    ;OC    ;     7.8;  49500;       ;      ;      ;                                                                                                                  ;in 30 Dor inc P 304, P 294
HCD02-1                       ;LMC    ;Dor  ;05 39 44   -69 38 42   ;Op    ;OC    ;     8.4;  49500;       ;      ;      ;                                                                                                                  ;in NGC 2080
MYSO 053244 Cl                ;LMC    ;Dor  ;05 32 44.3 -69 30 05.5 ;Op    ;OC    ;     9.0;  49500;       ;      ;      ;                                                                                                                  ;From arXiv:1609.04399v1, diam from HST image
[NKN2005] N159-Y1             ;LMC    ;Dor  ;05 39 31   -69 47 21   ;Op    ;OC    ;     9.0;  49500;       ;      ;      ;                                                                                                                  ;in N159H
DES 1-11                      ;LMC    ;Dor  ;05 35 00.05-63 32 02.0 ;Op    ;OC    ;     9.6;  44463;       ;      ; 8.978;                                                                                                                  ;
OGLE-LMC 2                    ;LMC    ;Dor  ;05 00 11   -68 36 55   ;Op    ;OC    ;    10.2;  49500;       ;      ;      ;OGLE-LMC 2                                                                                                        ;
[WB87] 1                      ;LMC    ;Dor  ;05 38 48   -69 04 12   ;Op    ;OC    ;    10.2;  49500;       ;      ;      ;                                                                                                                  ;in 30 Dor inc P 4, IRS N134, IRS N137
OGLE-LMC 537                  ;LMC    ;Dor  ;05 30 04   -69 44 27   ;Op    ;OC    ;    10.8;  49500;       ;      ;      ;OGLE-LMC 537                                                                                                      ;mP
WBB 2                         ;LMC    ;Dor  ;05 38 48   -69 04 45   ;Op    ;OC    ;    10.8;  49500;       ;      ;      ;                                                                                                                  ;in 30 Dor in Knot 2 inc IRS N125, P 1429
BRHT 19b                      ;LMC    ;Dor  ;05 40 24   -69 40 17   ;Op    ;OC    ;    11.4;  49500;       ;      ;      ;NKN-N160-Y5                                                                                                       ;mP, in NGC 2086
DES 1-27                      ;LMC    ;Dor  ;05 58 00.26-64 35 04.1 ;Op    ;OC    ;    12.0;  42462;       ;      ; 9.041;                                                                                                                  ;
WBB 1                         ;LMC    ;Dor  ;05 38 45   -69 05 09   ;Op    ;OC    ;    12.0;  49500;       ;      ;      ;                                                                                                                  ;in 30 Dor in Knot 1 inc P 1222, P 1201, P 1164
[WB87] 3                      ;LMC    ;Dor  ;05 38 45   -69 05 47   ;Op    ;OC    ;    12.0;  49500;       ;      ;      ;                                                                                                                  ;in 30 Dor inc P 1231, P 1304, P 1306, P 1312
DES 1-25                      ;LMC    ;Dor  ;05 54 00.37-64 53 01.4 ;Op    ;OC    ;    13.2;  49659;       ;      ; 8.919;                                                                                                                  ;
DES 1-12                      ;LMC    ;Dor  ;05 33 00.22-63 35 04.7 ;Op    ;OC    ;    14.4;  44875;       ;      ; 9.480;                                                                                                                  ;
DES 1-13                      ;LMC    ;Dor  ;05 33 00.37-63 04 01.9 ;Op    ;OC    ;    14.4;  45499;       ;      ; 9.161;                                                                                                                  ;
DES 1-14                      ;LMC    ;Dor  ;05 35 00.13-64 37 00.8 ;Op    ;OC    ;    14.4;  49659;       ;      ; 8.881;                                                                                                                  ;
DES 1-4                       ;LMC    ;Dor  ;05 24 00.32-64 19 03.2 ;Op    ;OC    ;    14.4;  44055;       ;      ; 9.520;                                                                                                                  ;
OGLE-LMC 122                  ;LMC    ;Dor  ;05 07 19   -68 20 55   ;Op    ;OC    ;    14.4;  49500;       ;      ;      ;OGLE-LMC 122                                                                                                      ;
OGLE-LMC 148                  ;LMC    ;Dor  ;05 09 04   -68 58 53   ;Op    ;OC    ;    14.4;  49500;       ;      ;      ;OGLE-LMC 148                                                                                                      ;
OGLE-LMC 151                  ;LMC    ;Dor  ;05 09 14   -69 16 01   ;Op    ;OC    ;    14.4;  49500;       ;      ;      ;OGLE-LMC 151                                                                                                      ;mP
OGLE-LMC 297                  ;LMC    ;Dor  ;05 16 52   -69 04 13   ;Op    ;OC    ;    14.4;  49500;       ;      ;      ;OGLE-LMC 297                                                                                                      ;mT
BSDL 1161                     ;LMC    ;Dor  ;05 18 15   -68 37 46   ;Op    ;OC/OB ;    15.0;  49500;       ;      ;      ;                                                                                                                  ;mT
BSDL 2562                     ;LMC    ;Dor  ;05 37 04   -64 54 50   ;Op    ;OC    ;    15.0;  49500;       ;      ;      ;                                                                                                                  ;
BSDL 2841                     ;LMC    ;Dor  ;05 42 02   -68 53 23   ;Op    ;OC    ;    15.0;  49500;       ;      ;      ;                                                                                                                  ;in LH 109
HMW 1                         ;LMC    ;Dor  ;05 36 44   -69 29 45   ;Op    ;OC    ;    15.0;  49500;       ;      ;      ;                                                                                                                  ;rel R 127 = Sk-69 220, in NGC 2055
HMW 2                         ;LMC    ;Dor  ;05 36 47   -69 29 58   ;Op    ;OC    ;    15.0;  49500;       ;      ;      ;                                                                                                                  ;rel R 128 = Sk-69 221, in NGC 2055
[H88] 197                     ;LMC    ;Dor  ;05 11 30   -65 40 17   ;Op    ;OC/OB ;    15.0;  49500;       ;      ;      ;H80F3-8                                                                                                           ;
DES 1-18                      ;LMC    ;Dor  ;05 40 00.41-63 49 00.7 ;Op    ;OC    ;    15.6;  45082;       ;      ; 9.121;                                                                                                                  ;
DES 1-22                      ;LMC    ;Dor  ;05 41 00.54-62 21 04.2 ;Op    ;OC    ;    15.6;  48306;       ;      ; 9.389;                                                                                                                  ;
OGLE-LMC 22                   ;LMC    ;Dor  ;05 01 46   -69 23 57   ;Op    ;OC    ;    15.6;  49500;       ;      ;      ;OGLE-LMC 22                                                                                                       ;
OGLE-LMC 291                  ;LMC    ;Dor  ;05 16 41   -69 01 39   ;Op    ;OC    ;    15.6;  49500;       ;      ;      ;OGLE-LMC 291                                                                                                      ;
OGLE-LMC 84                   ;LMC    ;Dor  ;05 05 42   -69 02 21   ;Op    ;OC    ;    15.6;  49500;       ;      ;      ;OGLE-LMC 84                                                                                                       ;
MYSO 051906 Cl                ;LMC    ;Dor  ;05 19 07.0 -68 21 35.1 ;Op    ;OC    ;    16.0;  49500;       ;      ;      ;                                                                                                                  ;From arXiv:1609.04399v1, diam is for encircling neb - cl is not discernible in HST image
OGLE-LMC 623                  ;LMC    ;Dor  ;05 35 49   -69 51 11   ;Op    ;OC    ;    16.2;  49500;       ;      ;      ;OGLE-LMC 623                                                                                                      ;
[NKN2005] N159-O3             ;LMC    ;Dor  ;05 40 05   -69 45 40   ;Op    ;OC    ;    16.8;  49500;       ;      ;      ;                                                                                                                  ;in NGC 2084e
BRHT 19a                      ;LMC    ;Dor  ;05 40 09   -69 40 20   ;Op    ;OC    ;    17.4;  49500;       ;      ;      ;NKN-N160-Y4                                                                                                       ;mP, in NGC 2085
BSDL 1114                     ;LMC    ;Dor  ;05 17 14   -68 03 55   ;Op    ;OC/OB ;    18.0;  49500;       ;      ;      ;                                                                                                                  ;
BSDL 1455                     ;LMC    ;Dor  ;05 23 05   -67 23 08   ;Op    ;OC    ;    18.0;  49500;       ;      ;      ;                                                                                                                  ;in BSDL 1454
BSDL 1730                     ;LMC    ;Dor  ;05 26 31   -69 12 17   ;Op    ;OB/OC ;    18.0;  49500;       ;      ;      ;                                                                                                                  ;in SGshell-LMC 3
BSDL 1792                     ;LMC    ;Dor  ;05 27 45   -65 40 18   ;Op    ;OC    ;    18.0;  49500;       ;      ;      ;                                                                                                                  ;
BSDL 1870                     ;LMC    ;Dor  ;05 28 15   -69 07 44   ;Op    ;OB/OC ;    18.0;  49500;       ;      ;      ;                                                                                                                  ;in DEML 210
BSDL 2042                     ;LMC    ;Dor  ;05 31 01   -65 02 36   ;Op    ;OC/OB ;    18.0;  49500;       ;      ;      ;                                                                                                                  ;mP, in BSDL 2044
BSDL 2046                     ;LMC    ;Dor  ;05 31 03   -65 02 31   ;Op    ;OB/OC ;    18.0;  49500;       ;      ;      ;                                                                                                                  ;mP, in BSDL 2044
BSDL 2118                     ;LMC    ;Dor  ;05 31 43   -65 19 33   ;Op    ;OC/OB ;    18.0;  49500;       ;      ;      ;                                                                                                                  ;
BSDL 2203                     ;LMC    ;Dor  ;05 32 09   -67 40 03   ;Op    ;OC    ;    18.0;  49500;       ;      ;      ;                                                                                                                  ;in BSDL 2209
BSDL 231                      ;LMC    ;Dor  ;04 55 28   -65 57 58   ;Op    ;OC    ;    18.0;  49500;       ;      ;      ;                                                                                                                  ;in DEML 35
BSDL 2466                     ;LMC    ;Dor  ;05 35 44   -65 02 25   ;Op    ;OB/OC ;    18.0;  49500;       ;      ;      ;                                                                                                                  ;
BSDL 2793                     ;LMC    ;Dor  ;05 41 23   -67 06 43   ;Op    ;OB/OC ;    18.0;  49500;       ;      ;      ;                                                                                                                  ;
BSDL 645                      ;LMC    ;Dor  ;05 06 51   -68 16 15   ;Op    ;OB/OC ;    18.0;  49500;       ;      ;      ;                                                                                                                  ;
DES 1-19                      ;LMC    ;Dor  ;05 40 00.35-63 06 00.1 ;Op    ;OC    ;    18.0;  45709;       ;      ; 9.140;                                                                                                                  ;
DES 1-28                      ;LMC    ;Dor  ;06 03 00.19-64 49 05.3 ;Op    ;OC    ;    18.0;  56754;       ;      ; 8.898;                                                                                                                  ;
OGLE-LMC 241                  ;LMC    ;Dor  ;05 13 26   -69 10 50   ;Op    ;OC    ;    18.0;  49500;       ;      ;      ;OGLE-LMC 241                                                                                                      ;
OGLE-LMC 363                  ;LMC    ;Dor  ;05 20 04   -69 15 55   ;Op    ;OC    ;    18.0;  49500;       ;      ;      ;OGLE-LMC 363                                                                                                      ;mP
OGLE-LMC 649                  ;LMC    ;Dor  ;05 37 39   -69 48 50   ;Op    ;OC    ;    18.0;  49500;       ;      ;      ;OGLE-LMC 649                                                                                                      ;
[H88] 217                     ;LMC    ;Dor  ;05 12 57   -68 55 35   ;Op    ;OC    ;    18.0;  49500;       ;      ;      ;                                                                                                                  ;mP
[H88] 233                     ;LMC    ;Dor  ;05 15 50   -65 25 19   ;Op    ;OC/OB ;    18.0;  49500;       ;      ;      ;H80F3-26                                                                                                          ;
[H88] 381                     ;LMC    ;Dor  ;05 58 57   -68 57 05   ;Op    ;OC    ;    18.0;  49500;       ;      ;      ;H80F5-14                                                                                                          ;in BSDL 3194
[H88] 39                      ;LMC    ;Dor  ;04 56 20   -66 17 51   ;Op    ;OC/OB ;    18.0;  49500;       ;      ;      ;                                                                                                                  ;in KMHK 302
BRHT 18a                      ;LMC    ;Dor  ;05 39 35   -69 39 19   ;Op    ;OC    ;    18.6;  49500;       ;      ;      ;NKN-N160-O1                                                                                                       ;mT, in NGC 2077
DES 1-5                       ;LMC    ;Dor  ;05 27 00.41-64 48 02.6 ;Op    ;OC    ;    19.2;  49204;       ;      ; 8.881;                                                                                                                  ;
SMASH Field 30-02             ;LMC    ;Dor  ;04 52 58.70-69 22 53.1 ;Op    ;OC    ;    20.0;  49500;       ;      ;      ;                                                                                                                  ;from arXiv:1612.09221v1, approx diam from DSS2
DES 1-24                      ;LMC    ;Dor  ;05 56 00.20-64 43 00.3 ;Op    ;OC    ;    20.4;  45709;       ;      ; 9.241;                                                                                                                  ;
OGLE-LMC 190                  ;LMC    ;Dor  ;05 10 44   -67 04 49   ;Op    ;OC    ;    20.4;  49500;       ;      ;      ;OGLE-LMC 190                                                                                                      ;
OGLE-LMC 427                  ;LMC    ;Dor  ;05 23 47   -69 17 22   ;Op    ;OC    ;    20.4;  49500;       ;      ;      ;OGLE-LMC 427                                                                                                      ;
OGLE-LMC 434                  ;LMC    ;Dor  ;05 24 24   -69 46 48   ;Op    ;OC    ;    20.4;  49500;       ;      ;      ;OGLE-LMC 434                                                                                                      ;mP
BMG 26                        ;LMC    ;Dor  ;05 44 24   -67 30 11   ;Op    ;OB/OC ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;
BSDL 1101                     ;LMC    ;Dor  ;05 17 09   -66 01 59   ;Op    ;OB/OC ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;
BSDL 1218                     ;LMC    ;Dor  ;05 19 15   -68 05 21   ;Op    ;OC    ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;
BSDL 1310                     ;LMC    ;Dor  ;05 21 11   -66 15 28   ;Op    ;OB/OC ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;in SGshell-LMC 5
BSDL 1472                     ;LMC    ;Dor  ;05 23 17   -67 32 37   ;Op    ;OB/OC ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;
BSDL 1477                     ;LMC    ;Dor  ;05 23 18   -68 18 28   ;Op    ;OB/OC ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;
BSDL 1521                     ;LMC    ;Dor  ;05 24 08   -67 12 09   ;Op    ;OB/OC ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;mP, in DEML 182
BSDL 1524                     ;LMC    ;Dor  ;05 24 03   -68 12 20   ;Op    ;OB/OC ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;
BSDL 1649                     ;LMC    ;Dor  ;05 26 01   -67 15 16   ;Op    ;OB/OC ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;mP, in DEML 200
BSDL 1705                     ;LMC    ;Dor  ;05 26 30   -67 41 44   ;Op    ;OC    ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;mP, in BSDL 1699
BSDL 1757                     ;LMC    ;Dor  ;05 26 49   -69 10 37   ;Op    ;OB/OC ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;in Shapley II
BSDL 1758                     ;LMC    ;Dor  ;05 27 14   -66 14 54   ;Op    ;OB/OC ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;in DEML 195
BSDL 1812                     ;LMC    ;Dor  ;05 28 00   -66 10 48   ;Op    ;OB/OC ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;mP, in Shapley III
BSDL 192                      ;LMC    ;Dor  ;04 54 05   -69 40 55   ;Op    ;OC/OB ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;in SGshell-LMC 7
BSDL 1953                     ;LMC    ;Dor  ;05 29 34   -69 23 34   ;Op    ;OB/OC ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;in BSDL 1951
BSDL 1960                     ;LMC    ;Dor  ;05 30 01   -66 55 04   ;Op    ;OB/OC ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;in LH 65
BSDL 2336                     ;LMC    ;Dor  ;05 33 44   -69 19 53   ;Op    ;OB/OC ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;in BSDL 2341
BSDL 2359                     ;LMC    ;Dor  ;05 34 11   -67 45 58   ;Op    ;OB/OC ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;mP, in DEML 245
BSDL 2431                     ;LMC    ;Dor  ;05 35 04   -65 54 14   ;Op    ;OB/OC ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;in DEML 237
BSDL 2446                     ;LMC    ;Dor  ;05 35 21   -64 59 23   ;Op    ;OB/OC ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;
BSDL 2577                     ;LMC    ;Dor  ;05 36 52   -68 42 59   ;Op    ;OB/OC ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;in BSDL 2590
BSDL 2613                     ;LMC    ;Dor  ;05 37 30   -68 50 30   ;Op    ;OB/OC ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;
BSDL 2707                     ;LMC    ;Dor  ;05 40 07   -65 21 08   ;Op    ;OB/OC ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;
BSDL 2709                     ;LMC    ;Dor  ;05 40 09   -65 20 56   ;Op    ;OB/OC ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;
BSDL 2723                     ;LMC    ;Dor  ;05 40 10   -67 28 37   ;Op    ;OB/OC ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;in BSDL 2731
BSDL 2862                     ;LMC    ;Dor  ;05 42 34   -68 59 25   ;Op    ;OB/OC ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;in DEML 310
BSDL 3086                     ;LMC    ;Dor  ;05 48 58   -69 40 31   ;Op    ;OB/OC ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;
BSDL 3087                     ;LMC    ;Dor  ;05 48 58   -69 43 36   ;Op    ;OB/OC ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;
BSDL 3092                     ;LMC    ;Dor  ;05 49 16   -69 40 53   ;Op    ;OC/OB ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;
BSDL 3152                     ;LMC    ;Dor  ;05 52 15   -69 28 27   ;Op    ;OC    ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;in BDSL 3151, compact
BSDL 333                      ;LMC    ;Dor  ;04 58 00   -66 23 27   ;Op    ;OC    ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;in LMC-N 11
BSDL 434                      ;LMC    ;Dor  ;05 01 21   -67 25 54   ;Op    ;OC/OB ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;
BSDL 541                      ;LMC    ;Dor  ;05 04 49   -67 48 08   ;Op    ;OC/OB ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;
BSDL 600                      ;LMC    ;Dor  ;05 05 52   -68 14 30   ;Op    ;OB/OC ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;mP, in GKK-A136
HS 188                        ;LMC    ;Dor  ;05 14 46   -69 12 24   ;Op    ;OB    ;    21.0;  49500;       ;      ;      ;HS 188                                                                                                            ;
SESG C1                       ;LMC    ;Dor  ;05 35 34   -69 23 49   ;Op    ;OC    ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;sup? BSDL 2514
SL 97                         ;LMC    ;Dor  ;04 54 53   -65 56 40   ;Op    ;OB/OC ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;
ZHT AN 7                      ;LMC    ;Dor  ;05 02 27   -67 48 05   ;Op    ;OC/OB ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;in BSDL 461
[H88] 10                      ;LMC    ;Dor  ;04 52 09   -69 04 10   ;Op    ;OC/OB ;    21.0;  49500;       ;      ;      ;H80F1-9                                                                                                           ;
[H88] 102                     ;LMC    ;Dor  ;05 04 07   -69 02 58   ;Op    ;OC    ;    21.0;  49500;       ;      ;      ;OGLE-LMC 51                                                                                                       ;
[H88] 116                     ;LMC    ;Dor  ;05 05 02   -69 09 38   ;Op    ;OC    ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;in BSDL 570
[H88] 130                     ;LMC    ;Dor  ;05 06 23   -65 21 11   ;Op    ;OC    ;    21.0;  49500;       ;      ;      ;H80F2-8                                                                                                           ;
[H88] 14                      ;LMC    ;Dor  ;04 53 27   -68 57 15   ;Op    ;OC    ;    21.0;  49500;       ;      ;      ;H80F1-13                                                                                                          ;in KMHK 219
[H88] 156                     ;LMC    ;Dor  ;05 08 57   -64 46 21   ;Op    ;OC    ;    21.0;  49500;       ;      ;      ;H80F2-18                                                                                                          ;
[H88] 215                     ;LMC    ;Dor  ;05 13 01   -65 06 50   ;Op    ;OC    ;    21.0;  49500;       ;      ;      ;H80F3-15                                                                                                          ;
[H88] 237                     ;LMC    ;Dor  ;05 16 21   -63 37 46   ;Op    ;OC    ;    21.0;  49500;       ;      ;      ;H80F4-5                                                                                                           ;
[H88] 248                     ;LMC    ;Dor  ;05 16 40   -69 00 53   ;Op    ;OC    ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;
[H88] 385                     ;LMC    ;Dor  ;06 01 12   -68 05 23   ;Op    ;OC    ;    21.0;  49500;       ;      ;      ;H80F5-18                                                                                                          ;
[H88] 44                      ;LMC    ;Dor  ;04 57 10   -65 44 48   ;Op    ;OC/OB ;    21.0;  49500;       ;      ;      ;                                                                                                                  ;in DEML 43
OGLE-LMC 166                  ;LMC    ;Dor  ;05 09 57   -69 17 00   ;Op    ;OC    ;    21.6;  49500;       ;      ;      ;OGLE-LMC 166                                                                                                      ;
OGLE-LMC 175                  ;LMC    ;Dor  ;05 10 20   -69 31 24   ;Op    ;OC    ;    21.6;  49500;       ;      ;      ;OGLE-LMC 175                                                                                                      ;mP
OGLE-LMC 247                  ;LMC    ;Dor  ;05 13 40   -69 22 27   ;Op    ;OC    ;    21.6;  49500;       ;      ;      ;OGLE-LMC 247                                                                                                      ;m6
OGLE-LMC 264                  ;LMC    ;Dor  ;05 15 21   -69 06 27   ;Op    ;OC    ;    21.6;  49500;       ;      ;      ;OGLE-LMC 264                                                                                                      ;
OGLE-LMC 300                  ;LMC    ;Dor  ;05 16 53   -69 43 27   ;Op    ;OC    ;    21.6;  49500;       ;      ;      ;OGLE-LMC 300                                                                                                      ;
OGLE-LMC 313                  ;LMC    ;Dor  ;05 17 29   -69 24 58   ;Op    ;OC    ;    21.6;  49500;       ;      ;      ;OGLE-LMC 313                                                                                                      ;
OGLE-LMC 362                  ;LMC    ;Dor  ;05 20 03   -69 23 59   ;Op    ;OC    ;    21.6;  49500;       ;      ;      ;OGLE-LMC 362                                                                                                      ;mP
OGLE-LMC 383                  ;LMC    ;Dor  ;05 21 00   -69 29 45   ;Op    ;OC    ;    21.6;  49500;       ;      ;      ;OGLE-LMC 383                                                                                                      ;mP
OGLE-LMC 433                  ;LMC    ;Dor  ;05 24 22   -69 38 29   ;Op    ;OC    ;    21.6;  49500;       ;      ;      ;OGLE-LMC 433                                                                                                      ;mP
OGLE-LMC 435                  ;LMC    ;Dor  ;05 24 33   -69 49 47   ;Op    ;OC    ;    21.6;  49500;       ;      ;      ;OGLE-LMC 435                                                                                                      ;
OGLE-LMC 439                  ;LMC    ;Dor  ;05 24 41   -69 41 34   ;Op    ;OC    ;    21.6;  49500;       ;      ;      ;OGLE-LMC 439                                                                                                      ;
OGLE-LMC 441                  ;LMC    ;Dor  ;05 24 52   -69 50 37   ;Op    ;OC    ;    21.6;  49500;       ;      ;      ;OGLE-LMC 441                                                                                                      ;m6
MYSO 053431 Cl                ;LMC    ;Dor  ;05 34 31.7 -68 35 13.6 ;Op    ;OC    ;    23.0;  49500;       ;      ;      ;                                                                                                                  ;From arXiv:1609.04399v1, diam from HST image
BMG 1                         ;LMC    ;Dor  ;05 42 20   -68 33 57   ;Op    ;OC    ;    24.0;  49500;       ;      ;      ;                                                                                                                  ;
BMG 165                       ;LMC    ;Dor  ;05 55 11   -67 24 01   ;Op    ;OC/OB ;    24.0;  49500;       ;      ;      ;                                                                                                                  ;
BMG 170                       ;LMC    ;Dor  ;05 55 37   -67 33 29   ;Op    ;OC    ;    24.0;  49500;       ;      ;      ;                                                                                                                  ;
BMG 178                       ;LMC    ;Dor  ;05 56 57   -67 34 47   ;Op    ;OC/OB ;    24.0;  49500;       ;      ;      ;                                                                                                                  ;
BMG 2                         ;LMC    ;Dor  ;05 42 21   -68 36 07   ;Op    ;OB/OC ;    24.0;  49500;       ;      ;      ;                                                                                                                  ;
BMG 256                       ;LMC    ;Dor  ;06 12 20   -68 48 22   ;Op    ;OB/OC ;    24.0;  49500;       ;      ;      ;                                                                                                                  ;br*north
BMG 49                        ;LMC    ;Dor  ;05 45 45   -67 48 51   ;Op    ;OB/OC ;    24.0;  49500;       ;      ;      ;                                                                                                                  ;in GKK-O182
BMG 93                        ;LMC    ;Dor  ;05 48 36   -67 24 54   ;Op    ;OB/OC ;    24.0;  49500;       ;      ;      ;                                                                                                                  ;
BSDL 1043                     ;LMC    ;Dor  ;05 15 26   -69 49 46   ;Op    ;OB/OC ;    24.0;  49500;       ;      ;      ;                                                                                                                  ;
BSDL 1072                     ;LMC    ;Dor  ;05 16 12   -68 18 14   ;Op    ;OB/OC ;    24.0;  49500;       ;      ;      ;                                                                                                                  ;in BSDL 1060
BSDL 1180                     ;LMC    ;Dor  ;05 18 19   -69 44 29   ;Op    ;OB/OC ;    24.0;  49500;       ;      ;      ;                                                                                                                  ;in DEML 133
BSDL 1184                     ;LMC    ;Dor  ;05 18 38   -68 26 24   ;Op    ;OB/OC ;    24.0;  49500;       ;      ;      ;                                                                                                                  ;
BSDL 1192                     ;LMC    ;Dor  ;05 19 08   -65 19 11   ;Op    ;OB/OC ;    24.0;  49500;       ;      ;      ;                                                                                                                  ;
BSDL 1199                     ;LMC    ;Dor  ;05 19 17   -64 48 38   ;Op    ;OC/OB ;    24.0;  49500;       ;      ;      ;                                                                                                                  ;in BSDL 1201
BSDL 1228                     ;LMC    ;Dor  ;05 19 10   -69 34 58   ;Op    ;OC    ;    24.0;  49500;       ;      ;      ;                                                                                                                  ;mP
BSDL 1237                     ;LMC    ;Dor  ;05 19 39   -66 48 21   ;Op    ;OB/OC ;    24.0;  49500;       ;      ;      ;                                                                                                                  ;
BSDL 1267                     ;LMC    ;Dor  ;05 19 58   -68 03 42   ;Op    ;OC/OB ;    24.0;  49500;       ;      ;      ;GKK-O207                                                                                                          ;
BSDL 1288                     ;LMC    ;Dor  ;05 20 23   -68 09 09   ;Op    ;OB    ;    24.0;  49500;       ;      ;      ;                                                                                                                  ;
BSDL 1289                     ;LMC    ;Dor  ;05 20 45   -65 28 31   ;Op    ;OB/OC ;    24.0;  49500;       ;      ;      ;                                                                                                                  ;in LH 43
BSDL 1294                     ;LMC    ;Dor  ;05 20 28   -68 22 15   ;Op    ;OC/OB ;    24.0;  49500;       ;      ;      ;                                                                                                                  ;
BSDL 1392                     ;LMC    ;Dor  ;05 22 11   -68 07 53   ;Op    ;OB    ;    24.0;  49500;       ;      ;      ;                                                                                                                  ;
BSDL 143                      ;LMC    ;Dor  ;04 52 58   -66 51 30   ;Op    ;OC/OB ;    24.0;  49500;       ;      ;      ;                                                                                                                  ;in Shapley VI
BSDL 1453                     ;LMC    ;Dor  ;05 23 03   -67 25 22   ;Op    ;OB/OC ;    24.0;  49500;       ;      ;      ;                                                                                                                  ;
