Common Name           ;Gl/GJ   ;Variable  ;Cst  ;RA_J2000   De_J2000  ;PMtot ;PosAng ;TrigPar  ;Error  ;Spect. Type  ;AparMag    ;P/D;Comments
LHS 2065              ;3517    ;          ;Hya  ;08 53 36.0 -03 29 28 ; 0.58 ; 250.2 ; 116.48  ; 0.50  ; M 9   V     ; 18.8  V   ;   ;
Zeta Tucanae          ;17      ;          ;Tuc  ;00 20 04.6 -64 52 29 ; 2.07 ; 55.7  ; 116.47  ; 0.16  ; F 9.5 V     ;  4.20 V   ; y ;
LHS 531               ;877     ;          ;Oct  ;22 55 46.1 -75 27 31 ; 1.42 ; 225.6 ; 116.27  ; 0.25  ; M 3   V     ; 10.38 V   ;   ;
LHS 168               ;1057    ;CD Cet    ;Cet  ;03 13 22.5 +04 46 28 ; 1.71 ; 86.4  ; 115.76  ; 0.78  ; M 5   V     ; 13.78 V   ;   ;
NLTT 40406            ;        ;          ;Ser  ;15 30 30.3 +09 26 01 ; 0.26 ; 314.7 ; 115.76  ; 0.14  ; M 5.5 V     ; 15.4  V   ;   ;
LHS 3255              ;1207    ;          ;Oph  ;16 57 05.7 -04 20 56 ; 0.64 ; 126.3 ; 115.3   ; 1.5   ; M 4   V     ; 12.33 V   ;   ;
SIPS J1141-3624       ;        ;          ;Cen  ;11 41 21.5 -36 24 35 ; 0.56 ; 57.1  ; 115.198 ; 0.075 ; M 5   V     ; 13.68 V   ;   ;
Chi-1 Orionis A       ;222 AB  ;Chi-1 Ori ;Ori  ;05 54 23.0 +20 16 34 ; 0.19 ; 238.5 ; 115.17  ; 0.26  ; G 0   V     ;  4.46 V   ;   ;
Chi-1 Orionis B       ;        ;          ;Ori  ;05 54 23.0 +20 16 34 ; 0.19 ; 238.5 ; 115.17  ; 0.26  ; K 5   V     ;  7.5  V   ;   ;
2MASS J0348-6022      ;        ;          ;Ret  ;03 48 07.7 -60 22 27 ; 0.77 ; 201.3 ; 115     ;11     ; T 7   V     ; 15.32 J   ;   ;
HD 32147              ;183     ;          ;Eri  ;05 00 49.1 -05 45 10 ; 1.23 ; 153.5 ; 114.77  ; 0.48  ; K 3   V     ;  6.22 V   ; y ;
2MASS J0036+1821 A    ;        ;          ;Psc  ;00 36 15.9 +18 21 10 ; 0.91 ; 82.4  ; 114.72  ; 0.37  ; L 4   V     ; 12.93 J   ;   ;
2MASS J0036+1821 B    ;        ;          ;Psc  ;00 36 15.9 +18 21 10 ; 0.91 ; 82.4  ; 114.72  ; 0.37  ; L 5.5 V     ; 13.6  J   ;   ;
HD 50281 (A)          ;250 A   ;          ;Mon  ;06 52 18.1 -05 10 24 ; 0.54 ; 269.8 ; 114.65  ; 0.43  ; K 3   V     ;  6.57 V   ;   ;
