Common Name           ;Gl/GJ   ;Variable  ;Cst  ;RA_J2000   De_J2000  ;PMtot ;PosAng ;TrigPar  ;Error  ;Spect. Type  ;AparMag    ;P/D;Comments
LHS 6167 A            ;        ;          ;Hya  ;09 15 36.4 -10 35 47 ; 0.44 ; 244.0 ; 103.46  ; 0.94  ; M 5   V     ; 14.00 V   ;   ;
LHS 6167 B            ;        ;          ;Hya  ;09 15 36.4 -10 35 47 ; 0.44 ; 244.0 ; 103.46  ; 0.94  ; M 5.5 V     ; 15.83 V   ;   ;ST derived from MV
Wolf 227 AB           ;3253    ;          ;Tau  ;03 52 41.4 +17 01 03 ; 0.77 ; 147.5 ; 103.38  ; 0.13  ; M 4.5 V c   ; 13.79 V c ;   ;B is a poss BD detected using RVs: MSini= 44.8+-3.2 MJup, per= 10.59d
CD-48 9312            ;680     ;          ;Ara  ;17 35 13.5 -48 40 52 ; 0.46 ; 7.0   ; 103.350 ; 0.054 ; M 3   V     ; 10.13 V   ;   ;
WISE J1405+8350       ;        ;          ;Cam  ;14 05 37.3 +83 50 25 ; 0.85 ; 312.1 ; 103.12  ; 0.71  ; L 8.5 V     ; 14.63 J   ;   ;
LHS 293 A             ;1138    ;          ;LMi  ;10 49 45.7 +35 32 45 ; 1.23 ; 213.2 ; 103.11  ; 0.18  ; M 4.5 V     ; 13.10 V   ;   ;
LHS 293 B             ;        ;          ;LMi  ;10 49 45.7 +35 32 45 ; 1.23 ; 213.2 ; 103.11  ; 0.18  ; M 6   V     ; 16.50 V   ;   ;ST derived from MV
CFBDS J0059-0114      ;        ;          ;Cet  ;00 59 10.9 -01 14 01 ; 0.89 ; 87.2  ; 102.9   ; 1.5   ; T 8.5 V     ; 18.03 J   ;   ;
HD 197481 (A)         ;803     ;AU Mic    ;Mic  ;20 45 09.5 -31 20 27 ; 0.44 ; 142.1 ; 102.830 ; 0.049 ; M 1   V     ;  8.61 V   ; y ;Pair with AT Mic
LHS 145               ;3112    ;          ;Hyi  ;01 42 57.6 -67 17 58 ; 1.05 ; 197.8 ; 102.80  ; 0.85  ; DA 8.1      ; 13.9  V   ;   ;
LP 655-48             ;        ;          ;Eri  ;04 40 23.3 -05 30 08 ; 0.24 ; 68.2  ; 102.60  ; 0.57  ; M 6.5 V     ; 17.86 V   ;   ;
2MASS J1515+4847      ;        ;          ;Boo  ;15 15 00.8 +48 47 42 ; 1.75 ; 327.1 ; 102.59  ; 0.63  ; L 6   V     ; 14.11 J   ;   ;
LHS 310               ;436     ;          ;Leo  ;11 42 10.4 +26 42 31 ; 1.08 ; 135.5 ; 102.50  ; 0.31  ; M 3.5 V     ; 10.59 V   ; y ;
12 Ophiuchi           ;631     ;V2133 Oph ;Oph  ;16 36 21.8 -02 19 31 ; 0.55 ; 124.6 ; 102.49  ; 0.40  ; K 2   V     ;  5.77 V   ;   ;
PSO 339.07+51.09      ;        ;          ;Lac  ;22 36 17.6 +51 05 52 ; 0.81 ; 65.8  ; 102.4   ; 1.9   ; T 5   V     ; 14.58 J   ;   ;2MASS J2236+5105
2MASS J0257-3105      ;        ;          ;For  ;02 57 25.8 -31 05 52 ; 0.70 ; 61.5  ; 102.37  ; 0.61  ; L 8   V     ; 14.67 J   ;   ;
LHS 134               ;1028    ;          ;Cet  ;01 04 53.2 -18 07 29 ; 1.34 ; 71.5  ; 102.16  ; 0.85  ; M 5   V     ; 14.47 V   ;   ;
CWISEP J1935-1546     ;        ;          ;Sgr  ;19 35 18.6 -15 46 20 ;      ;       ; 102     ;16     ; Y 1   V     ; 18.51 W1  ;   ;Teff = 270-360 K, d = 5.6-10.9 pc
HD 196982 (B)         ;799 A   ;AT Mic    ;Mic  ;20 41 51.2 -32 26 10 ; 0.43 ; 140.5 ; 101.717 ; 0.096 ; M 4.5 V     ; 11.36 V   ;   ;
Wolf 47 (B)           ;51      ;V388 Cas  ;Cas  ;01 03 20.7 +62 21 58 ; 0.73 ; 82.5  ; 101.637 ; 0.081 ; M 3   V     ; 13.66 V   ;   ;
HD 151288             ;638     ;          ;Her  ;16 45 06.7 +33 30 36 ; 0.39 ; 352.6 ; 101.63  ; 0.22  ; K 5   V     ;  8.11 V   ;   ;
CFBDS J2139+0220      ;        ;          ;Aqr  ;21 39 26.8 +02 20 23 ; 0.50 ; 75.6  ; 101.5   ; 2.0   ; T 1.5 V     ; 14.71 J   ;   ;
Wolf 46 (A)           ;49      ;          ;Cas  ;01 02 39.0 +62 20 40 ; 0.69 ; 84.3  ; 101.465 ; 0.034 ; M 1.5 V     ;  9.56 V   ; y ;
UPM 0815-2344         ;        ;          ;Pup  ;08 15 11.2 -23 44 16 ; 0.12 ; 57.0  ; 101.262 ; 0.081 ; M 3.5 V     ; 12.3  V   ;   ;
HD 196982 (C)         ;799 B   ;AT Mic    ;Mic  ;20 41 51.1 -32 26 07 ; 0.43 ; 140.5 ; 101.198 ; 0.079 ; M 4.5 V     ; 11.34 V   ;   ;
Ross 440 A            ;352 A   ;          ;Hya  ;09 31 19.6 -13 29 18 ; 0.73 ; 85.4  ; 101.1   ; 3.3   ; M 3   V     ; 10.65 V   ;   ;
Ross 440 B            ;352 B   ;          ;Hya  ;09 31 19.6 -13 29 18 ; 0.73 ; 85.4  ; 101.1   ; 3.3   ; M 4   V     ; 11.06 V   ;   ;
HD 232979             ;172     ;          ;Cam  ;04 37 40.7 +52 53 37 ; 0.56 ; 145.2 ; 101.02  ; 0.30  ; K 8   V     ;  8.61 V   ;   ;LHS 1688
LHS 2149              ;1125    ;          ;Hya  ;09 30 44.1 +00 19 20 ; 0.79 ; 228.3 ; 100.999 ; 0.075 ; M 3.5 V     ; 11.71 V   ;   ;
WISE J0336-0143       ;        ;          ;Eri  ;03 36 05.1 -01 43 50 ;      ;       ; 100.9   ; 5.9   ; Y 0   V     ; 18.45 W1  ;   ;
LHS 3262              ;3988    ;          ;Dra  ;17 03 24.4 +51 24 24 ; 0.65 ; 13.0  ; 100.874 ; 0.042 ; M 4   V     ; 13.56 V   ;   ;
LHS 3405 (Aa)         ;1230 A  ;          ;Her  ;18 41 09.3 +24 47 09 ; 0.50 ; 85.3  ; 100.723 ; 0.049 ; M 4.5 V     ; 12.98 V   ;   ;
LHS 3405 (Ab)         ;        ;          ;Her  ;18 41 09.3 +24 47 09 ; 0.50 ; 85.3  ; 100.723 ; 0.049 ; M 4.5 V     ; 13.18 V   ;   ;
LHS 3404 (B)          ;1230 B  ;          ;Her  ;18 41 09.3 +24 47 15 ; 0.50 ; 85.3  ; 100.683 ; 0.071 ; M 5   V     ; 14.87 V   ;   ;
BD+16 2708 A          ;569 AB  ;CE Boo    ;Boo  ;14 54 29.6 +16 06 04 ; 0.30 ; 113.8 ; 100.681 ; 0.053 ; M 2.5 V     ; 10.15 V   ;   ;
BD+16 2708 Ba         ;        ;          ;Boo  ;14 54 29.6 +16 06 04 ; 0.30 ; 113.8 ; 100.681 ; 0.053 ; M 8.5 V     ; 19.0  V   ;   ;V calculated from J and V-J values
BD+16 2708 Bb         ;        ;          ;Boo  ;14 54 29.6 +16 06 04 ; 0.30 ; 113.8 ; 100.681 ; 0.053 ; M 9   V     ; 19.5  V   ;   ;V calculated from J and V-J values
LHS 183               ;1065    ;          ;Eri  ;03 50 44.3 -06 05 44 ; 1.43 ; 196.8 ; 100.56  ; 0.11  ; M 3   V     ; 12.79 V   ;   ;
G 243-30 (Aa)         ;22 A    ;V547 Cas  ;Cas  ;00 32 29.9 +67 14 09 ; 1.75 ; 97.8  ; 100.405 ; 0.070 ; M 2.5 V     ; 10.44 V   ;   ;BD+66 34 Aa
G 243-30 (Ab)         ;22 C    ;          ;Cas  ;00 32 29.9 +67 14 09 ; 1.75 ; 97.8  ; 100.405 ; 0.070 ; M 3.5 V     ; 13.85 V   ;   ;BD+66 34 Ab
LHS 115 (Bab)         ;22 B    ;          ;Cas  ;00 32 29.9 +67 14 09 ; 1.75 ; 97.8  ; 100.405 ; 0.070 ; M 3   V     ; 11.38 V   ; y ;
LHS 2930              ;3855    ;          ;Dra  ;14 30 37.8 +59 43 25 ; 0.82 ; 281.7 ; 100.293 ; 0.079 ; M 6.5 V     ; 17.88 V   ;   ;
LHS 1417              ;102     ;          ;Ari  ;02 33 36.9 +24 55 29 ; 0.69 ; 176.8 ; 100.28  ; 0.11  ; M 4   V     ; 12.96 V   ;   ;
Wolf 287              ;239     ;          ;Gem  ;06 37 10.8 +17 33 54 ; 0.89 ; 293.4 ;  99.916 ; 0.050 ; K 7   V     ;  9.59 V   ;   ;Optical multiple
LHS 411               ;609     ;          ;Her  ;16 02 51.5 +20 35 20 ; 1.57 ; 217.6 ;  99.901 ; 0.059 ; M 4   V     ; 12.56 V   ;   ;
WISE J1828+2650 AB?   ;        ;          ;Lyr  ;18 28 31.1 +26 50 38 ; 0.97 ; 80.9  ;  99.8   ; 3.2   ; Y 1.5 V c?  ; 23.48 J c?;   ;Double?
ULAS J1335+1130       ;        ;          ;Vir  ;13 35 53.5 +11 30 05 ; 0.28 ; 223.3 ;  99.3   ; 1.4   ; T 8.5 V     ; 17.9  J   ;   ;
WISE J1150+6302       ;        ;          ;UMa  ;11 50 13.9 +63 02 41 ; 0.80 ; 163.9 ;  99     ;32     ; T 8   V     ; 17.72 J   ;   ;
CWISEP J1446-2317     ;        ;          ;Lib  ;14 46 06.6 -23 17 18 ;      ;       ;  99     ;15     ; Y 1.5 V     ;>22.36 J   ;   ;
WISE J0811-8051       ;        ;          ;Cha  ;08 11 17.8 -80 51 41 ; 0.29 ; 100.6 ;  98.5   ; 7.7   ; T 9.5 V     ; 19.65 J   ;   ;
G 237-78 A            ;487     ;DP Dra    ;Dra  ;12 49 02.6 +66 06 36 ; 0.44 ; 258.0 ;  98.4   ; 1.7   ; M 3   V     ; 11.67 V   ;   ;
G 237-78 B            ;        ;DP Dra    ;Dra  ;12 49 02.6 +66 06 36 ; 0.44 ; 258.0 ;  98.4   ; 1.7   ; M 3   V     ; 11.74 V   ;   ;
G 237-78 C            ;        ;DP Dra    ;Dra  ;12 49 02.6 +66 06 36 ; 0.44 ; 258.0 ;  98.4   ; 1.7   ; M 4   V     ; 12.51 V   ;   ;ST derived from MV
2MASS J1237+6526      ;        ;          ;Dra  ;12 37 39.2 +65 26 15 ; 1.13 ; 242.3 ;  96.1   ; 4.8   ; T 6.5 V     ; 16.05 J   ;   ;
WISE J1614+1739       ;        ;          ;Her  ;16 14 41.5 +17 39 37 ; 0.78 ; 103.2 ;  96     ;13     ; T 9   V     ; 18.9  J   ;   ;
CWISEP J2256+4002     ;        ;          ;Lac  ;22 56 29.0 +40 02 27 ;      ;       ;  93     ;29     ; Y 1   V     ; 21.70 J   ;   ;
