NGC 2408              ;Cam  ;07 40 09.0 +71 39 18  ;***  ;   28.0 ;                                                  
NGC 7134              ;Cap  ;21 48 55.0 -12 58 24  ;***  ;    3.0 ;                                                  
NGC 2609              ;Car  ;08 29 31.9 -61 06 00  ;***  ;   10.2 ;                                                  
NGC 3036              ;Car  ;09 49 15.6 -62 40 12  ;***  ;   16.8 ;                                                  
Hogg 6                ;Car  ;10 06 36.0 -60 30 00  ;***  ;   13.2 ;                                                  
Ruprecht 88           ;Car  ;10 18 47.8 -63 08 13  ;***  ;   15.6 ;                                                  
ESO 62-8              ;Car  ;10 21 39.6 -69 20 53  ;***  ;   12.0 ;                                                  
Loden 165             ;Car  ;10 35 55.9 -58 43 59  ;***  ;   13.8 ;                                                  
Loden 213             ;Car  ;10 36 08.9 -61 50 13  ;***  ;   15.0 ;                                                  
ESO 62-11             ;Car  ;10 38 56.4 -69 02 06  ;***  ;   16.8 ;                                                  
Skiff J1053-6435      ;Car  ;10 53 00.0 -64 35 00  ;***  ;   20.0 ;A1053-6435                                        
Ruprecht 163          ;Car  ;11 04 53.3 -67 56 35  ;***  ;   10.8 ;                                                  
Loden 280             ;Car  ;11 09 48.5 -59 06 00  ;***  ;    7.2 ;                                                  
NGC 3576              ;Car  ;11 18 42.0 -61 08 00  ;***  ;   60.0 ;                                                  
Loden 336             ;Car  ;11 19 48.0 -58 51 00  ;***  ;    2.0 ;                                                  
NGC 7801              ;Cas  ;00 00 19.7 +50 43 37  ;***  ;   18.7 ;                                                  
Stock 19              ;Cas  ;00 04 41.0 +56 04 42  ;***  ;    3.0 ;                                                  
NGC 110               ;Cas  ;00 27 25.2 +71 25 19  ;***  ;   13.8 ;                                                  
Dolidze 12            ;Cas  ;00 40 46.1 +60 51 18  ;***  ;   15.6 ;                                                  
Dolidze 46            ;Cas  ;23 22 21.0 +56 22 18  ;***  ;   12.0 ;                                                  
Stock 11              ;Cas  ;23 31 22.8 +55 48 47  ;***  ;   13.0 ;                                                  
Harvard 21            ;Cas  ;23 54 13.2 +61 44 24  ;***  ;    7.2 ;Collinder 458                                     
NGC 7795              ;Cas  ;23 57 38.2 +60 04 59  ;***  ;   13.8 ;                                                  
Lacaille II.11        ;Cen  ;11 22 55.0 -58 19 36  ;***  ;   55.0 ;Dunlop 324, Slotegraaf 35                         
Loden 442             ;Cen  ;11 39 58.0 -62 13 08  ;***  ;   25.0 ;                                                  
NGC 3909              ;Cen  ;11 50 06.0 -48 12 36  ;***  ;   20.4 ;ESO 217-8                                         
Loden 480             ;Cen  ;11 55 37.2 -58 23 24  ;***  ;   16.8 ;                                                  
NGC 4230              ;Cen  ;12 17 20.4 -55 07 12  ;***  ;   16.2 ;                                                  
NGC 4937              ;Cen  ;13 04 51.5 -47 13 06  ;***  ;    0.5 ;                                                  
ESO 132-5             ;Cen  ;13 19 32.0 -62 38 39  ;***  ;    7.0 ;                                                  
ESO 324-15            ;Cen  ;13 23 27.6 -41 52 48  ;***  ;   12.0 ;                                                  
Loden 821             ;Cen  ;13 24 14.4 -59 48 36  ;***  ;   26.4 ;                                                  
ESO 383-10            ;Cen  ;13 31 30.0 -35 03 56  ;***  ;    6.0 ;                                                  
Loden 848             ;Cen  ;13 34 22.8 -64 33 00  ;***  ;   27.0 ;                                                  
Loden 894             ;Cen  ;13 39 41.0 -64 19 12  ;***  ;   14.4 ;                                                  
Loden 991             ;Cen  ;13 45 16.1 -62 02 06  ;***  ;   13.2 ;                                                  
NGC 5284              ;Cen  ;13 46 24.5 -59 12 00  ;***  ;   25.2 ;                                                  
NGC 5299              ;Cen  ;13 50 25.7 -59 56 42  ;***  ;   13.2 ;                                                  
Loden 1095            ;Cen  ;13 53 36.5 -59 44 42  ;***  ;   15.0 ;                                                  
ESO 445-74            ;Cen  ;13 54 38.9 -31 57 00  ;***  ;   12.0 ;                                                  
BH 155                ;Cen  ;13 57 29.8 -59 34 48  ;***  ;   15.6 ;                                                  
Lynga 16              ;Cen  ;13 58 02.0 -61 46 35  ;***  ;    4.5 ;C 1354-615, IRAS 13544-6132                       
Loden 1101            ;Cen  ;13 58 10.1 -61 45 00  ;***  ;   18.6 ;                                                  
Loden 1177            ;Cen  ;13 59 06.0 -57 52 30  ;***  ;   16.8 ;                                                  
Loden 1171            ;Cen  ;13 59 22.1 -58 23 02  ;***  ;   17.4 ;                                                  
Loden 1152            ;Cen  ;13 59 27.6 -59 19 48  ;***  ;   17.4 ;                                                  
Loden 1202            ;Cen  ;14 04 23.8 -58 42 00  ;***  ;   13.2 ;                                                  
Loden 1289            ;Cen  ;14 14 13.2 -57 51 36  ;***  ;   16.8 ;                                                  
Loden 1282            ;Cen  ;14 15 50.4 -59 07 12  ;***  ;   16.2 ;                                                  
ESO 175-6             ;Cen  ;14 18 46.8 -56 53 24  ;***  ;   23.4 ;Ferrero 40                                        
Loden 1378            ;Cen  ;14 30 07.2 -58 12 54  ;***  ;   18.0 ;                                                  
Turner 7              ;Cen  ;14 32 14.9 -56 53 42  ;***  ;   13.8 ;                                                  
IC 1023               ;Cen  ;14 32 20.4 -35 49 12  ;***  ;   16.2 ;                                                  
Loden 1373            ;Cen  ;14 41 34.8 -62 53 24  ;***  ;   20.4 ;                                                  
NGC 7055              ;Cep  ;21 19 33.6 +57 36 25  ;***  ;   12.0 ;                                                  
Collinder 471         ;Cep  ;22 06 44.9 +71 58 30  ;***  ;   16.8 ;                                                  
NGC 7352              ;Cep  ;22 39 43.0 +57 23 42  ;***  ;    9.0 ;                                                  
NGC 7708              ;Cep  ;23 36 18.0 +72 51 04  ;***  ;   23.4 ;                                                  
NGC 7826              ;Cet  ;00 05 17.0 -20 41 30  ;***  ;   20.0 ;                                                  
Loden 995             ;Cir  ;13 54 18.0 -64 57 00  ;***  ;   19.8 ;                                                  
Loden 1002            ;Cir  ;13 54 36.0 -65 20 06  ;***  ;   16.8 ;                                                  
NGC 5359              ;Cir  ;14 00 00.0 -70 24 00  ;***  ;   20.4 ;                                                  
Ruprecht 110          ;Cir  ;14 05 38.4 -67 28 30  ;***  ;   22.2 ;                                                  
ESO 97-15             ;Cir  ;14 15 25.2 -64 37 48  ;***  ;   14.4 ;                                                  
Loden 1409            ;Cir  ;14 44 40.1 -61 42 54  ;***  ;   31.2 ;                                                  
Loden 2045            ;Cir  ;15 10 33.6 -58 46 12  ;***  ;   19.2 ;                                                  
NGC 2664              ;Cnc  ;08 47 22.1 +12 36 00  ;***  ;   22.8 ;                                                  
NGC 2678              ;Cnc  ;08 50 02.0 +11 20 18  ;***  ;   13.0 ;                                                  
NGC 1891              ;Col  ;05 21 25.0 -35 44 24  ;***  ;   15.0 ;                                                  
NGC 1963              ;Col  ;05 32 09.6 -36 22 48  ;***  ;   20.4 ;                                                  
ESO 363-16            ;Col  ;05 42 50.0 -33 58 10  ;***  ;   20.0 ;                                                  
NGC 2061              ;Col  ;05 44 06.0 -33 56 06  ;***  ;   18.0 ;                                                  
ESO 424-25            ;Col  ;05 49 49.0 -32 28 18  ;***  ;    9.0 ;                                                  
ESO 425-6             ;Col  ;06 04 51.6 -29 11 06  ;***  ;   13.8 ;                                                  
Latham 1              ;Com  ;13 11 14.9 +30 31 30  ;***  ;   54.6 ;                                                  
ESO 335-5             ;CrA  ;18 16 12.0 -41 03 00  ;***  ;   10.8 ;                                                  
ESO 281-24            ;CrA  ;18 39 59.3 -44 11 24  ;***  ;   13.2 ;                                                  
ESO 282-26            ;CrA  ;19 13 44.4 -42 37 48  ;***  ;   23.4 ;                                                  
NGC 3520              ;Crt  ;11 07 08.0 -18 01 24  ;***  ;    3.0 ;                                                  
ESO 570-12            ;Crt  ;11 12 10.8 -21 20 24  ;***  ;   30.0 ;                                                  
Ruprecht 103          ;Cru  ;12 16 55.2 -58 25 01  ;***  ;   13.8 ;                                                  
Collinder 257         ;Cru  ;12 24 46.0 -60 53 12  ;***  ;    5.0 ;                                                  
Ruprecht 165          ;Cru  ;12 28 26.4 -56 25 48  ;***  ;   10.8 ;                                                  
Hogg 14               ;Cru  ;12 28 39.0 -59 48 00  ;***  ;    6.5 ;                                                  
Loden 670             ;Cru  ;12 42 49.0 -63 03 19  ;***  ;   33.0 ;                                                  
Mandushev 1           ;Cyg  ;19 42 00.0 +29 27 08  ;***  ;   13.0 ;                                                  
Ramakers 18           ;Cyg  ;19 51 12.0 +30 07 00  ;***  ;   16.0 ;Meerschaum Pipe                                   
Ramakers 20           ;Cyg  ;19 53 00.0 +47 16 00  ;***  ;  100.0 ;Vultus Irrisoire                                  
Vultus Irrisorie      ;Cyg  ;19 53 00.0 +47 16 00  ;***  ;   84.0 ;                                                  
NGC 6847              ;Cyg  ;19 56 37.0 +30 12 48  ;***  ;   20.0 ;                                                  
