Srcs: WEBDA Lit, Bukowiecki, SAI, Malysheva, Tadross, MWSC, Froebrich, Dambis, Lata, Buckner+13,14 Loktin, XHIP, Pleiades (Mamajek HP),
Hyades (OCs BOOK), Rup I, Rup III, Melnik95,09

Cluster Name                           dist     EB-V   log t    Authors                          Year  Reference

2MASS-GC01                             3370                     Baumgart                         2021, website
2MASS-GC02                             5500                     Baumgart                         2021, website
AB Doradus                               29.3                   ANDERSON E., FRANCIS C.          2012, ASTRON. LETTERS 38, 331A (XHIP)
FSR 1339                               4167     0.63    8.990   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 134                                2478     1.65    7.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 134                                3200             8.90    FROEBRICH ET AL.                 2010, MNRAS 409, 1281
FSR 1342                               3628     0.94    8.290   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1345                               2330     1.75    6.950   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1346                               3047     0.25    9.200   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1347                               1400             9.00    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1347                               2173     0.98    8.020   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1347                               2450     1.09    8.80    GLUSHKOVA E.V., ET AL.           2010, PAZH, 36, 83
FSR 1347                               3000                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1350                               1608     0.83    8.600   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1351                               1579     0.65    8.200   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1352                               1508     0.65    8.280   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1354                               1600             8.60    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1354                               2200                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1357                               2361     0.73    8.595   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1358                               2100                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1358                               2100             8.60    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 136                                4860     0.21    9.350   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1360                               1743     0.29    8.985   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1361                               1500             9.00    FROEBRICH ET AL.                 2010, MNRAS 409, 1281
FSR 1361                               1800             9.00    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1361                               2234     0.79    8.490   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1361                               2800                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1362                               1700             9.00    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1362                               1900                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1363                               2391     0.33    8.500   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1365                               1884     0.70    9.010   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1366                               1513     0.31    8.700   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1367                               2076     0.35    8.980   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1371                               3801     0.31    9.350   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1375                               2300             9.10    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1375                               2300                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1377                               4640     0.52    8.845   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1378                               1562     0.87    8.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1378                               2230     1.21    8.80    GLUSHKOVA E.V., ET AL.           2010, PAZH, 36, 83
FSR 1379                               1951     1.08    7.450   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 138                                2500                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 138                                3100             9.10    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1380                               2290     1.28    8.65    GLUSHKOVA E.V., ET AL.           2010, PAZH, 36, 83
FSR 1380                               3112     1.04    8.990   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1381                               2795     0.83    8.505   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1382                               1811     0.50    9.100   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1383                               2434     0.83    9.120   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1384                               2000                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1384                               2100             9.20    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1387                               1258     0.63    9.020   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1387                               2310     1.19    8.80    GLUSHKOVA E.V., ET AL.           2010, PAZH, 36, 83
FSR 1387                               4600                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1387                               4700             8.80    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1388                               3000                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1388                               3200             9.20    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1389                               3508     0.85    8.595   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1390                               2397     1.25    8.300   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1391                               1753     0.56    8.400   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1393                               3500                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1393                               3800             8.90    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1397                               2068     1.31    7.780   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1399                               2100                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1399                               2600             9.30    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1399                               3308     1.25    8.300   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1399                               6800             8.40    FROEBRICH ET AL.                 2010, MNRAS 409, 1281
FSR 14                                  834     0.92    9.100   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 140                                4011     0.10    9.450   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1400                               2290     0.63    9.035   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1401                               4178     1.23    6.750   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1402                               2550     0.08    9.60    GLUSHKOVA E.V., ET AL.           2010, PAZH, 36, 83
FSR 1402                               2889     1.85    7.395   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1405                               3860     0.21    9.500   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1406                               3208     1.46    6.900   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1407                               3860     0.21    9.300   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1411                                912     0.63    7.500   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1412                               2644     1.21    7.050   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1413                               2255     0.42    8.950   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1415                               3473     1.98    9.250   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1415                               3530     1.87    9.25    GLUSHKOVA E.V., ET AL.           2010, PAZH, 36, 83
FSR 1415                               9100                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1415                               9300             9.10    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1415                              10000             9.40    FROEBRICH ET AL.                 2010, MNRAS 409, 1281
FSR 1416                               1649     0.67    9.130   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1417                               2210     0.83    8.510   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1418                               1249     0.52    8.850   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1419                               7746     0.79    8.375   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 142                                2669     1.15    6.400   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1420                               2400                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1420                               3100             9.10    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1421                               1268     0.73    8.300   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1424                               1100             7.30    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1424                               1829     1.21    8.400   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1424                               2800                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1429                               3371     0.81    8.200   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 143                                3065     0.83    8.820   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1430                               2840     2.50    8.85    GLUSHKOVA E.V., ET AL.           2010, PAZH, 36, 83
FSR 1430                               6737     2.67    8.500   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1430                               7000                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1430                               7100             8.50    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1431                               2343     0.47    9.080   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1432                               1904     1.25    8.100   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1433                               1300             7.50    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1433                               3000                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1434                               1367     0.63    9.035   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1435                               1130     1.06    9.75    GLUSHKOVA E.V., ET AL.           2010, PAZH, 36, 83
FSR 1435                               1296     2.60    6.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1436                               1580     0.39    8.00    GLUSHKOVA E.V., ET AL.           2010, PAZH, 36, 83
FSR 1436                               2000             7.00    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1436                               3400                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 144                                1700             7.80    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 144                                1900                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1440                               1631     0.52    8.760   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1441                               1659     0.63    8.730   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1442                               1186     1.10    9.190   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1443                               1864     0.46    8.770   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1444                               2400             9.00    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1444                               3400                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1446                               2434     0.83    9.100   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1447                               2549     0.83    9.100   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1449                               2154     0.42    9.095   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 145                                1607     0.25    9.185   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1450                               1379     1.56    8.400   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1450                               5370     1.62    9.10    GLUSHKOVA E.V., ET AL.           2010, PAZH, 36, 83
FSR 1450                               5800                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1450                               5900             8.80    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1451                               1470     0.51    8.500   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1452                               2070     0.38    9.050   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1452                               2100             8.50    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1452                               3000                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1454                               2187     0.63    8.900   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1454                               6200     0.57    9.15    GLUSHKOVA E.V., ET AL.           2010, PAZH, 36, 83
FSR 1458                               1500             9.20    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1458                               2100                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1459                               1759     0.23    9.350   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1460                               1285     1.04    8.835   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1460                               1800     1.31    9.30    GLUSHKOVA E.V., ET AL.           2010, PAZH, 36, 83
FSR 1460                               3500             9.00    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1460                               3700                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1463                               4500             9.00    FROEBRICH ET AL.                 2010, MNRAS 409, 1281
FSR 1464                               2220     0.83    8.495   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1465                               1703     0.23    9.310   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1467                               1606     0.38    9.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1468                               1005     0.90    8.300   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1470                               1055     0.42    8.630   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1471                               1966     1.03    8.820   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1472                               2400                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1472                               2500             8.90    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1474                               1079     1.04    7.525   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1475                               2662     0.42    9.150   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1478                               1976     0.69    8.610   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1479                               4055     0.19    9.200   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 148                                 941     1.66    6.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1480                               2000             9.30    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1480                               2100                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1481                               4104     0.42    9.120   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1484                               1847     0.83    8.645   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1485                               1187     0.40    8.880   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1487                                400             7.90    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1487                               1200                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1489                               1211     0.73    9.015   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 149                                5341     1.12    8.830   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1491                               2234     0.79    9.005   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1496                               2290     0.63    9.350   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1498                               4936     0.73    6.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1500                               1380     0.56    8.580   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1502                               1500             9.00    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1502                               2300                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1507                               1445     0.63    8.800   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1508                               2700             7.90    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1508                               2900                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1509                               2080     1.17    8.75    GLUSHKOVA E.V., ET AL.           2010, PAZH, 36, 83
FSR 1509                               2209     1.18    8.850   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 151                                2451     0.17    9.400   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1511                               2473     0.10    9.415   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1513                               1685     0.52    8.920   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1514                               2754     0.00    9.500   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1515                               2600                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1515                               2800             9.20    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1517                               6643     0.90    8.810   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1518                               1819     0.63    7.600   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1520                               1700             9.40    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1520                               2400                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1521                               1499     0.38    8.705   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1521                               3980     0.90    9.45    GLUSHKOVA E.V., ET AL.           2010, PAZH, 36, 83
FSR 1521                               4000             9.45    FROEBRICH ET AL.                 2010, MNRAS 409, 1281
FSR 1521                               5800                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1521                               5900             9.20    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1522                               1800             8.80    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1522                               2400                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1524                               2541     0.85    8.750   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1526                               2100             9.00    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1526                               2500                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1527                               3258     1.04    6.200   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1530                               4153     0.96    8.800   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1530                               6500                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1530                               6600             6.80    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1531                               2710     1.04    6.600   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1533                               2100             8.50    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1533                               2100                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1534                               2300             8.30    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1534                               2700                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1535                               1602     0.40    8.865   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1536                               4569     0.63    9.100   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1537                               2700                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1537                               2700             9.00    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 154                                2790     0.70    9.05    GLUSHKOVA E.V., ET AL.           2010, PAZH, 36, 83
FSR 154                                3200                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 154                                3900             8.60    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 154                                4394     1.51    7.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1540                               1700             8.20    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1540                               1900                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1541                               3575     0.10    9.400   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1543                               2662     0.23    9.400   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1544                               1300             8.70    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1544                               1400                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1545                               1400                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1545                               1500             7.50    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1551                               1300             7.30    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1551                               1800                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1554                               1513     0.31    9.050   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1555                               3500             9.40    FROEBRICH ET AL.                 2010, MNRAS 409, 1281
FSR 1555                               4790     0.76    9.25    GLUSHKOVA E.V., ET AL.           2010, PAZH, 36, 83
FSR 1556                               3708     0.48    8.900   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1558                               2100             8.00    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1558                               2200                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1559                               3300             9.40    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1559                               5600                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1560                               3001     0.35    9.135   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1561                               3280     0.38    9.115   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1562                               2200             8.60    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1562                               2300                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1564                               1700             8.60    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1564                               2100                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1565                               1900                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1565                               2000             9.70    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1566                               1537     0.21    9.430   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1568                               1871     0.13    9.350   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1569                               3336     0.42    9.200   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 157                                1100             6.80    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 157                                2200                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1572                               3494     0.10    9.350   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1573                               2020     0.23    9.300   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1574                               1389     0.27    9.250   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1575                               1800             7.90    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1575                               2000                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1576                               1000             7.70    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1576                               3500                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1577                               1561     0.10    9.600   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1579                               1000     0.00    9.500   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 158                                2769     1.21    8.505   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 158                                3600     1.17    8.30    GLUSHKOVA E.V., ET AL.           2010, PAZH, 36, 83
FSR 1580                               2511     0.63    8.900   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1582                               1800             7.90    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1582                               2000                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1583                               1639     0.40    8.600   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1584                               2241     0.46    8.875   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1585                               4465     0.47    9.145   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1586                               2400             8.90    FROEBRICH ET AL.                 2010, MNRAS 409, 1281
FSR 1586                               2420     1.60    8.65    GLUSHKOVA E.V., ET AL.           2010, PAZH, 36, 83
FSR 1586                               2863     1.60    8.700   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1586                               4100             8.90    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1586                               4400                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1587                               1500                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1587                               2000             8.30    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1588                               3800                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1588                               4000             8.90    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1589                               1100                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1589                               1600             7.70    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1590                               1700             9.20    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1590                               1800                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1591                               1538     0.82    8.700   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1591                               5600                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1591                               5800             8.70    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1593                               1825     0.29    9.455   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1595                               4416     0.85    6.350   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1596                               2200             8.90    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1596                               3200                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1597                               2879     0.32    9.300   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1598                               3575     0.10    9.700   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 160                                2289     0.94    8.690   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 160                                7520     1.42    8.95    GLUSHKOVA E.V., ET AL.           2010, PAZH, 36, 83
FSR 1600                               3300             9.00    BUCKNER ET AL.                   2014, MNRAS 444, 290
FSR 1600                               3800                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
FSR 1602                               3330     0.58    9.100   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1604                               3414     0.10    9.600   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
FSR 1605                               4430     0.83    9.500   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
