Srcs: WEBDA Lit, Bukowiecki, SAI, Malysheva, Tadross, MWSC, Froebrich, Dambis, Lata, Buckner+13,14 Loktin, XHIP, Pleiades (Mamajek HP),
Hyades (OCs BOOK), Rup I, Rup III, Melnik95,09

Cluster Name                           dist     EB-V   log t    Authors                          Year  Reference

2MASS-GC01                             3370                     Baumgart                         2021, website
2MASS-GC02                             5500                     Baumgart                         2021, website
AB Doradus                               29.3                   ANDERSON E., FRANCIS C.          2012, ASTRON. LETTERS 38, 331A (XHIP)
ASCC 20                                 394     0.06    7.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 21                                 324.2                   ANDERSON E., FRANCIS C.          2012, ASTRON. LETTERS 38, 331A (XHIP)
ASCC 21                                 379     0.03    7.110   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 22                                 771     0.20    8.455   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 23                                 600     0.10    8.485   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 24                                 381     0.15    7.300   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 25                                1989     0.33    9.100   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 26                                 981     0.13    8.150   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 27                                1159     0.09    8.700   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 28                                 946     0.06    8.490   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 29                                 806.8                   ANDERSON E., FRANCIS C.          2012, ASTRON. LETTERS 38, 331A (XHIP)
ASCC 29                                 826     0.05    8.060   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 3                                 1550     0.25    7.729   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 30                                 814     0.15    8.245   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 31                                 747     0.10    8.400   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 32                                 767     0.08    8.215   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 33                                 704     0.04    7.700   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 34                                 477     0.02    8.530   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 35                                 787     0.06    8.480   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 36                                 813     0.00    8.330   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 37                                1571     0.13    8.730   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 38                                 569     0.07    8.600   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 39                                1609     0.21    8.710   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 4                                  550     0.25    8.650   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 40                                3113     0.42    8.800   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 41                                 397     0.02    8.700   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 42                                 792     0.17    8.150   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 43                                1005     0.06    8.215   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 44                                 553     0.27    7.900   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 45                                3001     0.60    7.250   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 46                                 899     0.10    7.800   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 47                                 780     0.13    7.880   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 48                                 550     0.00    9.185   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 49                                 629     0.02    7.895   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 5                                  523     0.02    7.780   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 50                                 846     0.23    7.800   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 51                                 496     0.10    8.540   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 52                                2200     0.90    7.950   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 53                                1786     0.75    8.000   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
ASCC 54                                1751     0.10    8.865   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
