Problems:
   some clusters have equal values for Kharchenko+ 2013 and 2016DAML
   some clusters have equal values for 2017AstBu..72..257L and 2016DAML
   some clusters are known by more than one name in this file

2MASS-GC 1               ; BDCC                ; 6.80 ; 10.10
ASCC 107                 ; Kharchenko+ 2013    ; 0.200;  8.045
ASCC 108                 ; 2016DAML            ; 0.05 ;  8.64
ASCC 108                 ; 2019 Bossini        ; 0.110;  7.911
ASCC 108                 ; 2020A&A...640A...1C ; 0.106;  8.03
ASCC 108                 ; Dias 2021           ; 0.150;  8.334
ASCC 108                 ; Kharchenko+ 2013    ; 0.050;  8.425
ASCC 108                 ; Tarricq 2021        ;      ;  8.04
ASCC 11                  ; 2016DAML            ; 0.15 ;  8.61
ASCC 11                  ; 2020A&A...640A...1C ; 0.188;  8.39
ASCC 11                  ; Dias 2021           ; 0.296;  8.660
ASCC 11                  ; Kharchenko+ 2013    ; 0.271;  8.345
ASCC 11                  ; Tarricq 2021        ;      ;  8.42
ASCC 110                 ; 2016DAML            ; 0.15 ;  8.75
ASCC 110                 ; 2020A&A...640A...1C ; 0.234;  8.90
ASCC 110                 ; Dias 2021           ; 0.396;  8.795
ASCC 110                 ; Kharchenko+ 2013    ; 0.150;  8.550
ASCC 110                 ; Tarricq 2021        ;      ;  8.94
ASCC 111                 ; 2016DAML            ; 0.30 ;  7.05
ASCC 111                 ; 2020A&A...640A...1C ; 0.122;  8.44
ASCC 111                 ; Dias 2021           ; 0.195;  8.507
ASCC 111                 ; Kharchenko+ 2013    ; 0.385;  6.650
ASCC 111                 ; Tarricq 2021        ;      ;  8.42
ASCC 112                 ; 2016DAML            ; 0.08 ;  8.15
ASCC 112                 ; 2017AstBu..72..257L ; 0.074;  8.283
ASCC 112                 ; 2019 Bossini        ; 0.099;  8.182
ASCC 112                 ; 2019 Bossini        ; 0.101;  8.179
ASCC 112                 ; Kharchenko+ 2013    ; 0.079;  8.150
ASCC 113                 ; 2016DAML            ; 0.00 ;  8.14
ASCC 113                 ; 2019 Bossini        ; 0.030;  8.629
ASCC 113                 ; 2020A&A...640A...1C ; 0.041;  8.46
ASCC 113                 ; Dias 2021           ; 0.090;  8.455
ASCC 113                 ; Kharchenko+ 2013    ; 0.000;  7.930
ASCC 113                 ; Tarricq 2021        ;      ;  8.48
ASCC 114                 ; 2016DAML            ; 0.26 ;  7.75
ASCC 114                 ; 2019 Bossini        ; 0.290;  7.746
ASCC 114                 ; 2020A&A...640A...1C ; 0.288;  7.68
ASCC 114                 ; Dias 2021           ; 0.392;  7.632
ASCC 114                 ; Kharchenko+ 2013    ; 0.260;  7.750
ASCC 115                 ; 2016DAML            ; 0.15 ;  8.59
ASCC 115                 ; 2019 Bossini        ; 0.203;  8.022
ASCC 115                 ; 2020A&A...640A...1C ; 0.225;  8.12
ASCC 115                 ; Dias 2021           ; 0.305;  8.389
ASCC 115                 ; Kharchenko+ 2013    ; 0.150;  8.350
ASCC 116                 ; 2016DAML            ; 0.51 ;  7.03
ASCC 116                 ; Kharchenko+ 2013    ; 0.510;  7.950
ASCC 117                 ; 2016DAML            ; 0.30 ;  6.67
ASCC 117                 ; Kharchenko+ 2013    ; 0.175;  6.225
ASCC 118                 ; 2016DAML            ; 0.30 ;  7.02
ASCC 118                 ; 2017AstBu..72..257L ; 0.346;  7.423
ASCC 118                 ; Kharchenko+ 2013    ; 0.250;  7.870
ASCC 12                  ; 2016DAML            ; 0.15 ;  8.42
ASCC 12                  ; 2020A&A...640A...1C ; 0.219;  7.97
ASCC 12                  ; Dias 2021           ; 0.351;  8.356
ASCC 12                  ; Kharchenko+ 2013    ; 0.150;  8.630
ASCC 12                  ; Tarricq 2021        ;      ;  7.98
ASCC 123                 ; 2016DAML            ; 0.10 ;  8.41
ASCC 123                 ; 2020A&A...640A...1C ; 0.000;  7.65
ASCC 123                 ; Dias 2021           ; 0.099;  7.793
ASCC 123                 ; Kerr 2021           ;      ;  7.695
ASCC 123                 ; Kharchenko+ 2013    ; 0.150;  8.191
ASCC 123                 ; Tarricq 2021        ;      ;  7.65
ASCC 124                 ; 2016DAML            ; 0.15 ;  8.48
ASCC 124                 ; 2017AstBu..72..257L ; 0.150;  8.480
ASCC 124                 ; 2019 Bossini        ; 0.160;  8.125
ASCC 124                 ; 2019 Bossini        ; 0.179;  7.974
ASCC 124                 ; Kharchenko+ 2013    ; 0.179;  8.195
ASCC 125                 ; 2016DAML            ; 0.71 ;  7.01
ASCC 125                 ; Kharchenko+ 2013    ; 0.700;  6.700
ASCC 126                 ; 2016DAML            ; 0.10 ;  7.26
ASCC 126                 ; Kharchenko+ 2013    ; 0.100;  7.451
