Problems:
   some clusters have equal values for Kharchenko+ 2013 and 2016DAML
   some clusters have equal values for 2017AstBu..72..257L and 2016DAML
   some clusters are known by more than one name in this file

2MASS-GC 1               ; BDCC                ; 6.80 ; 10.10
ESO 311-21               ; 2016DAML            ; 0.49 ; 10.10
ESO 311-21               ; 2020A&A...640A...1C ; 0.572;  9.41
ESO 311-21               ; Kharchenko+ 2013    ; 0.791;  9.300
ESO 311-21               ; Tarricq 2021        ;      ;  9.41
ESO 312-3                ; 2016DAML            ; 0.52 ;  8.90
ESO 312-3                ; 2020A&A...640A...1C ; 0.650;  7.94
ESO 312-3                ; Kharchenko+ 2013    ; 0.521;  8.665
ESO 312-4                ; 2016DAML            ; 0.49 ;  8.75
ESO 312-4                ; 2020A&A...640A...1C ; 0.644;  7.65
ESO 312-4                ; Dias 2021           ; 0.732;  8.018
ESO 312-4                ; Kharchenko+ 2013    ; 1.041;  8.300
ESO 313-3                ; 2016DAML            ; 0.92 ;  8.85
ESO 313-3                ; 2019 Claria         ; 0.80 ;  8.60
ESO 313-3                ; Kharchenko+ 2013    ; 1.083;  8.600
ESO 332-13               ; 2016DAML            ; 0.562;  6.820
ESO 332-13               ; Dias 2021           ; 0.445;  6.840
ESO 332-13               ; Kharchenko+ 2013    ; 0.562;  6.820
ESO 332-22               ; 2016DAML            ; 1.041;  7.995
ESO 332-22               ; Kharchenko+ 2013    ; 1.041;  7.995
ESO 332-8                ; 2016DAML            ; 0.20 ;  8.17
ESO 332-8                ; Dias 2021           ; 0.398;  6.911
ESO 332-8                ; Kharchenko+ 2013    ; 0.239;  8.170
ESO 367-10               ; 2016DAML            ; 0.916;  8.315
ESO 367-10               ; 2017AstBu..72..257L ; 0.321;  8.930
ESO 367-10               ; Kharchenko+ 2013    ; 0.916;  8.315
ESO 368-11               ; 2016DAML            ; 0.06 ;  9.00
ESO 368-11               ; 2017AstBu..72..257L ; 0.670;  7.890
ESO 368-11               ; 2019 Bossini        ; 0.264;  9.011
ESO 368-11               ; 2020A&A...640A...1C ; 0.347;  8.77
ESO 368-11               ; Dias 2021           ; 0.560;  8.571
ESO 368-11               ; Kharchenko+ 2013    ; 0.073;  8.945
ESO 368-11               ; Tarricq 2021        ;      ;  8.84
ESO 368-14               ; 2016DAML            ; 1.04 ;  8.80
ESO 368-14               ; 2017AstBu..72..257L ; 0.970;  6.820
ESO 368-14               ; 2020A&A...640A...1C ; 1.028;  7.97
ESO 368-14               ; Dias 2021           ; 1.068;  8.236
ESO 368-14               ; Kharchenko+ 2013    ; 0.416;  8.650
ESO 368-14               ; Tarricq 2021        ;      ;  8.12
ESO 370-17               ; 2016DAML            ; 0.458;  9.000
ESO 370-17               ; Kharchenko+ 2013    ; 0.458;  9.000
ESO 371-25               ; 2016DAML            ; 0.27 ;  9.55
ESO 371-25               ; 2020A&A...640A...1C ; 0.375;  9.31
ESO 371-25               ; Dias 2021           ; 0.472;  9.434
ESO 371-25               ; Kharchenko+ 2013    ; 0.729;  9.055
ESO 371-25               ; Tarricq 2021        ;      ;  9.44
ESO 392-13               ; 2016DAML            ; 0.750;  7.950
ESO 392-13               ; Dias 2021           ; 0.615;  8.656
ESO 392-13               ; Kharchenko+ 2013    ; 0.750;  7.950
ESO 393-15               ; 2016DAML            ; 1.666;  9.150
ESO 393-15               ; Kharchenko+ 2013    ; 1.666;  9.150
ESO 397-1                ; 2016DAML            ; 0.19 ;  9.10
ESO 397-1                ; 2017AstBu..72..257L ; 0.102;  9.310
ESO 397-1                ; Kharchenko+ 2013    ; 0.874;  8.245
ESO 429-2                ; 2016DAML            ; 0.90 ;  8.60
ESO 429-2                ; 2017AstBu..72..257L ; 0.050;  8.930
ESO 429-2                ; Dias 2021           ; 0.398;  7.113
ESO 429-2                ; Kharchenko+ 2013    ; 0.416;  6.900
ESO 429-5                ; 2016DAML            ; 0.81 ;  9.10
ESO 429-5                ; Kharchenko+ 2013    ; 0.937;  9.090
ESO 430-18               ; 2016DAML            ; 0.00 ;  9.05
ESO 430-18               ; Kharchenko+ 2013    ; 0.000;  8.875
ESO 430-9                ; 2016DAML            ; 0.208;  8.500
ESO 430-9                ; Kharchenko+ 2013    ; 0.208;  8.500
ESO 452-11               ; Baumgart 2021       ; 0.46 ; 10.0414
ESO 452-11               ; Kharchenko+ 2013    ; 0.458; 10.100
ESO 456-29               ; 2016DAML            ; 1.582;  9.200
ESO 456-29               ; Kharchenko+ 2013    ; 1.582;  9.200
ESO 456-38               ; 2019 Ortolani       ; 0.81 ; 10.104
ESO 494-9                ; 2016DAML            ; 0.42 ;  7.80
ESO 494-9                ; 2017AstBu..72..257L ; 0.227;  8.990
ESO 494-9                ; Kharchenko+ 2013    ; 0.312;  8.735
ESO 518-3                ; 2016DAML            ; 0.369;  9.170
ESO 518-3                ; 2020A&A...640A...1C ; 0.284;  9.15
ESO 518-3                ; Dias 2021           ; 0.245;  9.244
ESO 518-3                ; Kharchenko+ 2013    ; 0.369;  9.170
ESO 518-3                ; Tarricq 2021        ;      ;  9.19
ESO 521-38               ; 2016DAML            ; 0.22 ;  8.10
ESO 521-38               ; Kharchenko+ 2013    ; 0.416;  8.395
ESO 559-13               ; 2016DAML            ; 0.25 ;  9.00
ESO 559-13               ; 2017AstBu..72..257L ; 0.148;  8.760
ESO 559-13               ; 2020A&A...640A...1C ; 0.272;  8.79
ESO 559-13               ; Dias 2021           ; 0.347;  8.762
ESO 559-13               ; Kharchenko+ 2013    ; 0.312;  8.905
ESO 559-13               ; Tarricq 2021        ;      ;  8.79
ESO 589-26               ; 2016DAML            ; 1.145;  6.500
ESO 589-26               ; 2020A&A...640A...1C ; 0.984;  8.30
ESO 589-26               ; Dias 2021           ; 1.024;  8.397
ESO 589-26               ; Kharchenko+ 2013    ; 1.145;  6.500
ESO 64-5                 ; 2016DAML            ; 0.416;  7.885
ESO 64-5                 ; Kharchenko+ 2013    ; 0.416;  7.885
ESO 92-18                ; 2016DAML            ; 0.500;  9.024
ESO 92-18                ; 2017AstBu..72..257L ; 0.494;  9.031
ESO 92-18                ; 2020A&A...640A...1C ; 0.147;  9.46
ESO 92-18                ; Garro 2021 priv     ; 0.26 ; 10.00
ESO 92-18                ; Kharchenko+ 2013    ; 0.312;  9.150
ESO 92-5                 ; 2016DAML            ; 0.104;  9.300
ESO 92-5                 ; 2020A&A...640A...1C ; 0.053;  9.65
ESO 92-5                 ; Kharchenko+ 2013    ; 0.104;  9.300
ESO 92-5                 ; Tarricq 2021        ;      ;  9.66
ESO 93-8                 ; 2016DAML            ; 0.80 ;  9.74
ESO 93-8                 ; Kharchenko+ 2013    ; 0.625;  9.800
ESO 95-18                ; BDCC                ;      ;  6.50
Eagle D                  ; BDCC                ;      ;  6.40
Electryon                ; arXiv:2102.08263v1  ;      ;  6.60
Eps Hyi                  ; BDCC                ;      ;  7.65
Eri III                  ; BDCC                ; 0.02 ; 10.08
Escorial 25              ; BDCC                ;      ;  7.00
Eta Hor                  ; 2020Alessi          ;      ;  8.68
Eta Hor                  ; BDCC                ;      ;  7.65
Eta PsA                  ; 2020Alessi          ; 0.05 ;  8.06
Extended R CrA           ; BDCC                ;      ;  7.00
FSR 100                  ; 2016DAML            ; 2.186;  8.000
FSR 100                  ; Kharchenko+ 2013    ; 2.186;  8.000
FSR 101                  ; 2016DAML            ; 2.37 ;  8.950
FSR 101                  ; Kharchenko+ 2013    ; 2.186;  6.900
FSR 1025                 ; 2016DAML            ; 0.291;  8.600
FSR 1025                 ; 2020A&A...640A...1C ; 0.219;  8.75
FSR 1025                 ; Kharchenko+ 2013    ; 0.291;  8.600
FSR 1025                 ; Tarricq 2021        ;      ;  8.75
FSR 1032                 ; Kharchenko+ 2013    ; 1.728;  8.720
FSR 1033                 ; Kharchenko+ 2013    ; 0.729;  8.515
FSR 1051                 ; 2016DAML            ; 0.437;  8.790
FSR 1051                 ; 2020A&A...640A...1C ; 0.450;  8.41
FSR 1051                 ; Dias 2021           ; 0.548;  8.635
FSR 1051                 ; Kharchenko+ 2013    ; 0.437;  8.790
FSR 1051                 ; Tarricq 2021        ;      ;  8.45
FSR 1063                 ; 2016DAML            ; 0.500;  8.860
FSR 1063                 ; 2019 Bossini        ; 1.570;  8.403
FSR 1063                 ; 2020A&A...640A...1C ; 0.553;  8.04
FSR 1063                 ; Dias 2021           ; 0.708;  8.272
FSR 1063                 ; Kharchenko+ 2013    ; 0.500;  8.860
FSR 1063                 ; Tarricq 2021        ;      ;  8.13
FSR 1077                 ; 2016DAML            ; 0.416;  8.935
FSR 1077                 ; Kharchenko+ 2013    ; 0.416;  8.935
FSR 1083                 ; 2020A&A...640A...1C ; 0.134;  9.30
FSR 1083                 ; Dias 2021           ; 0.120;  9.542
FSR 1083                 ; Kharchenko+ 2013    ; 0.791;  8.810
FSR 1083                 ; Tarricq 2021        ;      ;  9.30
FSR 1085                 ; 2016DAML            ; 0.079;  8.735
FSR 1085                 ; 2019 Bossini        ; 0.144;  7.825
FSR 1085                 ; 2020A&A...640A...1C ; 0.191;  7.76
FSR 1085                 ; Dias 2021           ; 0.330;  7.931
FSR 1085                 ; Kharchenko+ 2013    ; 0.079;  8.735
FSR 1085                 ; Tarricq 2021        ;      ;  7.80
FSR 1100                 ; Kharchenko+ 2013    ; 0.250;  8.685
FSR 1113                 ; 2016DAML            ; 0.562;  8.300
FSR 1113                 ; 2020A&A...640A...1C ; 0.044;  9.44
FSR 1113                 ; Dias 2021           ; 0.163;  9.343
FSR 1113                 ; Kharchenko+ 2013    ; 0.562;  8.300
FSR 1113                 ; Tarricq 2021        ;      ;  9.46
FSR 1115                 ; Kharchenko+ 2013    ; 2.353;  6.900
FSR 1117                 ; 2020A&A...640A...1C ; 0.475;  7.19
FSR 1117                 ; Kharchenko+ 2013    ; 0.895;  7.500
FSR 1120                 ; Kharchenko+ 2013    ; 3.123;  7.300
FSR 1125                 ; 2020A&A...640A...1C ; 0.703;  8.08
FSR 1125                 ; Dias 2021           ; 0.549;  9.174
FSR 1125                 ; Kharchenko+ 2013    ; 0.833;  7.600
FSR 1125                 ; Tarricq 2021        ;      ;  8.32
FSR 1129                 ; Kharchenko+ 2013    ; 0.708;  8.385
FSR 1144                 ; 2016DAML            ; 0.312;  8.180
FSR 1144                 ; 2019 Bossini        ; 0.274;  7.611
FSR 1144                 ; 2020A&A...640A...1C ; 0.206;  7.81
FSR 1144                 ; Dias 2021           ; 0.304;  8.241
FSR 1144                 ; Kharchenko+ 2013    ; 0.312;  8.180
FSR 1149                 ; Kharchenko+ 2013    ; 0.729;  8.265
FSR 1150                 ; 2016DAML            ; 0.729;  8.800
FSR 1150                 ; 2020A&A...640A...1C ; 0.281;  8.85
FSR 1150                 ; Dias 2021           ; 0.354;  8.882
FSR 1150                 ; Kharchenko+ 2013    ; 0.729;  8.800
FSR 1153                 ; 2016DAML            ; 0.146;  8.065
FSR 1153                 ; Kharchenko+ 2013    ; 0.146;  8.065
FSR 1158                 ; Kharchenko+ 2013    ; 0.458;  8.555
FSR 1163                 ; 2016DAML            ; 0.437;  9.150
FSR 1163                 ; 2020A&A...640A...1C ; 0.328;  9.13
FSR 1163                 ; Dias 2021           ; 0.537;  8.936
FSR 1163                 ; Kharchenko+ 2013    ; 0.437;  9.150
FSR 1163                 ; Tarricq 2021        ;      ;  9.16
FSR 1169                 ; Kharchenko+ 2013    ; 0.625;  8.675
FSR 1170                 ; 2016DAML            ; 0.666;  8.755
FSR 1170                 ; 2020A&A...640A...1C ; 0.578;  8.29
FSR 1170                 ; Dias 2021           ; 0.751;  8.516
FSR 1170                 ; Kharchenko+ 2013    ; 0.666;  8.755
FSR 1170                 ; Tarricq 2021        ;      ;  8.44
FSR 1171                 ; 2016DAML            ; 0.65 ;  9.50
FSR 1171                 ; Kharchenko+ 2013    ; 0.729;  9.200
FSR 1172                 ; 2020A&A...640A...1C ; 0.534;  8.05
FSR 1172                 ; Dias 2021           ; 0.653;  8.172
FSR 1172                 ; Kharchenko+ 2013    ; 0.625;  8.800
FSR 1173                 ; Kharchenko+ 2013    ; 0.625;  8.640
FSR 1178                 ; Kharchenko+ 2013    ; 0.999;  6.650
FSR 1180                 ; 2020A&A...640A...1C ; 0.359;  8.74
FSR 1180                 ; Dias 2021           ; 0.515;  8.724
FSR 1180                 ; Kharchenko+ 2013    ; 0.000;  8.675
FSR 1180                 ; Tarricq 2021        ;      ;  8.77
FSR 1183                 ; 2016DAML            ; 0.416;  8.585
FSR 1183                 ; 2020A&A...640A...1C ; 0.125;  8.26
FSR 1183                 ; Kharchenko+ 2013    ; 0.416;  8.585
FSR 1184                 ; 2020Alessi          ; 1.87 ;  8.35
FSR 1184                 ; Kharchenko+ 2013    ; 1.874;  8.350
FSR 1185                 ; 2020Alessi          ; 1.08 ;  9.10
FSR 1185                 ; Kharchenko+ 2013    ; 1.083;  9.100
FSR 1207                 ; 2020A&A...640A...1C ; 0.403;  8.38
FSR 1207                 ; Kharchenko+ 2013    ; 0.541;  8.335
FSR 1209                 ; 2016DAML            ; 0.437;  9.120
FSR 1209                 ; 2020A&A...640A...1C ; 0.406;  8.45
FSR 1209                 ; Kharchenko+ 2013    ; 0.437;  9.120
FSR 1211                 ; 2019 Bossini        ; 0.092;  9.028
FSR 1211                 ; 2020A&A...640A...1C ; 0.059;  9.08
FSR 1211                 ; Dias 2021           ; 0.147;  9.125
FSR 1211                 ; Kharchenko+ 2013    ; 0.052;  9.135
FSR 1212                 ; 2020A&A...640A...1C ; 0.481;  9.14
FSR 1212                 ; Kharchenko+ 2013    ; 0.770;  8.650
FSR 1221                 ; Kharchenko+ 2013    ; 0.625;  8.500
FSR 1226                 ; Kharchenko+ 2013    ; 0.583;  8.870
FSR 1227                 ; 2016DAML            ; 0.416;  8.975
FSR 1227                 ; Kharchenko+ 2013    ; 0.416;  8.975
FSR 1228                 ; 2020Alessi          ; 0.69 ;  6.75
FSR 1228                 ; Kharchenko+ 2013    ; 0.687;  6.750
FSR 123                  ; 2016DAML            ; 1.249;  8.760
FSR 123                  ; 2020A&A...640A...1C ; 0.856;  9.01
FSR 123                  ; Dias 2021           ; 1.089;  8.782
FSR 123                  ; Kharchenko+ 2013    ; 1.249;  8.760
FSR 123                  ; Tarricq 2021        ;      ;  8.99
FSR 1234                 ; 2016DAML            ; 0.437;  8.440
FSR 1234                 ; Kharchenko+ 2013    ; 0.437;  8.440
FSR 124                  ; 2016DAML            ; 1.228;  8.750
FSR 124                  ; Kharchenko+ 2013    ; 1.228;  8.750
FSR 1243                 ; 2016DAML            ; 0.666;  6.700
FSR 1243                 ; Kharchenko+ 2013    ; 0.666;  6.700
FSR 1252                 ; 2019 Bossini        ; 1.334;  8.820
FSR 1252                 ; 2020A&A...640A...1C ; 0.281;  8.93
FSR 1252                 ; Dias 2021           ; 0.365;  8.976
FSR 1252                 ; Kharchenko+ 2013    ; 0.333;  8.995
FSR 1252                 ; Tarricq 2021        ;      ;  8.95
FSR 1253                 ; 2016DAML            ; 0.62 ;  8.40
FSR 1253                 ; 2020A&A...640A...1C ; 0.441;  8.47
FSR 1253                 ; Dias 2021           ; 0.695;  8.432
FSR 1253                 ; Kharchenko+ 2013    ; 0.645;  8.640
FSR 1253                 ; Tarricq 2021        ;      ;  8.52
FSR 1255                 ; 2016DAML            ; 0.000;  8.495
FSR 1255                 ; Kharchenko+ 2013    ; 0.000;  8.495
FSR 1260                 ; 2020A&A...640A...1C ; 0.222;  8.15
FSR 1260                 ; Dias 2021           ; 0.436;  7.915
FSR 1260                 ; Kharchenko+ 2013    ; 0.250;  8.300
FSR 1260                 ; Tarricq 2021        ;      ;  8.26
FSR 1268                 ; Kharchenko+ 2013    ; 0.021;  8.620
FSR 1270                 ; 2016DAML            ; 0.312;  8.700
FSR 1270                 ; Kharchenko+ 2013    ; 0.312;  8.700
FSR 1275                 ; 2016DAML            ; 0.60 ;  9.40
FSR 1275                 ; Kharchenko+ 2013    ; 0.666;  9.400
FSR 1284                 ; 2020A&A...640A...1C ; 0.263;  8.77
FSR 1284                 ; Dias 2021           ; 0.347;  8.891
FSR 1284                 ; Kharchenko+ 2013    ; 0.208;  9.145
FSR 1284                 ; Tarricq 2021        ;      ;  8.82
FSR 129                  ; Kharchenko+ 2013    ; 1.31 ;  8.480
FSR 1293                 ; 2020Alessi          ; 1.20 ;  9.01
FSR 1293                 ; Kharchenko+ 2013    ; 1.197;  9.005
FSR 1294                 ; 2016DAML            ; 0.208;  9.215
FSR 1294                 ; Kharchenko+ 2013    ; 0.208;  9.215
FSR 1297                 ; Kharchenko+ 2013    ; 1.666;  6.700
FSR 1298                 ; Kharchenko+ 2013    ; 0.625;  8.435
FSR 1304                 ; Kharchenko+ 2013    ; 0.104;  9.250
FSR 1315                 ; 2016DAML            ; 0.729;  8.700
FSR 1315                 ; 2020A&A...640A...1C ; 0.256;  7.91
FSR 1315                 ; Dias 2021           ; 0.432;  7.802
FSR 1315                 ; Kharchenko+ 2013    ; 0.729;  8.700
FSR 1315                 ; Tarricq 2021        ;      ;  7.94
FSR 1327                 ; Kharchenko+ 2013    ; 0.708;  8.510
FSR 133                  ; 2016DAML            ; 2.186;  8.415
FSR 133                  ; Kharchenko+ 2013    ; 2.186;  8.415
FSR 1335                 ; 2020A&A...640A...1C ; 0.322;  7.05
FSR 1335                 ; Dias 2021           ; 0.350;  8.234
FSR 1335                 ; Kharchenko+ 2013    ; 0.562;  9.205
FSR 1335                 ; Tarricq 2021        ;      ;  7.05
FSR 134                  ; 2016DAML            ; 1.645;  7.000
FSR 134                  ; Kharchenko+ 2013    ; 1.645;  7.000
FSR 1342                 ; 2020A&A...640A...1C ; 0.756;  7.41
FSR 1342                 ; Dias 2021           ; 0.770;  8.411
FSR 1342                 ; Kharchenko+ 2013    ; 0.937;  8.290
FSR 1347                 ; Kharchenko+ 2013    ; 0.979;  8.020
FSR 1351                 ; Kharchenko+ 2013    ; 0.645;  8.200
FSR 1352                 ; 2020A&A...640A...1C ; 0.803;  6.54
FSR 1352                 ; Dias 2021           ; 0.872;  6.668
FSR 1352                 ; Kharchenko+ 2013    ; 0.645;  8.280
FSR 1360                 ; 2019 Bossini        ; 1.374;  8.193
FSR 1360                 ; 2020A&A...640A...1C ; 0.388;  8.19
FSR 1360                 ; Dias 2021           ; 0.432;  8.197
FSR 1360                 ; Kharchenko+ 2013    ; 0.291;  8.985
FSR 1361                 ; 2020A&A...640A...1C ; 0.541;  8.46
FSR 1361                 ; Dias 2021           ; 0.627;  8.789
FSR 1361                 ; Kharchenko+ 2013    ; 0.791;  8.490
FSR 1361                 ; Tarricq 2021        ;      ;  8.48
FSR 1363                 ; 2016DAML            ; 0.333;  8.500
FSR 1363                 ; 2020A&A...640A...1C ; 0.203;  8.35
FSR 1363                 ; Dias 2021           ; 0.477;  7.039
FSR 1363                 ; Kharchenko+ 2013    ; 0.333;  8.500
FSR 1378                 ; 2020A&A...640A...1C ; 0.347;  9.35
FSR 1378                 ; Kharchenko+ 2013    ; 0.874;  8.000
FSR 1378                 ; Tarricq 2021        ;      ;  9.37
FSR 1380                 ; 2016DAML            ; 1.28 ;  8.65
FSR 1380                 ; 2020A&A...640A...1C ; 0.772;  9.01
FSR 1380                 ; Kharchenko+ 2013    ; 1.041;  8.990
FSR 1390                 ; 2016DAML            ; 1.249;  8.300
FSR 1390                 ; Kharchenko+ 2013    ; 1.249;  8.300
FSR 1399                 ; 2020A&A...640A...1C ; 0.844;  8.99
FSR 1399                 ; Dias 2021           ; 0.977;  8.796
FSR 1399                 ; Kharchenko+ 2013    ; 1.249;  8.300
FSR 1402                 ; 2020A&A...640A...1C ; 0.278;  9.48
FSR 1402                 ; Dias 2021           ; 0.323;  9.590
FSR 1402                 ; Kharchenko+ 2013    ; 1.853;  7.395
FSR 1402                 ; Tarricq 2021        ;      ;  9.52
FSR 1406                 ; Kharchenko+ 2013    ; 1.457;  6.900
FSR 1407                 ; 2020A&A...640A...1C ; 0.178;  9.61
FSR 1407                 ; Dias 2021           ; 0.105;  9.910
FSR 1407                 ; Kharchenko+ 2013    ; 0.208;  9.300
FSR 1407                 ; Tarricq 2021        ;      ;  9.68
FSR 1411                 ; Kharchenko+ 2013    ; 0.625;  7.500
FSR 1412                 ; 2016DAML            ; 1.208;  7.050
FSR 1412                 ; Kharchenko+ 2013    ; 1.208;  7.050
FSR 1415                 ; 2016DAML            ; 1.87 ;  9.25
FSR 1415                 ; Kharchenko+ 2013    ; 1.978;  9.250
FSR 1419                 ; 2020A&A...640A...1C ; 0.391;  9.21
FSR 1419                 ; Kharchenko+ 2013    ; 0.791;  8.375
FSR 142                  ; 2016DAML            ; 1.145;  6.400
FSR 142                  ; Kharchenko+ 2013    ; 1.145;  6.400
FSR 1421                 ; Kharchenko+ 2013    ; 0.729;  8.300
FSR 1429                 ; 2016DAML            ; 0.812;  8.200
FSR 1429                 ; Kharchenko+ 2013    ; 0.812;  8.200
FSR 1430                 ; 2016DAML            ; 2.50 ;  8.85
FSR 1430                 ; Kharchenko+ 2013    ; 2.665;  8.500
FSR 1432                 ; Kharchenko+ 2013    ; 1.249;  8.100
FSR 1435                 ; Kharchenko+ 2013    ; 2.602;  6.000
FSR 1436                 ; BDCC                ; 0.39 ;  8.00
FSR 1441                 ; 2016DAML            ; 0.625;  8.730
FSR 1441                 ; 2020A&A...640A...1C ; 0.434;  8.85
FSR 1441                 ; Kharchenko+ 2013    ; 0.625;  8.730
FSR 1441                 ; Tarricq 2021        ;      ;  8.90
FSR 1443                 ; 2016DAML            ; 0.458;  8.770
FSR 1443                 ; Dias 2021           ; 0.587;  8.703
FSR 1443                 ; Kharchenko+ 2013    ; 0.458;  8.770
FSR 1450                 ; Kharchenko+ 2013    ; 1.562;  8.400
FSR 1452                 ; 2020A&A...640A...1C ; 0.466;  8.37
FSR 1452                 ; Kharchenko+ 2013    ; 0.375;  9.050
FSR 1452                 ; Tarricq 2021        ;      ;  8.42
FSR 1454                 ; Kharchenko+ 2013    ; 0.625;  8.900
FSR 1460                 ; Kharchenko+ 2013    ; 1.041;  8.835
FSR 1468                 ; Kharchenko+ 2013    ; 0.895;  8.300
FSR 1478                 ; Kharchenko+ 2013    ; 0.687;  8.610
FSR 1484                 ; 2020A&A...640A...1C ; 0.703;  8.64
FSR 1484                 ; Dias 2021           ; 0.794;  8.565
FSR 1484                 ; Kharchenko+ 2013    ; 0.833;  8.645
FSR 1485                 ; Kharchenko+ 2013    ; 0.396;  8.880
FSR 1489                 ; Kharchenko+ 2013    ; 0.729;  9.015
FSR 1496                 ; 2016DAML            ; 0.625;  9.350
FSR 1496                 ; Kharchenko+ 2013    ; 0.625;  9.350
FSR 1500                 ; 2016DAML            ; 0.562;  8.580
FSR 1500                 ; Kharchenko+ 2013    ; 0.562;  8.580
FSR 1509                 ; 2016DAML            ; 1.17 ;  8.75
FSR 1509                 ; 2020A&A...640A...1C ; 1.072;  7.79
FSR 1509                 ; Kharchenko+ 2013    ; 1.176;  8.850
FSR 1509                 ; Tarricq 2021        ;      ;  7.87
FSR 1517                 ; Kharchenko+ 2013    ; 0.895;  8.810
FSR 1521                 ; 2020A&A...640A...1C ; 0.850;  9.72
FSR 1521                 ; Dias 2021           ; 1.032;  9.104
FSR 1521                 ; Kharchenko+ 2013    ; 0.375;  8.705
FSR 1521                 ; Tarricq 2021        ;      ;  9.70
FSR 1524                 ; Kharchenko+ 2013    ; 0.854;  8.750
FSR 1527                 ; Kharchenko+ 2013    ; 1.041;  6.200
FSR 1530                 ; 2020A&A...640A...1C ; 1.219;  9.03
FSR 1530                 ; Kharchenko+ 2013    ; 0.958;  8.800
FSR 1530                 ; Tarricq 2021        ;      ;  9.23
FSR 1535                 ; 2016DAML            ; 0.396;  8.865
FSR 1535                 ; Kharchenko+ 2013    ; 0.396;  8.865
FSR 154                  ; 2016DAML            ; 1.509;  7.000
FSR 154                  ; 2020A&A...640A...1C ; 1.100;  8.68
FSR 154                  ; Dias 2021           ; 1.141;  8.697
FSR 154                  ; Kharchenko+ 2013    ; 1.509;  7.000
FSR 154                  ; Tarricq 2021        ;      ;  8.72
FSR 1555                 ; BDCC                ; 0.76 ;  9.25
FSR 158                  ; 2016DAML            ; 1.208;  8.505
FSR 158                  ; 2020A&A...640A...1C ; 1.372;  7.01
FSR 158                  ; Dias 2021           ; 1.281;  7.884
FSR 158                  ; Kharchenko+ 2013    ; 1.208;  8.505
FSR 158                  ; Tarricq 2021        ;      ;  7.03
FSR 1580                 ; Kharchenko+ 2013    ; 0.625;  8.900
FSR 1586                 ; 2016DAML            ; 1.60 ;  8.65
FSR 1586                 ; Kharchenko+ 2013    ; 1.603;  8.700
FSR 1591                 ; Kharchenko+ 2013    ; 0.822;  8.700
FSR 1595                 ; 2016DAML            ; 0.854;  6.350
FSR 1595                 ; 2020A&A...640A...1C ; 0.766;  8.84
FSR 1595                 ; Kharchenko+ 2013    ; 0.854;  6.350
FSR 1595                 ; Tarricq 2021        ;      ;  8.82
FSR 160                  ; 2016DAML            ; 0.937;  8.690
FSR 160                  ; Kharchenko+ 2013    ; 0.937;  8.690
FSR 165                  ; 2016DAML            ; 1.249;  6.910
FSR 165                  ; 2020A&A...640A...1C ; 0.872;  7.19
FSR 165                  ; Dias 2021           ; 1.122;  6.989
FSR 165                  ; Kharchenko+ 2013    ; 1.249;  6.910
FSR 165                  ; Tarricq 2021        ;      ;  7.26
FSR 166                  ; 2020A&A...640A...1C ; 0.700;  9.45
FSR 166                  ; Kharchenko+ 2013    ; 0.937;  9.045
FSR 166                  ; Tarricq 2021        ;      ;  9.45
FSR 1663                 ; 2020A&A...640A...1C ; 0.756;  9.11
FSR 1663                 ; Dias 2021           ; 0.943;  9.051
FSR 1663                 ; Kharchenko+ 2013    ; 0.625;  8.150
FSR 1663                 ; Tarricq 2021        ;      ;  9.10
FSR 1666                 ; Kharchenko+ 2013    ; 1.124;  8.150
FSR 167                  ; 2016DAML            ; 1.249;  8.200
FSR 167                  ; 2020A&A...640A...1C ; 0.788;  8.89
FSR 167                  ; Kharchenko+ 2013    ; 1.249;  8.200
FSR 167                  ; Tarricq 2021        ;      ;  8.98
FSR 1686                 ; Kharchenko+ 2013    ; 1.666;  8.500
FSR 1689                 ; Kharchenko+ 2013    ; 0.833;  9.275
FSR 1694                 ; Kharchenko+ 2013    ; 1.874;  8.400
FSR 1698                 ; 2016DAML            ; 0.874;  8.560
FSR 1698                 ; Dias 2021           ; 0.938;  7.136
FSR 1698                 ; Kharchenko+ 2013    ; 0.874;  8.560
FSR 170                  ; 2016DAML            ; 2.415;  8.900
FSR 170                  ; Kharchenko+ 2013    ; 2.415;  8.900
FSR 1703                 ; Kharchenko+ 2013    ; 0.874;  8.550
FSR 1716                 ; Kharchenko+ 2013    ; 1.874;  9.225
FSR 172                  ; 2020A&A...640A...1C ; 1.281;  8.20
FSR 172                  ; Kharchenko+ 2013    ; 0.812;  9.125
FSR 172                  ; Tarricq 2021        ;      ;  8.20
FSR 1723                 ; 2019 Bossini        ; 1.348;  8.452
FSR 1723                 ; 2020A&A...640A...1C ; 0.325;  8.25
FSR 1723                 ; Dias 2021           ; 0.504;  8.099
FSR 1723                 ; Kharchenko+ 2013    ; 0.312;  8.770
FSR 1725                 ; Kharchenko+ 2013    ; 1.395;  8.000
FSR 1735                 ; Kharchenko+ 2013    ; 2.082;  9.900
FSR 174                  ; Kharchenko+ 2013    ; 1.249;  7.500
FSR 1744                 ; Kharchenko+ 2013    ; 0.999;  8.600
FSR 1750                 ; Kharchenko+ 2013    ; 0.750;  8.795
FSR 1754                 ; Kharchenko+ 2013    ; 1.457;  7.150
FSR 1758                 ; 2016DAML            ; 0.770;  9.200
FSR 1758                 ; Kharchenko+ 2013    ; 0.770;  9.200
