Intrinsically very bright and/or large and/or massive galaxies

NOTES
1 QSO's or any kind of active galaxy without a discernible/measured diameter are excluded
2 Constraints: d <= 2.5 GPc AND (MB < -20 OR Diam > 40 Kpc) AND must have a discernible body
3 Objets that are individually not bright and/or large enough to be included here, but are bright/large if you consider the summed contribution of close
  companions are excluded, (e.g. few compact clusters listed as one entry in the ESO catalog), but intrinsically bright/large objects that are part of
  multiple systems (that probably canibalized many smaller galaxies) are included
4 Caveats: Is cannot be considered complete given that there are probably many giant/luminous BGC (Brightest Galaxy in Clusters) and a few nonstellar
  QSO's that are not included here
5 Sometimes objects listed here are larger and brighter than listed values due, e.g. to the presence of faint extended halos, to non-homogeinity as to
  what surface brightness level those values were measured, etc

Check: 2019ApJS..243...14O - The Ogle et al. Galaxy Catalog (OGC) (Ogle+, 2019)

Galaxy                   ;Alias           ;Diam'  ;Mag   ;Band;Type                       ;RV Km/s ;Dist MPc;Diam KPc;MB    ;Cluster/Group      ;Notes
LEDA 87840               ;                ;  0.68 ;14.3  ;    ;                           ; 15717  ; 224.5  ;  44.2  ;-22.4 ;                   ;
ESO 232-2                ;                ;  0.65 ;14.7  ;    ;                           ; 18454  ; 263.6  ;  49.6  ;-22.4 ;                   ;
MCG-05-51-003            ;                ;  0.54 ;15.5  ;    ;                           ; 26710  ; 381.5  ;  59.9  ;-22.4 ;                   ;
ESO 296-1                ;                ;  0.41 ;16.4  ;    ;                           ; 39514  ; 564.4  ;  66.8  ;-22.4 ;                   ;
ESO 552-20               ;                ;  2.30 ;13.3  ;    ;                           ;  9267  ; 132.3  ;  88.7  ;-22.3 ;                   ;
ESO 110-25               ;                ;  1.32 ;15.1  ;    ;                           ; 20575  ; 293.9  ; 112.7  ;-22.3 ;                   ;
ESO 442-3                ;                ;  1.09 ;14.5  ;    ;                           ; 15649  ; 223.5  ;  70.9  ;-22.3 ;                   ;
ESO 400-40               ;                ;  1.07 ;15.5  ;    ;                           ; 25225  ; 360.3  ; 112.3  ;-22.3 ;                   ;
2MASX J22161561-0919590  ;                ;  1.02 ;15.5  ;    ;                           ; 25368  ; 362.4  ; 107.5  ;-22.3 ;                   ;
ESO 161-7                ;                ;  1.00 ;14.5  ;    ;                           ; 15724  ; 224.6  ;  65.3  ;-22.3 ;                   ;
MCG+10-19-068            ;                ;  0.84 ;16.0  ;    ;                           ; 31440  ; 449.1  ; 110.1  ;-22.3 ;                   ;
IC 2431                  ;                ;  0.72 ;14.3  ;    ;                           ; 14579  ; 208.2  ;  43.9  ;-22.3 ;                   ;
ESO 349-24               ;                ;  0.72 ;16.2  ;    ;                           ; 33952  ; 485.0  ; 102.0  ;-22.3 ;                   ;
MCG+04-23-030            ;                ;  0.65 ;15.5  ;    ;                           ; 25498  ; 364.2  ;  68.6  ;-22.3 ;                   ;
PKS 0114-47              ;                ;  0.29 ;16.5  ;    ;                           ; 40630  ; 580.4  ;  49.5  ;-22.3 ;                   ;
M 99                     ;                ;  4.50 ;10.4  ;    ;                           ;  2399  ;  34.2  ;  44.8  ;-22.2 ;                   ;
IC 2082                  ;                ;  1.67 ;13.9  ;    ;                           ; 11392  ; 162.7  ;  78.9  ;-22.2 ;                   ;
ESO 565-30               ;                ;  1.51 ;13.5  ;    ;                           ;  9829  ; 140.4  ;  61.8  ;-22.2 ;                   ;
ESO 102-16               ;                ;  1.42 ;14.5  ;    ;                           ; 15135  ; 216.2  ;  89.5  ;-22.2 ;                   ;
ESO 291-9                ;                ;  1.21 ;14.7  ;    ;                           ; 16438  ; 234.8  ;  82.4  ;-22.2 ;                   ;
ESO 290-20               ;                ;  1.13 ;14.4  ;    ;                           ; 14855  ; 212.2  ;  69.6  ;-22.2 ;                   ;
ESO 288-2                ;                ;  1.07 ;13.5  ;    ;                           ;  9875  ; 141.0  ;  43.9  ;-22.2 ;                   ;
ESO 351-21               ;                ;  0.94 ;14.7  ;    ;                           ; 16755  ; 239.3  ;  65.7  ;-22.2 ;                   ;
NGC 7164                 ;                ;  0.83 ;14.9  ;    ;                           ; 18767  ; 268.1  ;  65.0  ;-22.2 ;                   ;
MCG-07-01-012            ;                ;  0.80 ;15.7  ;    ;                           ; 25549  ; 364.9  ;  84.9  ;-22.2 ;                   ;
PKS J1420-4936           ;                ;  0.74 ;15.6  ;    ;                           ; 26180  ; 374.0  ;  80.5  ;-22.2 ;                   ;
MCG+02-56-027            ;                ;  0.73 ;15.6  ;    ;                           ; 25252  ; 360.7  ;  76.9  ;-22.2 ;                   ;
NGC 4801                 ;                ;  0.72 ;14.6  ;    ;                           ; 15710  ; 224.4  ;  47.2  ;-22.2 ;                   ;
ESO 295-22               ;                ;  0.66 ;14.7  ;    ;                           ; 16657  ; 237.9  ;  45.7  ;-22.2 ;                   ;
ESO 193-37               ;                ;  0.58 ;14.6  ;    ;                           ; 15952  ; 227.8  ;  38.2  ;-22.2 ;                   ;
IRAS F10026+3107         ;                ;  0.21 ;17.5  ;    ;                           ; 62217  ; 888.8  ;  54.3  ;-22.2 ;                   ;
NGC 3646                 ;                ;  2.97 ;11.8  ;    ;                           ;  4221  ;  60.3  ;  52.0  ;-22.1 ;                   ;
IC 4296                  ;                ;  2.75 ;11.5  ;    ;                           ;  3699  ;  52.8  ;  42.3  ;-22.1 ;                   ;
NGC 782                  ;                ;  2.46 ;12.6  ;    ;                           ;  6103  ;  87.1  ;  62.5  ;-22.1 ;                   ;
UGC 11659                ;                ;  1.60 ;13.5  ;    ;                           ;  9191  ; 131.3  ;  61.1  ;-22.1 ;                   ;
UGC 9756                 ;                ;  1.23 ;15.5  ;    ;                           ; 23303  ; 332.9  ; 119.1  ;-22.1 ;                   ;
ESO 325-4                ;                ;  1.21 ;13.9  ;    ;                           ; 10800  ; 154.2  ;  54.3  ;-22.1 ;                   ;
ESO 161-27               ;                ;  1.14 ;14.6  ;    ;                           ; 14907  ; 212.9  ;  70.6  ;-22.1 ;                   ;
2MASX J14442921+0444408  ;                ;  1.08 ;15.6  ;    ;                           ; 24194  ; 345.6  ; 108.6  ;-22.1 ;                   ;
IC 1386                  ;                ;  1.03 ;13.8  ;    ;                           ; 10456  ; 149.3  ;  44.6  ;-22.1 ;                   ;
ESO 477-14               ;                ;  0.86 ;14.5  ;    ;                           ; 14911  ; 213.0  ;  53.1  ;-22.1 ;                   ;
ESO 205-28               ;                ;  0.81 ;14.8  ;    ;                           ; 16990  ; 242.7  ;  57.0  ;-22.1 ;                   ;
ESO 488-43               ;                ;  0.78 ;15.9  ;    ;                           ; 27835  ; 397.6  ;  89.9  ;-22.1 ;                   ;
ESO 349-5                ;                ;  0.76 ;14.7  ;    ;                           ; 15576  ; 222.5  ;  49.2  ;-22.1 ;                   ;
ESO 236-30               ;                ;  0.53 ;15.8  ;    ;                           ; 26425  ; 377.5  ;  57.9  ;-22.1 ;                   ;
PKS 0211-479             ;                ;  0.27 ;17.5  ;    ;                           ; 58840  ; 840.5  ;  65.3  ;-22.1 ;                   ;
ESO 101-4                ;                ;  1.63 ;14.7  ;    ;                           ; 14820  ; 211.7  ; 100.6  ;-22.0 ;                   ;
ESO 158-7                ;                ;  1.45 ;14.6  ;    ;                           ; 14720  ; 210.2  ;  88.4  ;-22.0 ;                   ;
NGC 7749                 ;                ;  1.39 ;13.9  ;    ;                           ; 10309  ; 147.2  ;  59.5  ;-22.0 ;                   ;
MCG-03-34-060            ;                ;  1.39 ;15.0  ;    ;                           ; 17572  ; 251.0  ; 101.7  ;-22.0 ;                   ;
2MASX J15485585+0850442  ;                ;  1.34 ;15.4  ;    ;                           ; 20857  ; 297.9  ; 115.9  ;-22.0 ;                   ;
ESO 443-14               ;                ;  1.34 ;14.9  ;    ;                           ; 16406  ; 234.3  ;  91.2  ;-22.0 ;                   ;
ESO 408-8                ;                ;  1.31 ;14.8  ;    ;                           ; 15825  ; 226.0  ;  86.0  ;-22.0 ;                   ;
UGC 8669                 ;                ;  1.20 ;15.3  ;    ;                           ; 20091  ; 287.0  ; 100.4  ;-22.0 ;                   ;
NGC 1668                 ;                ;  1.20 ;13.8  ;    ;                           ;  9892  ; 141.3  ;  49.3  ;-22.0 ;                   ;
IC 2121                  ;                ;  1.03 ;13.8  ;    ;                           ; 10166  ; 145.2  ;  43.6  ;-22.0 ;                   ;
2dFGRS TGN252Z180        ;                ;  0.98 ;15.8  ;    ;                           ; 24972  ; 356.7  ; 102.0  ;-22.0 ;                   ;
ESO 305-21               ;                ;  0.93 ;14.6  ;    ;                           ; 14734  ; 210.4  ;  56.8  ;-22.0 ;                   ;
ESO 292-9                ;                ;  0.92 ;14.6  ;    ;                           ; 15023  ; 214.6  ;  57.2  ;-22.0 ;                   ;
ESO 405-9                ;                ;  0.85 ;14.9  ;    ;                           ; 16474  ; 235.3  ;  58.0  ;-22.0 ;                   ;
ESO 347-9                ;                ;  0.81 ;15.8  ;    ;                           ; 25744  ; 367.7  ;  86.3  ;-22.0 ;                   ;
ESO 543-26               ;                ;  0.80 ;14.6  ;    ;                           ; 14864  ; 212.3  ;  49.2  ;-22.0 ;                   ;
PKS J0514-4903           ;                ;  0.79 ;15.9  ;    ;                           ; 27522  ; 393.1  ;  90.7  ;-22.0 ;                   ;
MCG+06-32-095            ;                ;  0.79 ;16.0  ;    ;                           ; 28171  ; 402.4  ;  92.1  ;-22.0 ;                   ;
ESO 419-10               ;                ;  0.72 ;15.7  ;    ;                           ; 24540  ; 350.5  ;  73.7  ;-22.0 ;                   ;
MCG+01-31-002            ;                ;  0.68 ;15.7  ;    ;                           ; 23727  ; 338.9  ;  67.3  ;-22.0 ;                   ;
ESO 415-5                ;                ;  0.51 ;15.7  ;    ;                           ; 23463  ; 335.1  ;  49.7  ;-22.0 ;                   ;
NGC 6876                 ;                ;  3.30 ;11.8  ;    ;                           ;  3836  ;  54.8  ;  52.6  ;-21.9 ;                   ;
NGC 1650                 ;                ;  2.05 ;14.0  ;    ;                           ; 10597  ; 151.3  ;  90.4  ;-21.9 ;                   ;
UGC 4653                 ;                ;  1.71 ;15.0  ;    ;                           ; 16696  ; 238.5  ; 118.8  ;-21.9 ;                   ;
ESO 288-1                ;                ;  1.46 ;13.7  ;    ;                           ;  9588  ; 136.9  ;  58.2  ;-21.9 ;                   ;
ESO 240-3                ;                ;  0.99 ;14.8  ;    ;                           ; 15238  ; 217.6  ;  62.7  ;-21.9 ;                   ;
2MASX J12301214+1144411  ;                ;  0.98 ;15.9  ;    ;                           ; 24979  ; 356.8  ; 101.4  ;-21.9 ;                   ;
Fairall 1133             ;                ;  0.71 ;15.7  ;    ;                           ; 23302  ; 332.8  ;  69.0  ;-21.9 ;                   ;
ESO 553-37               ;                ;  0.69 ;14.8  ;    ;                           ; 15837  ; 226.2  ;  45.4  ;-21.9 ;                   ;
ESO 290-31               ;                ;  0.61 ;15.9  ;    ;                           ; 25515  ; 364.5  ;  64.4  ;-21.9 ;                   ;
Fairall 788              ;                ;  0.56 ;15.7  ;    ;                           ; 23134  ; 330.4  ;  53.8  ;-21.9 ;                   ;
IC 4931                  ;                ;  2.11 ;12.8  ;    ;                           ;  5856  ;  83.6  ;  51.4  ;-21.8 ;                   ;
LEDA 2801167             ;                ;  1.61 ;15.1  ;    ;                           ; 17405  ; 248.6  ; 116.4  ;-21.8 ;                   ;
NGC 6849                 ;                ;  1.52 ;12.9  ;    ;                           ;  5987  ;  85.5  ;  37.8  ;-21.8 ;                   ;
2MASX J10520151+0846496  ;                ;  1.31 ;15.5  ;    ;                           ; 20310  ; 290.1  ; 110.3  ;-21.8 ;                   ;
UGC 9861                 ;                ;  1.25 ;15.4  ;    ;                           ; 18911  ; 270.1  ;  98.2  ;-21.8 ;                   ;
MCG+09-19-148            ;                ;  1.25 ;15.3  ;    ;                           ; 18244  ; 260.6  ;  94.8  ;-21.8 ;                   ;
MCG+01-60-039            ;                ;  1.24 ;15.0  ;    ;                           ; 16347  ; 233.5  ;  84.2  ;-21.8 ;                   ;
ESO 161-19               ;                ;  1.06 ;14.8  ;    ;                           ; 15005  ; 214.3  ;  66.3  ;-21.8 ;                   ;
IC 4915                  ;                ;  1.06 ;14.9  ;    ;                           ; 15005  ; 214.3  ;  66.1  ;-21.8 ;                   ;
NGC 378                  ;                ;  1.04 ;13.8  ;    ;                           ;  9458  ; 135.1  ;  40.9  ;-21.8 ;                   ;
ESO 340-29               ;                ;  1.00 ;13.8  ;    ;                           ;  9340  ; 133.4  ;  38.8  ;-21.8 ;                   ;
ESO 287-1                ;                ;  0.99 ;16.3  ;    ;                           ; 27980  ; 399.7  ; 115.1  ;-21.8 ;                   ;
Mrk 463                  ;                ;  0.95 ;14.8  ;    ;                           ; 14724  ; 210.3  ;  58.4  ;-21.8 ;                   ;
UGC 10262                ;                ;  0.95 ;14.8  ;    ;                           ; 14631  ; 209.0  ;  57.8  ;-21.8 ;                   ;
MCG+08-14-050            ;                ;  0.94 ;16.0  ;    ;                           ; 25080  ; 358.2  ;  98.0  ;-21.8 ;                   ;
ESO 293-33               ;                ;  0.91 ;16.3  ;    ;                           ; 29872  ; 426.7  ; 113.2  ;-21.8 ;                   ;
ESO 364-40               ;                ;  0.86 ;14.8  ;    ;                           ; 15138  ; 216.2  ;  54.1  ;-21.8 ;                   ;
MCG+12-17-019            ;                ;  0.85 ;16.0  ;    ;                           ; 25812  ; 368.7  ;  91.2  ;-21.8 ;                   ;
ESO 442-25               ;                ;  0.84 ;14.9  ;    ;                           ; 15483  ; 221.1  ;  54.2  ;-21.8 ;                   ;
MCG+08-22-055            ;                ;  0.80 ;16.0  ;    ;                           ; 25613  ; 365.9  ;  85.5  ;-21.8 ;                   ;
ESO 509-109              ;                ;  0.79 ;16.0  ;    ;                           ; 24386  ; 348.3  ;  80.1  ;-21.8 ;                   ;
MCG+06-32-061            ;                ;  0.78 ;16.0  ;    ;                           ; 25404  ; 362.9  ;  82.3  ;-21.8 ;                   ;
4C 00.37                 ;                ;  0.77 ;16.2  ;    ;                           ; 27624  ; 394.6  ;  88.0  ;-21.8 ;                   ;
ESO 238-11               ;                ;  0.76 ;16.0  ;    ;                           ; 26263  ; 375.1  ;  82.7  ;-21.8 ;                   ;
PKS 0247-207             ;                ;  0.73 ;16.0  ;    ;                           ; 24787  ; 354.1  ;  75.2  ;-21.8 ;                   ;
ESO 235-26               ;                ;  0.59 ;14.9  ;    ;                           ; 14904  ; 212.9  ;  36.7  ;-21.8 ;                   ;
ESO 73-1                 ;                ;  2.09 ;14.5  ;    ;                           ; 11850  ; 169.2  ; 102.9  ;-21.7 ;                   ;
ESO 409-21               ;                ;  1.32 ;15.4  ;    ;                           ; 18048  ; 257.8  ;  98.8  ;-21.7 ;                   ;
Fairall 1017             ;                ;  0.95 ;16.3  ;    ;                           ; 27726  ; 396.0  ; 109.1  ;-21.7 ;                   ;
2MASX J11510002-3421289  ;                ;  0.94 ;16.1  ;    ;                           ; 25990  ; 371.2  ; 101.2  ;-21.7 ;                   ;
3C 130                   ;                ;  0.89 ;16.5  ;    ;                           ; 30906  ; 441.5  ; 114.3  ;-21.7 ;                   ;
ESO 544-15               ;                ;  0.69 ;17.0  ;    ;                           ; 37654  ; 537.9  ; 108.1  ;-21.7 ;                   ;
ESO 471-28               ;                ;  0.60 ;14.9  ;    ;                           ; 14578  ; 208.2  ;  36.5  ;-21.7 ;                   ;
MCG+08-21-017a           ;                ;  0.55 ;17.0  ;    ;                           ; 38986  ; 556.9  ;  89.1  ;-21.7 ;                   ;
ESO 482-21               ;                ;  1.51 ;15.2  ;    ;                           ; 16560  ; 236.5  ; 104.1  ;-21.6 ;                   ;
UGC 8584                 ;                ;  1.35 ;15.4  ;    ;                           ; 17336  ; 247.6  ;  97.1  ;-21.6 ;                   ;
MCG+07-21-048            ;                ;  1.10 ;16.0  ;    ;                           ; 23578  ; 336.8  ; 107.4  ;-21.6 ;                   ;
ESO 578-19               ;                ;  1.96 ;14.2  ;    ;                           ;  9713  ; 138.7  ;  79.1  ;-21.5 ;                   ;
ESO 11-4                 ;                ;  1.62 ;15.4  ;    ;                           ; 17250  ; 246.4  ; 116.1  ;-21.5 ;                   ;
MCG+07-40-004            ;                ;  1.61 ;15.3  ;    ;                           ; 15919  ; 227.4  ; 106.3  ;-21.5 ;                   ;
APMBGC 116-022-097       ;                ;  1.35 ;15.7  ;    ;                           ; 18890  ; 269.8  ; 106.0  ;-21.5 ;                   ;
UGC 3197                 ;                ;  1.22 ;15.3  ;    ;                           ; 15612  ; 223.0  ;  79.0  ;-21.5 ;                   ;
2MASX J23212630-2312281  ;                ;  0.99 ;16.3  ;    ;                           ; 25257  ; 360.8  ; 103.9  ;-21.5 ;                   ;
2dFGRS TGS173Z126        ;                ;  0.98 ;16.4  ;    ;                           ; 26834  ; 383.3  ; 108.9  ;-21.5 ;                   ;
3C 288                   ;                ;  0.44 ;18.3  ;    ;                           ; 64893  ; 927.0  ; 117.6  ;-21.5 ;                   ;
ESO 315-19               ;                ;  1.52 ;15.8  ;    ;                           ; 19351  ; 276.4  ; 122.5  ;-21.4 ;                   ;
MCG+03-20-011            ;                ;  1.27 ;15.3  ;    ;                           ; 15361  ; 219.4  ;  80.9  ;-21.4 ;                   ;
ESO 412-2                ;                ;  0.95 ;16.2  ;    ;                           ; 23650  ; 337.8  ;  93.1  ;-21.4 ;                   ;
ESO 286-18               ;                ;  1.98 ;14.3  ;    ;                           ;  9235  ; 131.9  ;  76.0  ;-21.3 ;                   ;
ESO 197-1                ;                ;  1.74 ;15.3  ;    ;                           ; 14708  ; 210.1  ; 106.2  ;-21.3 ;                   ;
MCG+10-26-026            ;                ;  1.54 ;15.7  ;    ;                           ; 17633  ; 251.9  ; 112.8  ;-21.3 ;                   ;
IC 5338                  ;                ;  1.48 ;15.5  ;    ;                           ; 16066  ; 229.5  ;  98.6  ;-21.3 ;                   ;
IC 2378                  ;                ;  1.34 ;15.3  ;    ;                           ; 14718  ; 210.2  ;  81.8  ;-21.3 ;                   ;
ESO 571-5                ;                ;  1.34 ;15.3  ;    ;                           ; 14885  ; 212.6  ;  82.7  ;-21.3 ;                   ;
MCG+03-03-009            ;                ;  1.28 ;15.6  ;    ;                           ; 16899  ; 241.4  ;  89.7  ;-21.3 ;                   ;
UGC 1037                 ;                ;  1.23 ;15.4  ;    ;                           ; 15140  ; 216.2  ;  77.2  ;-21.3 ;                   ;
MCG+04-03-008            ;                ;  1.23 ;15.5  ;    ;                           ; 16014  ; 228.7  ;  81.9  ;-21.3 ;                   ;
6dFGS gJ221431.6-102226  ;                ;  0.96 ;16.9  ;    ;                           ; 30115  ; 430.2  ; 119.8  ;-21.3 ;                   ;
ESO 460-17               ;                ;  0.71 ;16.6  ;    ;                           ; 26833  ; 383.3  ;  78.8  ;-21.3 ;                   ;
NGC 7452                 ;                ;  2.22 ;15.0  ;    ;                           ; 12040  ; 172.0  ; 111.2  ;-21.2 ;                   ;
NGC 7578                 ;                ;  2.12 ;15.0  ;    ;                           ; 12040  ; 172.0  ; 106.2  ;-21.2 ;                   ;
2MFGC 11748              ;                ;  1.82 ;15.7  ;    ;                           ; 16545  ; 236.3  ; 125.3  ;-21.2 ;                   ;
ESO 446-40               ;                ;  1.46 ;15.6  ;    ;                           ; 16101  ; 230.0  ;  97.9  ;-21.2 ;                   ;
ESO 274-2                ;                ;  1.23 ;15.7  ;    ;                           ; 17082  ; 244.0  ;  87.3  ;-21.2 ;                   ;
PKS 2013-308             ;                ;  0.76 ;16.6  ;    ;                           ; 25499  ; 364.2  ;  80.5  ;-21.2 ;                   ;
MCG+08-21-034            ;                ;  0.76 ;17.0  ;    ;                           ; 30456  ; 435.0  ;  96.6  ;-21.2 ;                   ;
MCG+10-15-088            ;                ;  0.71 ;16.4  ;    ;                           ; 23664  ; 338.0  ;  69.8  ;-21.2 ;                   ;
PKS 0533-12              ;                ;  0.58 ;17.8  ;    ;                           ; 43412  ; 620.1  ; 104.6  ;-21.2 ;                   ;
NGC 190                  ;                ;  2.22 ;15.1  ;    ;                           ; 12147  ; 173.5  ; 112.2  ;-21.1 ;                   ;
ESO 266-23               ;                ;  1.96 ;14.8  ;    ;                           ; 10326  ; 147.5  ;  84.0  ;-21.1 ;                   ;
UGC 1518                 ;                ;  1.47 ;16.0  ;    ;                           ; 18756  ; 267.9  ; 114.6  ;-21.1 ;                   ;
UGC 1191                 ;                ;  1.21 ;16.0  ;    ;                           ; 18162  ; 259.4  ;  91.5  ;-21.1 ;                   ;
PKS J0454-2558           ;                ;  0.77 ;17.7  ;    ;                           ; 39626  ; 566.0  ; 126.8  ;-21.0 ;                   ;
ESO 509-19               ;                ;  2.51 ;15.0  ;    ;                           ; 10530  ; 150.4  ; 109.9  ;-20.9 ;                   ;
ESO 301-6                ;                ;  1.43 ;15.9  ;    ;                           ; 16068  ; 229.5  ;  95.7  ;-20.9 ;                   ;
2MASX J01422276-1317152  ;                ;  1.27 ;16.8  ;    ;                           ; 24238  ; 346.2  ; 128.2  ;-20.9 ;                   ;
6dFGS gJ080515.6-011112  ;                ;  1.11 ;17.1  ;    ;                           ; 26320  ; 376.0  ; 121.7  ;-20.8 ;                   ;
2MFGC 8595               ;                ;  0.83 ;17.1  ;    ;                           ; 26480  ; 378.2  ;  91.3  ;-20.8 ;                   ;
MCG+07-16-007            ;                ;  0.73 ;17.0  ;    ;                           ; 25050  ; 357.8  ;  76.3  ;-20.8 ;                   ;
2MASX J13580958-1253065  ;                ;  1.21 ;16.6  ;    ;                           ; 20682  ; 295.4  ; 104.0  ;-20.7 ;                   ;
MCG+09-15-062            ;                ;  0.74 ;17.0  ;    ;                           ; 24633  ; 351.9  ;  75.7  ;-20.7 ;                   ;
UGC 289                  ;                ;  0.80 ;17.0  ;    ;                           ; 23110  ; 330.1  ;  76.8  ;-20.6 ;                   ;
MCG+08-27-005            ;                ;  0.74 ;17.0  ;    ;                           ; 23132  ; 330.4  ;  71.1  ;-20.6 ;                   ;
MCG+11-09-031            ;                ;  0.81 ;17.4  ;    ;                           ; 27133  ; 387.6  ;  91.6  ;-20.5 ;                   ;
IRAS F02183+0019         ;                ;  1.26 ;16.5  ;    ;                           ; 17122  ; 244.6  ;  89.5  ;-20.4 ;                   ;
UGC 5697                 ;                ;  1.22 ;16.5  ;    ;                           ; 16454  ; 235.0  ;  83.4  ;-20.4 ;                   ;
UGC 11625                ;                ;  1.24 ;16.5  ;    ;                           ; 14570  ; 208.1  ;  75.3  ;-20.1 ;                   ;
ESO 216-11               ;                ;  1.23 ;17.3  ;    ;                           ; 19721  ; 281.7  ; 100.8  ;-20.0 ;                   ;
ESO 288-35               ;                ;  1.95 ;15.9  ;    ;                           ;  9988  ; 142.6  ;  80.9  ;-19.9 ;                   ;
2MASXI J1620311+295328   ;                ;  1.02 ;18.1  ;    ;                           ; 27418  ; 391.6  ; 115.9  ;-19.9 ;                   ;
ESO 25-9                 ;                ;  1.28 ;17.0  ;    ;                           ; 16010  ; 228.7  ;  85.0  ;-19.8 ;                   ;
MCG+11-22-045            ;                ;  1.42 ;17.0  ;    ;                           ; 14972  ; 213.8  ;  88.2  ;-19.7 ;                   ;

SDSS J101603.97+303747.9 ;                ;       ;      ;    ;giant spiral               ;        ;        ;        ;      ;                   ;
SDSS J102154.85+072415.5 ;                ;       ;      ;    ;giant spiral               ;        ;        ;        ;      ;                   ;
SDSS J112928.74+025549.9 ;                ;       ;      ;    ;giant spiral               ;        ;        ;        ;      ;                   ;
SDSS J113800.88+521303.9 ;                ;       ;      ;    ;ring                       ;        ;        ;        ;      ;                   ;
SDSS J115052.98+460448.1 ;                ;       ;      ;    ;faint spiral               ;        ;        ;        ;      ;                   ;
SDSS J095727.02+083501.7 ;                ;       ;      ;    ;giant spiral               ;        ;        ;        ;      ;                   ;
SDSS J122100.48+482729.1 ;                ;       ;      ;    ;giant spiral               ;        ;        ;        ;      ;                   ;
SDSS J135546.07+025455.8 ;                ;       ;      ;    ;giant spiral               ;        ;        ;        ;      ;                   ;
SDSS J140138.37+263527.6 ;                ;       ;      ;    ;giant spiral               ;        ;        ;        ;      ;                   ;
SDSS J141754.96+270434.4 ;                ;       ;      ;    ;giant spiral               ;        ;        ;        ;      ;                   ;
SDSS J143447.86+020228.6 ;                ;       ;      ;    ;giant spiral               ;        ;        ;        ;      ;                   ;
SDSS J153618.97+452246.8 ;                ;       ;      ;    ;giant spiral               ;        ;        ;        ;      ;                   ;
SDSS J154950.91+234444.1 ;                ;       ;      ;    ;giant spiral               ;        ;        ;        ;      ;                   ;
SDSS J040422.91-054134.9 ;                ;       ;      ;    ;flocculent                 ;        ;        ;        ;      ;                   ;
SDSS J121644.34+122450.5 ;                ;       ;      ;    ;bar, Sy1                   ;        ;        ;        ;      ;                   ;
2MASX J17340613+6029190  ;                ;       ;      ;    ;BGG                        ;        ;        ;        ;      ;                   ;
2MASX J10304263+0418219  ;                ;       ;      ;    ;giant spiral               ;        ;        ;        ;      ;                   ;
2MASX J10472505+2309174  ;                ;       ;      ;    ;bar                        ;        ;        ;        ;      ;                   ;
2MASX J13422833+1157345  ;                ;       ;      ;    ;giant spiral               ;        ;        ;        ;      ;                   ;
2MASX J11191739+1419465  ;                ;       ;      ;    ;giant spiral               ;        ;        ;        ;      ;                   ;
2MASX J10100707+3253295  ;                ;       ;      ;    ;BCG, bar                   ;        ;        ;        ;      ;                   ;
2MASX J10095635+2611324  ;                ;       ;      ;    ;giant spiral               ;        ;        ;        ;      ;                   ;
2MASX J10041606+2958441  ;                ;       ;      ;    ;starburst                  ;        ;        ;        ;      ;                   ;
2MASX J13435549+2440484  ;                ;       ;      ;    ;giant spiral               ;        ;        ;        ;      ;                   ;
2MASX J09362208+3906291  ;                ;       ;      ;    ;giant spiral               ;        ;        ;        ;      ;                   ;
2MASX J13475962+3227100  ;                ;       ;      ;    ;BGG                        ;        ;        ;        ;      ;                   ;
2MASX J09334777+2114362  ;                ;       ;      ;    ;QSO, 2 nucl                ;        ;        ;        ;      ;                   ;
2MASX J09260805+2405242  ;                ;       ;      ;    ;BCG, face-on               ;        ;        ;        ;      ;                   ;
2MASX J09094480+2226078  ;                ;       ;      ;    ;BCG, shells?               ;        ;        ;        ;      ;                   ;
2MASX J08542169+0449308  ;                ;       ;      ;    ;2 spirals, bar             ;        ;        ;        ;      ;                   ;
2MASX J08265512+1811476  ;                ;       ;      ;    ;bar                        ;        ;        ;        ;      ;                   ;
2MASX J07550424+1353261  ;                ;       ;      ;    ;bar                        ;        ;        ;        ;      ;                   ;
2MASX J07380615+2823592  ;                ;       ;      ;    ;giant spiral               ;        ;        ;        ;      ;                   ;
2MASX J11410001+3848078  ;                ;       ;      ;    ;giant spiral               ;        ;        ;        ;      ;                   ;
2MASX J13103930+2235023  ;                ;       ;      ;    ;giant spiral               ;        ;        ;        ;      ;                   ;
2MASX J14472834+5908314  ;                ;       ;      ;    ;giant spiral               ;        ;        ;        ;      ;                   ;
2MASX J12374668+4812273  ;                ;       ;      ;    ;giant spiral               ;        ;        ;        ;      ;                   ;
2MASXi J1003568+382901   ;                ;       ;      ;    ;starburst                  ;        ;        ;        ;      ;                   ;
2MASX J00380781-0109365  ;                ;       ;      ;    ;E with shells?             ;        ;        ;        ;      ;                   ;
2MASX J12343099+5156295  ;                ;       ;      ;    ;Sy1                        ;        ;        ;        ;      ;                   ;
2MASX J11593546+1257080  ;                ;       ;      ;    ;giant spiral               ;        ;        ;        ;      ;                   ;
2MASX J00155012-1002427  ;                ;       ;      ;    ;giant spiral               ;        ;        ;        ;      ;                   ;
2MASX J12005393+4800076  ;                ;       ;      ;    ;BCG                        ;        ;        ;        ;      ;                   ;
2MASX J12321515+1021195  ;                ;       ;      ;    ;2 bulges?                  ;        ;        ;        ;      ;                   ;
