Gl 693                ; 166.7    ;  7.9    ;YPC95  
Gl 693                ; 169.8613 ;  0.1184 ;Gaia-DR2
Gl 693                ; 171.48   ;  2.31   ;vanLeeuwen07 
Gl 752                ; 148.3    ; 14.7    ;UPC          
Gl 752                ; 162.6    ; 18.0    ;UPC          
Gl 752                ; 164.30   ;  3.54   ;Tinney96     
Gl 752                ; 168.0    ;  1.2    ;Lazorenko11  
Gl 752                ; 168.15   ;  0.50   ;Weinb16      
Gl 752                ; 168.9620 ;  0.1299 ;Gaia-DR2
Gl 752                ; 169.1590 ;  0.0520 ;Gaia-DR2 
Gl 752                ; 169.84   ;  0.33   ;Dahn17       
Gl 752                ; 170.36   ;  1.00   ;vanLeeuwen07 
Gl 752                ; 171.2    ;  0.7    ;YPC95  
Gl 752                ; 171.6    ;  1.4    ;Pravdo09     
Gl 752                ; 172.11   ;  0.85   ;Dahn17       
Gl 754                ; 169.03   ;  1.55   ;Jao05        
Gl 754                ; 169.0921 ;  0.2165 ;Gaia-DR2
Gl 754                ; 170.60   ;  0.62   ;Weinb16      
Gl 754                ; 175.2    ; 10.1    ;YPC95  
Gl 780                ; 163.71   ;  0.17   ;vanLeeuwen07 
Gl 780                ; 164.0526 ;  0.3554 ;Gaia-DR2
Gl 780                ; 174.9    ;  9.7    ;YPC95  
Gl 783                ; 166.2274 ;  0.1256 ;Gaia-DR2
Gl 783                ; 166.25   ;  0.27   ;vanLeeuwen07 
Gl 783                ; 176.4    ; 10.1    ;YPC95  
LHS 1723              ; 181.7    ;  7.8    ;UPC          
LHS 1723              ; 183.91   ;  0.94   ;Weinb16      
LHS 1723              ; 186.0231 ;  0.0590 ;Gaia-DR2
LHS 1723              ; 187.92   ;  1.26   ;Henry06      
LHS 1723              ; 188.66   ;  0.79   ;Cassy15      
LP 816-60             ; 175.03   ;  3.40   ;vanLeeuwen07 
LP 816-60             ; 178.1243 ;  0.0849 ;Gaia-DR2
LSPM J1835+3259       ; 175.8244 ;  0.0905 ;Gaia-DR2
LSPM J1835+3259       ; 176.5    ;  0.5    ;Reid03       
LSPM J1835+3259       ; 176.55   ;  0.21   ;Dahn17       
LSPM J1835+3259       ; 178.3    ;  9.9    ;UPC          
LSPM J1835+3259       ; 186.0    ;  3.4    ;Dittmann14   
SIPS J0136+0933       ; 156.2    ;  7.0    ;Artigau06    
SIPS J0136+0933       ; 162.13   ;  0.57   ;Dahn17       
SIPS J0136+0933       ; 163.6824 ;  0.7223 ;Gaia-DR2
Sigma Draconis        ; 143.9    ; 10.4    ;UPC          
Sigma Draconis        ; 173.2405 ;  0.2070 ;Gaia-DR2
Sigma Draconis        ; 173.77   ;  0.18   ;vanLeeuwen07 
Sigma Draconis        ; 174.3    ;  0.9    ;YPC95  
WISE J0350-5658       ; 168.84   ;  8.53   ;Martin18     
WISE J0350-5658       ; 174.6    ;  2.6    ;Kirkpatrick18
WISE J0350-5658       ; 184      ; 10      ;Leggett17    
WISE J1506+7027       ; 191.0    ;  8.0    ;Theissen18   
WISE J1506+7027       ; 193.5    ;  0.6    ;Kirkpatrick18
WISE J1506+7027       ; 193.5457 ;  0.9420 ;Gaia-DR2
WISE J1540-5101       ; 165      ; 41      ;Kirkpatrick14
WISE J1540-5101       ; 188.0498 ;  0.0939 ;Gaia-DR2
WISE J1540-5101       ; 189.0    ;  7.0    ;Theissen18   
WISE J1541-2250       ; 167.05   ;  4.19   ;Martin18     
WISE J1541-2250       ; 167.1    ;  2.3    ;Kirkpatrick18
WISE J1541-2250       ; 175.1    ;  4.4    ;Tinney14     
WISE J1541-2250       ; 176.0    ;  9.0    ;Beichman14   
