--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Properties for Main Sequence (class V) O2-Y4 fusors 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Fusors are defined as both stars and Brown dwarfs - All SpT's later than ~ L4-5 are probably Brown Dwarfs

Retrieved from http://www.pas.rochester.edu/~emamajek/EEM_dwarf_UBVIJHK_colors_Teff.dat in 06/Jul/2020
All data are Eric Mamajek's values, except:

1. Added O2V type. Data extracted from
   A New Spectral Classification System for the Earliest O Stars: Definition of Type O2 (2002AJ....123.2754W)
   A VLT/UVES spectroscopy study of O2 stars in the LMC (2011BSRSL..80..129D)
   BCv and Mv derived from formula BC = 27.58-6.80*logT (2005A&A...436.1049M)
2. Values for Teff, logT, logL, Mbol, BCv, Mv, R_Rsun and Msun for O3-O6.5 stars are from
   A new calibration of stellar parameters of Galactic O stars (2005A&A...436.1049M)
3. Added masses for L3 and L4 V types
   According to Baraffe et al. (2015), the Hydrogen Burning Minimum Mass occur at L4-5 V ST and Mass 0.070 MSun
   for solar metallicity stars. Adopted 0.07 MSun for L4 and interpolated mass value for L3
4. Added column LogAge (Logarithm of the lifetime in years) calculated using the equation 1.03*10^10 * (Msun / 10^logL)
   derived from https://www.maplesoft.com/applications/view.aspx?SID=154326&view=html
    The age of the universe is 13.8*10^9 yrs, (log_t = 10.14), so all stars with ST > G7 are still in the MS
5. Added Y3 and Y4 types. Values from T9.5 - Y4 types derived from my own list of Y dwarfs (see /low-mass/Y_dwarfs.txt)
   Any types later than Y0.5 are very uncertain given the extreme faintness and paucity of those objects
   None of subtypes > Y1 are standard, but are used in literature (TODO: put ref) and Y3 and Y4 are best understood as >=Y3 and >=Y4
6. Removed "V" from SpT column, given that all SpTs shown here are Main Sequence
7. Added types O2.5, O3.5, O4.5, O9.2, O9.7, B3.5, B4.5, B5.5, B6.5, B7.5, B8.5, L0.5, L1.5, L2.5, L3.5, L4.5, L5.5, L6.5, L7.5, L8.5, L9.5, T0.5, T1.5, T2.5, T3.5, T6.5
   Data derived by interpolation. Note that not all these types were observed or defined
   I'm certain about O2.5 (2014A&A...570A..38B), O3.5 (2002AJ....123.2754W), O9.2, O9.7 (arXiv:1807.03821v1) L and T, but not the remaining ones (O4.5, B)

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#SpT Teff  logT   logL  Mbol  BCv   Mv    B-V    Bt-Vt  G-V    Bp-Rp  G-Rp   M_G   b-y    U-B    V-Rc   V-Ic   V-Ks   J-H    H-Ks   Ks-W1  W1-W2  W1-W3  W1-W4  M_J   M_Ks  i-z  z-Y  R_Rsun Msun   LogAge #SpT 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
F7    6240 3.795  0.36  3.81 -0.06  3.87  0.510  0.534 -0.135  0.670  0.372  3.77  0.332 -0.012  0.290  0.579  1.244  0.213  0.060  0.027 -0.036 -0.045 -0.013  2.90  2.63  ...  ...  1.30   1.21    9.736 F7  
F8    6170 3.790  0.31  3.96 -0.07  4.01  0.530  0.558 -0.140  0.694  0.385  3.90  0.350  0.001  0.300  0.599  1.290  0.225  0.061  0.027 -0.039 -0.044 -0.016  3.01  2.72  ...  ...  1.25   1.18    9.775 F8  
F9    6060 3.782  0.26  4.07 -0.08  4.15  0.552  0.587 -0.146  0.719  0.399  4.04  0.378  0.014  0.312  0.620  1.340  0.237  0.063  0.027 -0.041 -0.044 -0.014  3.11  2.81  ...  ...  1.23   1.14    9.810 F9  
F9.5  6000 3.778  0.21  4.22 -0.08  4.29  0.572  0.615 -0.150  0.767  0.431  4.17  ...    0.033  0.323  0.640  1.385  0.249  0.065  0.027 -0.042 -0.043 -0.012  3.22  2.91  ...  ...  1.18   1.11    9.848 F9.5
G0    5920 3.772  0.14  4.40 -0.09  4.45  0.596  0.650 -0.155  0.782  0.438  4.32  ...    0.058  0.336  0.664  1.440  0.262  0.067  0.027 -0.043 -0.043 -0.010  3.34  3.01  ...  ...  1.12   1.08    9.906 G0  
G1    5880 3.769  0.13  4.40 -0.10  4.50  0.625  0.661 -0.162  0.803  0.448  4.37  ...    0.067  0.340  0.672  1.458  0.267  0.068  0.027 -0.044 -0.042 -0.010  3.38  3.04  ...  ...  1.12   1.07    9.912 G1  
G2    5770 3.761  0.01  4.68 -0.11  4.79  0.650  0.724 -0.167  0.823  0.459  4.65  ...    0.133  0.363  0.713  1.564  0.293  0.073  0.028 -0.050 -0.040 -0.016  3.57  3.20  ...  ...  1.01   1.02   10.011 G2  
G3    5720 3.757 -0.01  4.74 -0.12  4.86  0.660  0.739 -0.169  0.832  0.464  4.72  ...    0.152  0.368  0.722  1.590  0.299  0.074  0.028 -0.050 -0.040 -0.014  3.64  3.27  ...  ...  1.01   1.00   10.023 G3  
G4    5680 3.754 -0.04  4.80 -0.13  4.94  0.670  0.757 -0.172  0.841  0.468  4.79  ...    0.175  0.374  0.733  1.621  0.307  0.075  0.028 -0.052 -0.041 -0.014  3.70  3.32  ...  ...  0.986  0.99   10.048 G4  
G5    5660 3.753 -0.05  4.84 -0.13  4.98  0.680  0.764 -0.174  0.850  0.473  4.83  ...    0.185  0.377  0.738  1.635  0.310  0.076  0.028 -0.052 -0.041 -0.014  3.74  3.35  ...  ...  0.982  0.98   10.054 G5  
G6    5590 3.747 -0.11  4.98 -0.15  5.13  0.700  0.796 -0.180  0.869  0.483  4.97  ...    0.227  0.388  0.758  1.691  0.324  0.079  0.028 -0.053 -0.040 -0.012  3.84  3.44  ...  ...  0.939  0.97   10.110 G6  
G7    5530 3.743 -0.12  5.02 -0.16  5.18  0.710  0.809 -0.182  0.880  0.489  5.02  ...    0.243  0.393  0.766  1.712  0.329  0.080  0.028 -0.054 -0.040 -0.013  3.88  3.47  ...  ...  0.949  0.96   10.115 G7  
G8    5490 3.740 -0.17  5.15 -0.17  5.32  0.730  0.842 -0.188  0.900  0.499  5.15  ...    0.284  0.404  0.786  1.768  0.342  0.082  0.028 -0.057 -0.039 -0.018  3.97  3.55  ...  ...  0.909  0.94   10.156 G8  
G9    5340 3.728 -0.25  5.34 -0.21  5.55  0.775  0.894 -0.204  0.950  0.524  5.34  ...    0.358  0.423  0.820  1.861  0.365  0.087  0.029 -0.060 -0.038 -0.018  4.14  3.69  ...  ...  0.876  0.90   10.217 G9  
K0    5280 3.723 -0.33  5.54 -0.22  5.76  0.816  0.944 -0.221  0.98   0.56   5.53  ...    0.436  0.443  0.853  1.953  0.387  0.091  0.030 -0.063 -0.037 -0.015  4.29  3.81  ...  ...  0.817  0.87   10.282 K0  
K0.5  5240 3.719 -0.33  5.57 -0.23  5.80  0.825  0.955 -0.225  1.00   0.56   5.56  ...    0.456  0.448  0.862  1.977  0.393  0.092  0.030 -0.064 -0.038 -0.018  4.31  3.82  ...  ...  0.828  0.86   10.277 K0.5
K1    5170 3.713 -0.36  5.65 -0.26  5.89  0.842  0.976 -0.232  1.01   0.56   5.63  ...    0.491  0.457  0.879  2.021  0.402  0.094  0.030 -0.064 -0.038 -0.013  4.37  3.87  ...  ...  0.814  0.85   10.302 K1  
K1.5  5140 3.711 -0.39  5.70 -0.27  5.97  0.860  0.999 -0.241  1.05   0.58   5.69  ...    0.528  0.467  0.895  2.066  0.412  0.096  0.030 -0.063 -0.037 -0.016  4.41  3.90  ...  ...  0.809  0.82   10.317 K1.5
K2    5040 3.702 -0.47  5.88 -0.29  6.19  0.884  1.035 -0.254  1.10   0.62   5.89  ...    0.581  0.482  0.920  2.132  0.427  0.098  0.031 -0.068 -0.037 -0.009  4.57  4.04  ...  ...  0.763  0.78   10.375 K2  
K2.5  4990 3.698 -0.51  6.02 -0.32  6.34  0.938  1.101 -0.288  1.17   0.64   6.04  ...    0.691  0.513  0.974  2.274  0.459  0.104  0.032 -0.071 -0.032 -0.006  4.63  4.07  ...  ...  0.742  0.76   10.404 K2.5
K3    4830 3.684 -0.58  6.16 -0.41  6.57  0.986  1.150 -0.322  1.21   0.66   6.26  ...    0.776  0.537  1.013  2.380  0.483  0.109  0.033 -0.071 -0.031 -0.008  4.76  4.16  ...  ...  0.729  0.75   10.468 K3  
K3.5  4700 3.672 -0.64  6.34 -0.45  6.79  1.050  1.239 -0.371  1.27   0.68   6.42  ...    0.917  0.592  1.108  2.582  0.520  0.118  0.036 -0.074 -0.031 -0.005  4.85  4.21  ...  ...  0.720  0.73   10.516 K3.5
K4    4600 3.663 -0.67  6.42 -0.56  6.98  1.100  1.306 -0.412  1.32   0.70   6.55  ...    1.004  0.640  1.190  2.733  0.544  0.125  0.039 -0.073 -0.031  0.009  4.92  4.25  ...  ...  0.726  0.72   10.540 K4  
K4.5  4540 3.657 -0.68  6.44 -0.60  7.04  1.116  1.328 -0.425  1.38   0.72   6.62  ...    1.028  0.654  1.216  2.781  0.552  0.127  0.040 -0.073 -0.030  0.017  4.94  4.26  ...  ...  0.737  0.71   10.544 K4.5
K5    4410 3.644 -0.78  6.68 -0.68  7.36  1.150  1.373 -0.454  1.45   0.74   6.95  ...    1.081  0.685  1.272  2.883  0.568  0.132  0.042 -0.073 -0.029  0.019  5.18  4.48  ...  ...  0.698  0.68   10.625 K5  
K5.5  4330 3.636 -0.84  6.85 -0.75  7.60  1.200  1.414 -0.495  1.51   0.76   7.16  ...    1.144  0.728  1.357  3.034  0.591  0.139  0.045  ...    ...    ...    5.30  4.57  ...  ...  0.672  0.66   10.672 K5.5
K6    4230 3.626 -0.90  6.99 -0.81  7.80  1.240  1.439 -0.528  1.58   0.79   7.32  ...    1.184  0.759  1.420  3.143  0.601  0.148  0.049  ...    ...    ...    5.41  4.66  ...  ...  0.661  0.65   10.726 K6  
K6.5  4190 3.622 -0.96  7.09 -0.92  8.01  1.310  1.491 -0.581  1.64   0.83   7.49  ...    1.213  0.796  1.505  3.288  0.613  0.159  0.055  ...    ...    ...    5.56  4.78  ...  ...  0.656  0.64   10.779 K6.5
K7    4070 3.610 -0.98  7.18 -0.95  8.15  1.330  1.506 -0.595  1.71   0.87   7.58  ...    1.221  0.806  1.529  3.330  0.617  0.162  0.057  ...    ...    ...    5.60  4.82  ...  ...  0.654  0.63   10.792 K7  
K8    4000 3.602 -1.10  7.44 -1.03  8.47  1.380  1.562 -0.628  1.72   0.88   7.84  ...    1.216  0.843  1.632  3.487  0.623  0.176  0.081  ...    ...    ...    5.78  4.98  ...  ...  0.587  0.59   10.884 K8  
K9    3940 3.595 -1.18  7.59 -1.10  8.69  1.420  1.593 -0.69   1.78   0.90   8.00  ...    1.210  0.866  1.699  3.584  0.625  0.184  0.101  ...    ...    ...    5.92  5.11  ...  ...  0.552  0.56   10.941 K9  
M0    3870 3.588 -1.20  7.75 -1.16  8.91  1.408  1.623 -0.65   1.84   0.92   8.26  ...    1.204  0.889  1.766  3.680  0.626  0.193  0.122  ...    ...    ...    6.04  5.22  0.33 ...  0.559  0.55   10.953 M0  
M0.5  3800 3.580 -1.27  7.90 -1.38  9.20  1.441  ...   -0.74   1.97   0.96   8.46  ...    1.184  0.924  1.886  3.84   0.620  0.208  0.130  ...    ...    ...    6.19  5.36  0.37 ...  0.535  0.54   11.015 M0.5
M1    3700 3.568 -1.40  8.25 -1.44  9.69  1.475  ...   -0.82   2.09   1.01   8.87  ...    1.172  0.959  2.019  4.02   0.613  0.225  0.137  ...    ...    ...    6.51  5.67  0.41 ...  0.496  0.49   11.103 M1  
M1.5  3650 3.562 -1.47  8.40 -1.57  9.97  1.486  ...   -0.85   2.14   1.03   9.12  ...    1.170  0.978  2.089  4.12   0.607  0.228  0.105  ...    ...    ...    6.69  5.85  0.47 ...  0.460  0.47   11.155 M1.5
M2    3550 3.550 -1.57  8.65 -1.65 10.30  1.500  ...   -0.92   2.25   1.06   9.38  ...    1.170  1.001  2.173  4.24   0.600  0.234  0.110  ...    ...    ...    6.89  6.06  0.53 ...  0.434  0.44   11.226 M2  
M2.5  3500 3.544 -1.68  8.94 -1.76 10.70  1.522  ...   -1.02   2.39   1.10   9.68  ...    1.175  1.041  2.306  4.43   0.589  0.244  0.117  ...    ...    ...    7.01  6.27  0.57 ...  0.393  0.40   11.295 M2.5
M3    3410 3.533 -1.78  9.17 -1.97 11.14  1.544  ...   -1.09   2.49   1.12  10.05  ...    1.181  1.079  2.420  4.60   0.579  0.252  0.122  ...    ...    ...    7.40  6.54  0.61 ...  0.369  0.36   11.349 M3  
M3.5  3250 3.512 -2.07  9.92 -2.27 12.19  1.602  ...   -1.29   2.71   1.17  10.90  ...    1.200  1.178  2.680  5.00   0.558  0.269  0.132  ...    ...    ...    8.02  7.19  0.66 ...  0.291  0.26   11.498 M3.5
M4    3200 3.505 -2.20 10.21 -2.59 12.80  1.661  ...   -1.41   2.95   1.24  11.39  ...    1.222  1.241  2.831  5.25   0.557  0.282  0.139  ...    ...    ...    8.39  7.55  0.71 ...  0.258  0.22   11.555 M4  
M4.5  3100 3.491 -2.31 10.52 -3.05 13.57  1.72   ...   -1.55   3.13   1.27  12.02  ...    1.23   1.345  3.073  5.64   0.564  0.301  ...    ...    ...    ...    8.79  7.93  0.81 ...  0.243  0.18   11.578 M4.5
M5    3030 3.481 -2.52 11.02 -3.28 14.30  1.874  ...   -1.74   3.36   1.33  12.56  ...    1.24   1.446  3.277  5.94   0.580  0.311  ...    0.17   ...    ...    9.25  8.36  0.91 0.47 0.199  0.16   11.737 M5  
M5.5  3000 3.477 -2.79 11.71 -3.80 15.51  1.91   ...   -2.01   3.70   1.37  13.50  ...    1.3    1.656  3.664  6.50   0.588  0.329  ...    0.19   ...    ...    9.93  9.01  1.13 0.52 0.149  0.12   11.882 M5.5
M6    2850 3.455 -3.02 12.26 -4.36 16.62  2.00   ...   -2.14   3.95   1.45  14.48  ...    1.3    1.950  4.13   7.30   0.605  0.352  ...    0.21   ...    ...   10.28  9.32  1.45 0.60 0.127  0.10   12.033 M6  
M6.5  2710 3.433 -3.09 12.47 -4.60 17.07  2.06   ...   -2.64   4.41   1.48  14.32  ...    ...    2.003  4.31   7.60   0.609  0.364  ...    0.22   ...    ...   10.47  9.47  1.58 0.64 0.129  0.097  12.090 M6.5
M7    2650 3.423 -3.21 12.75 -5.06 17.81  2.06   ...   -2.98   4.75   1.52  14.83  ...    ...    2.180  4.45   8.05   0.613  0.386  ...    0.24   ...    ...   10.76  9.76  1.77 0.70 0.118  0.090  12.177 M7  
M7.5  2600 3.415 -3.29 12.97 -5.46 18.42  2.17   ...   -3.03   4.77   1.54  15.33  ...    ...    2.160  4.56   8.45   0.650  0.422  ...    0.25   ...    ...   10.68  9.97  1.85 0.74 0.112  0.089  12.252 M7.5
M8    2500 3.398 -3.36 13.14 -5.70 18.84  2.20   ...   -3.08   4.80   1.57  15.73  ...    ...    2.150  4.64   8.73   0.670  0.450  ...    0.26   ...    ...   11.23 10.11  1.93 0.77 0.111  0.082  12.287 M8  
M8.5  2440 3.387 -3.44 13.34 -5.80 19.14  ...    ...   -3.04   5.03   1.58  16.05  ...    ...    1.967  4.71   8.92   0.685  0.470  ...    0.265  ...    ...   11.45 10.22  1.96 0.80 0.107  0.081  12.361 M8.5
M9    2400 3.380 -3.57 13.67 -5.90 19.36  ...    ...   -3.00   4.78   1.59  16.29  ...    ...    1.890  4.75   9.00   0.749  0.480  ...    0.27   ...    ...   11.53 10.30  1.99 0.82 0.095  0.079  12.480 M9  
M9.5  2320 3.365 -3.55 13.62 -6.13 19.75  ...    ...   -3.10   ...    1.63  16.33  ...    ...    2.510  4.79   9.30   0.826  0.505  ...    0.27   ...    ...   11.78 10.45  2.00 0.84 0.104  0.078  12.455 M9.5
L0    2250 3.352 -3.57 13.67 -6.33 20.0   ...    ...   -3.20   ...    1.68  16.36  ...    ...    ...    4.82   9.45   0.79   0.50   ...    0.27   ...    ...   11.84 10.55  2.01 0.86 0.108  0.077  12.469 L0  
L0.5  2175 3.337 -3.63 13.83 -6.42 20.25  ...    ...   -3.66   ...    1.67  16.59  ...    ...    ...    4.865  9.57   0.795  0.52   ...    0.275  ...    ...   11.99 10.67  2.01 0.87 0.1075 0.0765 12.526 L0.5
L1    2100 3.322 -3.70 13.99 -6.51 20.5   ...    ...   -3.67   ...    1.66  16.83  ...    ...    ...    4.91   9.70   0.80   0.54   ...    0.28   ...    ...   12.14 10.80  2.02 0.88 0.107  0.076  12.594 L1  
L1.5  2030 3.307 -3.77 14.16 -6.53 20.7   ...    ...   -3.67   ...    1.675 17.03  ...    ...    ...    4.98   9.85   0.835  0.555  ...    0.28   ...    ...   12.24 10.85  2.03 0.89 0.1055 0.0755 12.661 L1.5
L2    1960 3.292 -3.84 14.34 -6.56 20.9   ...    ...   -3.66   ...    1.69  17.24  ...    ...    ...    5.05   10.0   0.87   0.57   ...    0.28   ...    ...   12.34 10.90  2.04 0.90 0.104  0.075  12.728 L2  
L2.5  1895 3.278 -3.91 14.65 -6.65 21.3   ...    ...   -3.80   ...    1.69  17.50  ...    ...    ...    5.17   10.2   0.935  0.60   ...    0.285  ...    ...   12.63 11.10  2.07 0.91 0.103  0.0735 12.789 L2.5
L3    1830 3.262 -3.98 14.96 -6.74 21.7   ...    ...   -3.94   ...    1.70  17.76  ...    ...    ...    5.29   10.4   1.00   0.63   ...    0.29   ...    ...   12.93 11.30  2.10 0.92 0.102  0.072  12.850 L3    
L3.5  1765 3.247 -4.04 14.99 -7.01 22.0   ...    ...   -3.96   ...    1.72  18.04  ...    ...    ...    5.43   10.65  1.07   0.63   ...    0.295  ...    ...   13.05 11.35  2.15 0.93 0.102  0.071  12.904 L3.5
L4    1700 3.230 -4.11 15.02 -7.28 22.3   ...    ...   -3.98   ...    1.74  18.32  ...    ...    ...    5.57   10.9   1.14   0.63   ...    0.30   ...    ...   13.17 11.40  2.20 0.94 0.102  0.070  12.968 L4    
L4.5  1645 3.216 -4.17 15.18 -7.52 22.7   ...    ...   -4.11   ...    1.725 18.59  ...    ...    ...    5.925  11.15  1.135  0.64   ...    0.31   ...    ...   13.38 11.61  2.26 0.95 0.101  ...     ...   L4.5
L5    1590 3.201 -4.24 15.34 -7.76 23.1   ...    ...   -4.24   ...    1.71  18.86  ...    ...    ...    6.28   11.4   1.13   0.65   ...    0.32   ...    ...   13.60 11.82  2.33 0.97 0.100  ...     ...   L5    
L5.5  1540 3.188 -4.30 15.49  ...  ...    ...    ...    ...    ...    1.725 19.05  ...    ...    ...    ...    ...    1.105  0.645  ...    0.34   ...    ...   13.79 12.04  2.42 0.98 0.100  ...     ...   L5.5
L6    1490 3.173 -4.36 15.64  ...  ...    ...    ...    ...    ...    1.74  19.25  ...    ...    ...    ...    ...    1.08   0.64   ...    0.36   ...    ...   13.99 12.27  2.51 1.00 0.099  ...     ...   L6    
L6.5  1450 3.161 -4.41 15.76  ...  ...    ...    ...    ...    ...    1.925 19.27  ...    ...    ...    ...    ...    1.09   0.63   ...    0.385  ...    ...   14.16 12.44  2.61 1.02 0.099  ...     ...   L6.5
L7    1410 3.149 -4.46 15.89  ...  ...    ...    ...    ...    ...    2.11  19.30  ...    ...    ...    ...    ...    1.10   0.62   ...    0.41   ...    ...   14.34 12.62  2.71 1.04 0.099  ...     ...   L7    
L7.5  1380 3.140 -4.50 16.00 -8.5  24.5   ...    ...   -4.88   ...    1.99  19.65  ...    ...    ...    ...    ...    1.12   0.625  ...    0.445  ...    ...   14.40 12.66  2.82 1.06 0.098  ...     ...   L7.5
L8    1350 3.130 -4.55 16.12  ...  ...    ...    ...    ...    ...    1.87  20.00  ...    ...    ...    ...    ...    1.14   0.63   ...    0.48   ...    ...   14.47 12.70  2.93 1.09 0.097  ...     ...   L8    
L8.5  1325 3.122 -4.58 16.19  ...  ...    ...    ...    ...    ...    ...    ...   ...    ...    ...    ...    ...    1.12   0.63   ...    0.525  ...    ...   14.47 12.72  3.04 1.12 0.097  ...     ...   L8.5
L9    1300 3.114 -4.61 16.27  ...  ...    ...    ...    ...    ...    ...    ...   ...    ...    ...    ...    ...    1.10   0.63   ...    0.57   ...    ...   14.47 12.74  3.15 1.16 0.098  ...     ...   L9    
L9.5  1280 3.107 -4.63 16.33  ...  ...    ...    ...    ...    ...    ...    ...   ...    ...    ...    ...    ...    1.06   0.585  ...    0.625  ...    ...   14.46 12.82  3.25 1.19 0.098  ...     ...   L9.5
T0    1260 3.100 -4.66 16.39  ...  ...    ...    ...    ...    ...    ...    ...   ...    ...    ...    ...    ...    1.02   0.54   ...    0.68   ...    ...   14.46 12.90  3.36 1.23 0.098  ...     ...   T0    
T0.5  1245 3.095 -4.68 16.43 -11.1 27.6   ...    ...    ...    ...    ...    ...   ...    ...    ...    ...    ...    1.02   0.495  ...    0.75   ...    ...   14.40 12.88  3.45 1.28 0.099  ...     ...   T0.5
T1    1230 3.090 -4.69 16.47 -9.85 26.3   ...    ...    ...    ...    ...    ...   ...    ...    ...    ...    ...    1.02   0.45   ...    0.82   ...    ...   14.34 12.87  3.55 1.33 0.100  ...     ...   T1    
T1.5  1215 3.085 -4.71 16.52  ...  ...    ...    ...    ...    ...    ...    ...   ...    ...    ...    ...    ...    0.94   0.36   ...    0.905  ...    ...   14.33 13.03  3.62 1.38 0.100  ...     ...   T1.5
T2    1200 3.079 -4.73 16.57  ...  ...    ...    ...    ...    ...    ...    ...   ...    ...    ...    ...    ...    0.86   0.27   ...    0.99   ...    ...   14.32 13.19  3.70 1.43 0.100  ...     ...   T2    
T2.5  1185 3.074 -4.75 16.62  ...  ...    ...    ...    ...    ...    ...    ...   ...    ...    ...    ...    ...    0.77   0.175  ...    1.09   ...    ...   14.38 13.44  3.76 1.49 0.101  ...     ...   T2.5
T3    1160 3.064 -4.77 16.67  ...  ...    ...    ...    ...    ...    ...    ...   ...    ...    ...    ...    ...    0.68   0.08   ...    1.19   ...    ...   14.45 13.69  3.82 1.55 0.102  ...     ...   T3    
T3.5  1140 3.057 -4.80 16.75  ...  ...    ...    ...    ...    ...    ...    ...   ...    ...    ...    ...    ...    0.515 -0.055  ...    1.31   ...    ...   14.56 14.10  3.86 1.61 0.101  ...     ...   T3.5
T4    1120 3.049 -4.84 16.84  ...  ...    ...    ...    ...    ...    ...    ...   ...    ...    ...    ...    ...    0.35  -0.19   ...    1.43   ...    ...   14.67 14.51  3.90 1.68 0.101  ...     ...   T4    
T4.5  1090 3.037 -4.90 16.99  ...  ...    ...    ...    ...    ...    ...    ...   ...    ...    ...    ...    ...    0.2   -0.06   ...    1.57   ...    ...   14.80 14.66  3.93 1.75 0.099  ...     ...   T4.5  
T5    1050 3.021 -4.95 17.12  ...  ...    ...    ...    ...    ...    ...    ...   ...    ...    ...    ...    ...    0.2   -0.08   ...    1.70   ...    ...   15.02 14.90  3.95 1.81 0.101  ...     ...   T5    
T5.5  1010 3.004 -5.04 17.34  ...  ...    ...    ...    ...    ...    ...    ...   ...    ...    ...    ...    ...    0.2   -0.10   ...    1.86   ...    ...   15.28 15.18  3.97 1.89 0.099  ...     ...   T5.5  
T6     960 2.982 -5.12 17.54  ...  ...    ...    ...    ...    ...    ...    ...   ...    ...    ...    ...    ...    0.1   -0.03   ...    2.02   ...    ...   15.61 15.54  3.98 1.96 0.100  ...     ...   T6    
T6.5   900 2.954 -5.24 17.85  ...  ...    ...    ...    ...    ...    ...    ...   ...    ...    ...    ...    ...    0.05  -0.015  ...    2.20   ...    ...   15.69 15.95  3.99 2.03 0.099  ...     ...   T6.5
T7     840 2.924 -5.37 18.17  ...  ...    ...    ...    ...    ...    ...    ...   ...    ...    ...    ...    ...    0.0    0.00   ...    2.38   ...    ...   15.77 16.36  4.01 2.11 0.098  ...     ...   T7    
T7.5   770 2.886 -5.54 18.59  ...  ...    ...    ...    ...    ...    ...    ...   ...    ...    ...    ...    ...    0.2   -0.05   ...    2.59   ...    ...   16.51 16.85  4.05 2.19 0.095  ...     ...   T7.5  
T8     700 2.845 -5.71 19.02  ...  ...    ...    ...    ...    ...    ...    ...   ...    ...    ...    ...    ...    0.2   -0.05   ...    2.79   ...    ...   17.24 17.43  4.08 2.26 0.095  ...     ...   T8    
T8.5   610 2.785 -5.93 19.57  ...  ...    ...    ...    ...    ...    ...    ...   ...    ...    ...    ...    ...    0.2   -0.125  ...    2.69   ...    ...   18.45 17.95  ...  ...  0.097  ...     ...   T8.5  
T9     530 2.724 -6.15 20.12  ...  ...    ...    ...    ...    ...    ...    ...   ...    ...    ...    ...    ...    0.1   -0.20   ...    2.59   ...    ...   19.67 18.48  ...  ...  0.100  ...     ...   T9    
T9.5   493 2.693 -6.33 20.55  ...  ...    ...    ...    ...    ...    ...    ...   ...    ...    ...    ...    ...    ...   -0.35   ...    2.5    ...    ...   20.3  19.32  ...  ...  ...    ...     ...   T9.5  
Y0     461 2.664 -6.52 20.98  ...  ...    ...    ...    ...    ...    ...    ...   ...    ...    ...    ...    ...    ...   -0.5    ...    2.4    ...    ...   21    20.4   ...  ...  ...    ...     ...   Y0    
Y0.5   402 2.604  ...  ...    ...  ...    ...    ...    ...    ...    ...    ...   ...    ...    ...    ...    ...    ...   -0.6    ...    2.5    ...    ...   22    21.5   ...  ...  ...    ...     ...   Y0.5  
Y1     378 2.577  ...  ...    ...  ...    ...    ...    ...    ...    ...    ...   ...    ...    ...    ...    ...    ...   -0.7    ...    2.6    ...    ...   23    23     ...  ...  ...    ...     ...   Y1    
Y1.5   370 2.568  ...  ...    ...  ...    ...    ...    ...    ...    ...    ...   ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...   ...   ...    ...  ...  ...    ...     ...   Y1.5
Y2     362 2.559  ...  ...    ...  ...    ...    ...    ...    ...    ...    ...   ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...   ...   ...    ...  ...  ...    ...     ...   Y2   
Y3     346 2.539  ...  ...    ...  ...    ...    ...    ...    ...    ...    ...   ...    ...    ...    ...    ...    ...    ...    ...    ...    ...    ...   ...   ...    ...  ...  ...    ...     ...   Y3    
Y4     250 2.398 -8.61 26.2   ...  ...    ...    ...    ...    ...    ...    ...   ...    ...    ...    ...    ...    ...    ...    ...    3.4    ...    ...   28.3  24     ...  ...  ...    ...     ...   Y4    
