Alessi Name           ;Published Name   ;Cns  ;Coordinates (J2000)  ;Wv   ;Type ;   Diam;  Dist; E-BV;   Age;Alias                                         ;Comments
Urq G337.651-0.04     ;                 ;Ara  ;16 38 30.4 -47 00 45 ;IR   ;EC?  ;    0.6; 12100;     ;      ;                                              ;
Urq G338.555+0.00     ;                 ;Ara  ;16 41 36.8 -46 17 52 ;IR   ;EC?  ;    1.0;  5700;     ;      ;                                              ;
Urq G339.753+0.07 A   ;                 ;Sco  ;16 45 37.8 -45 22 37 ;IR   ;EC?  ;    0.4; 11800;     ;      ;                                              ;
Urq G339.753+0.07 B   ;                 ;Sco  ;16 45 51.0 -45 23 34 ;IR   ;EC?  ;    0.5; 11800;     ;      ;                                              ;
Urq G34.69-0.05       ;                 ;Aql  ;18 54 51.6 +01 32 46 ;IR   ;OC?  ;    1.6;  4800;     ;      ;                                              ;
Urq G342.533+0.17     ;                 ;Sco  ;16 55 03.1 -43 12 48 ;IR   ;EC?  ;    1.0; 12500;     ;      ;                                              ;Three clusters?
Urq G346.523+0.09     ;                 ;Sco  ;17 08 43.0 -40 05 02 ;IR   ;EC?  ;    0.6;      ;     ;      ;                                              ;
Urq G35.448+0.13      ;                 ;SerCd;18 55 34.5 +02 19 00 ;IR   ;EC?  ;    1.2;  4700;     ;      ;                                              ;
Urq G35.58-0.03       ;                 ;SerCd;18 56 00.9 +02 22 54 ;IR   ;EC?  ;    1.9; 10400;     ;      ;                                              ;
Urq G352.584+0.19     ;                 ;Sco  ;17 25 56.4 -35 04 04 ;IR   ;OC?  ;    1.0; 10800;     ;      ;                                              ;
Urq G39.25-0.05       ;                 ;Aql  ;19 03 12.6 +05 36 01 ;IR   ;EC?  ;    3.0; 11800;     ;      ;                                              ;Three HII reg
Urq G49.99-0.13       ;                 ;Aql  ;19 23 47.1 +15 04 18 ;IR   ;EC?  ;    2.3;  7000;     ;      ;                                              ;In HII reg WISE G49.99-0.13
VVV J1242-6307        ;                 ;Cru  ;12 42 19.8 -63 07 33 ;Op   ;***? ;    2.5;      ;     ;      ;                                              ;
WG 1                  ;Bica 245         ;Ari  ;03 25 10.6 +30 48 35 ;IR   ;EC   ;   13.0;   283;     ;  6.00;RNO 14 Cl, PST 1, Autochthe                   ;Alessi (2018) 7 f *s to G=19, WG means WISE-Gaia
WG 2                  ;Bica 244         ;Ari  ;03 25 48.1 +30 56 30 ;IR   ;EC   ;   19.0;   296;     ;  6.00;vdB 13 Cl, PST 1, Autochthe                   ;Alessi (2018) 14 f *s around BD+30 540
WG 3                  ;                 ;Ari  ;03 28 11.9 +30 13 47 ;IR   ;EC   ;   36.0;   276;     ;      ;LDN 1455 Cl                                   ;Alessi (2018) 6* to G=19
WG 4                  ;                 ;Ari  ;03 29 01.0 +30 51 44 ;IR   ;EC   ;   28.0;   410;     ;      ;                                              ;Alessi (2019) 6* to G=20
WG 5                  ;                 ;Cha  ;10 58 24.9 -77 17 19 ;IR   ;EC   ;   21.0;   185;     ;  6.90;SZ Cha                                        ;Subgroup in Cha I, Incl. TW, SY and SZ Cha
WISE 1                ;                 ;CrA  ;19 03 28.7 -38 20 00 ;IR   ;***  ;   21.0;      ;     ;      ;                                              ;Disc by Alessi, IR/Op group of 6 bright stars: HD 176577, V701 CrA, CD-38 13299, VW CrA, VX CrA, RAFGL 5553
WISE 2                ;                 ;CrA  ;18 33 18.7 -38 23 50 ;IR   ;***  ;   16.0;      ;     ;      ;                                              ;Disc bu Alessi, IR/Op group of ~13 bright stars
WISE J0322+6330       ;                 ;Cam  ;03 22 35.0 +63 30 24 ;IR   ;OC?  ;   14.0;      ;     ;      ;                                              ;
WISE J0718-2205       ;                 ;CMa  ;07 18 24.6 -22 05 45 ;IR   ;***  ;    4.0;      ;     ;      ;                                              ;
WISE J0856-4328       ;                 ;Vel  ;08 56 22.0 -43 28 04 ;IR   ;OC?  ;    3.4;      ;     ;      ;                                              ;
