Name                             PNstat         RAJ2000    DECJ2000      MajDiam   Catalogue           
PN G016.9+00.1                   PN??           18 20 59.3 -14 07 00.7             CornishCandidates   
ShWi 2                           notPN?         18 03 02.9 -29 46 01.2             1992secg.book.....A 
K 5-38                           PN:            18 00 04.3 -37 17 01.3             2002AN....323...57K 
IPHAS J225305.51+621101.9        PN??           22 53 05.5 +62 11 01.9             2009A&A...504..291V 
WR 45                            Em*            11 38 05.1 -62 16 01.9             1992secg.book.....A 
IRAS 19581+3320                  PN?            20 00 06.9 +33 29 01.0             2009A&A...504..291V 
V421 CMa                         notPN?         07 16 08.3 -23 27 01.6             2007A&A...469..799S 
K 5-15                           CV*            17 45 08.6 -25 44 01.0             2001A&A...378..843K 
PN G032.5-00.7                   PN??           18 53 09.2 -00 42 01.5             CornishCandidates   
PN G062.4+00.8                   PN??           19 46 10.5 +26 28 01.8             CornishCandidates   
IRAS 22174+6042                  PN??           22 19 11.2 +60 58 01.6             2009A&A...504..291V 
PN G045.4-01.5                   PN??           19 20 12.4 +10 23 01.9             2015arXiv150708182F 
LS III +52 24                    transObj       22 04 12.3 +53 04 01.3             2003A&A...408.1029K 
PN G006.4+01.0                   notPN?         17 56 15.5 -22 53 01.0             2001A&A...378..843K 
PM 1-14                          star           04 41 16.8 +28 40 01.9             1988A&AS...76..317P 
IRAS 17333-1731                  notPN          17 36 16.4 -17 32 01.0             2001A&A...378..843K 
WKK98 7101                       PN??           16 33 16.0 -60 54 01.1             2001A&A...380..441W 
IPHAS J061419.17+204101.9        PN??           06 14 19.2 +20 41 01.9             2009A&A...504..291V 
Th 3-36                          star           17 39 20.7 -28 47 01.2             1992secg.book.....A 
2MASS J1900+0520                 PN??           19 00 21.6 +05 20 01.1             2009A&A...504..291V 
OH 65.4 +1.3                     PPN?           19 51 21.2 +29 13 01.3             2001A&A...378..843K 
PN G012.7+00.5                   notPN?         18 11 23.1 -17 37 01.6             2001A&A...378..843K 
PPA J1709-3726                   artif          17 09 24.0 -37 26 01.0             MEN_List            
PM 1-194                         notPN?         17 57 25.0 -28 30 01.1             1988A&AS...76..317P 
LDu 28                           PN??           21 28 26.8 +54 11 01.6             2017LAstr.131b..46L 
GLMP 558                         notPN?         17 25 26.6 -27 02 01.4             1988A&AS...76..317P 
IPHAS J202627.23+395501.4        PN??           20 26 27.2 +39 55 01.4             2009A&A...504..291V 
Wray 15-1633                     PN             17 11 27.4 -47 25 01.6             1992secg.book.....A 
IPHAS J194528.65+275101.2        PN??           19 45 28.7 +27 51 01.2             2009A&A...504..291V 
HH 32A                           HH             19 20 29.4 +11 02 01.4             2009A&A...504..291V 
PM 1-228                         notPN?         18 23 29.3 -09 50 01.0             1988A&AS...76..317P 
PN G052.4-00.9                   PN??           19 31 30.6 +16 53 01.1             2015arXiv150708182F 
2MASS J0631+1021                 PN??           06 31 31.4 +10 21 01.0             2009A&A...504..291V 
IPHAS J200431.54+374301.9        PN??           20 04 31.5 +37 43 01.9             2009A&A...504..291V 
PN G030.9+00.0a                  PN??           18 47 31.6 -01 43 01.5             CornishCandidates   
Ra 30                            PN             06 04 32.0 +20 57 01.0             2017LAstr.131b..46L 
Bl 3-3                           star           17 49 32.1 -27 46 01.3             1992secg.book.....A 
Wray 15-157                      Symb*          08 06 34.9 -28 32 01.2             dfrew               
Ra 26                            PN??           19 49 35.0 +33 36 01.0             2017LAstr.131b..46L 
IPHAS J043235.77+510701.4        PN??           04 32 35.8 +51 07 01.4             2009A&A...504..291V 
V4728 Sgr                        PPN?           18 41 37.0 -27 57 01.2             2001A&A...378..843K 
SCHB 138                         notPN?         17 42 39.6 -28 50 01.7             MIRPNc              
PN G279.1-32.1                   Gx?            05 33 42.4 -68 46 01.9             ivan                
PN G002.0-00.3                   PN??           17 51 43.4 -27 22 01.2             2015arXiv150708182F 
PN G014.7+00.9                   AGB*?          18 13 47.9 -15 38 01.1             CornishCandidates   
LDu 23                           PN??           20 03 48.9 +47 44 01.5             2017LAstr.131b..46L 
IRAS 18139-1816                  PAGB/PPN       18 16 49.2 -18 15 01.7             2007A&A...469..799S 
Terz N 13                        notPN?         17 18 49.7 -27 52 01.9             2001A&A...378..843K 
H 2-47                           Symb*?         18 28 50.6 -24 32 01.7             1992secg.book.....A 
PN G055.4+00.9                   PN??           19 30 52.8 +20 23 01.2             CornishCandidates   
Mul Objet 2                      PN??           23 59 53.0 +63 57 01.0             FrenchAmateurs      
IPHAS J062554.67+195701.4        PN??           06 25 54.7 +19 57 01.4             2009A&A...504..291V 
Or 3                             PN??           08 15 54.0 -16 16 01.9             2017LAstr.131b..46L 
PN G280.5-32.9                   Gx?            05 22 54.1 -69 51 01.8             ivan                
IPHAS J054059.37+352901.5        PN??           05 40 59.4 +35 29 01.5             2009A&A...504..291V 
2MASS J0547+2100                 PN??           05 47 01.5 +21 00 02.8             2009A&A...504..291V 
PN G037.1+00.3                   PN??           18 58 02.7 +03 53 02.7             2015arXiv150708182F 
2MASS J2058+4635                 Em*?           20 58 02.7 +46 35 02.6             2009A&A...502..113V 
PHR J1845-0356                   PN??           18 45 02.9 -03 56 02.1             MEN_List            
PN G046.0+00.7                   PN??           19 13 05.1 +12 00 02.5             CornishCandidates   
TYC 5121-672-1                   notPN?         18 44 05.0 -03 57 02.4             arXiv:1403.0975     
IPHAS J061606.40+221502.8        PN??           06 16 06.4 +22 15 02.8             2009A&A...504..291V 
PN G033.1+01.0                   PN?            18 48 07.0 +00 40 02.6             CornishCandidates   
K 4-32                           Symb*?         19 42 07.9 +24 30 02.2             1992secg.book.....A 
PN G043.4+00.4                   PN??           19 09 10.6 +09 35 02.0             CornishCandidates   
IPHAS J005210.88+602902.6        PN??           00 52 10.9 +60 29 02.6             2009A&A...504..291V 
PPA J1851-2130                   PN??           18 51 11.3 -21 30 02.2             MEN_List            
K 5-22                           PN             17 06 11.3 -31 18 02.5             2002AN....323...57K 
IPHAS J221213.10+585202.8        Em*            22 12 13.1 +58 52 02.8             2009A&A...504..291V 
PN G047.1+00.4                   PN??           19 16 14.1 +12 52 02.8             2015arXiv150708182F 
PHR J1817-2132                   PN??           18 17 16.3 -21 32 02.0             MEN_List            
Wray 17-4                        unk            07 26 16.1 -34 57 02.2             1992secg.book.....A 
Wray 16-102                      unk            11 56 16.3 -55 33 02.2             1992secg.book.....A 
PTB 14                           PN             17 52 17.8 -18 52 02.4             2003MNRAS.339..735B 
HH 397C                          PN??           05 58 19.1 +16 32 02.6             2009A&A...504..291V 
BRAN 45                          HII            07 33 19.4 -22 11 02.0             MEN_List            
K 3-28                           notPN          19 15 21.5 +02 33 02.1             1992secg.book.....A 
[HHG86] 194415.5+242825          PN??           19 46 21.0 +24 36 02.1             2009A&A...504..291V 
PN G050.0-01.1                   PN??           19 27 26.0 +14 40 02.6             CornishCandidates   
K 4-34                           Symb*?         19 46 26.0 +17 01 02.4             1992secg.book.....A 
Kn 123                           PN?            17 07 26.3 -29 04 02.0             PRC15               
J10                              unk            00 49 26.7 -72 34 02.2             1980ApJS...42....1J 
IPHAS J194727.51+241502.1        PN?            19 47 27.5 +24 15 02.1             2009A&A...504..291V 
IPHAS J011929.32+654602.7        PN??           01 19 29.3 +65 46 02.7             2009A&A...504..291V 
PPA J1734-3443                   PN??           17 34 29.5 -34 43 02.3             MEN_List            
PBZ 1                            PPN?           17 18 29.0 -37 58 02.5             1992secg.book.....A 
UY Ara                           RVtau          17 29 29.0 -59 54 02.2             2007A&A...469..799S 
PM 1-66                          PN?            12 26 30.5 -49 24 02.9             1988A&AS...76..317P 
NDK 1                            PN             11 14 31.9 -61 00 02.9             2001A&A...377..241N 
PN G030.0+00.1                   notPN?         18 45 34.1 -02 31 02.5             CornishCandidates   
SS Gem                           RVtau          06 08 35.1 +22 37 02.0             2007A&A...469..799S 
PN G032.4+00.2                   PN??           18 49 35.5 -00 17 02.4             2015arXiv150708182F 
HR 4226                          PAGB/PPN       10 47 38.4 -57 28 02.7             2007A&A...469..799S 
PM 1-217                         PN             18 11 39.9 -00 49 02.2             1988A&AS...76..317P 
Kn J1730.7-2416                  star           17 30 42.5 -24 16 02.2             DSHPNe_Aug2020      
Wray 16-358                      Em*            18 03 44.6 -34 53 02.8             1992secg.book.....A 
Y-C 2-2                          unk            07 52 46.3 -45 12 02.9             1992secg.book.....A 
MSX6C G023.8210-00.5788          PPN?           18 36 47.2 -08 22 02.6             2009A&A...501..539U 
WKK98 937                        PN??           12 21 47.0 -54 23 02.0             2001A&A...380..441W 
PHR J1056-5120                   PN??           10 56 49.0 -51 20 02.8             MEN_List            
V382 Aur                         PAGB/PPN       06 37 52.4 +53 31 02.0             2001A&A...378..843K 
WKK98 4889                       PN??           15 23 54.1 -50 30 02.9             2001A&A...380..441W 
PN G049.0+00.9                   PN??           19 17 56.7 +14 46 02.1             CornishCandidates   
PM 1-15                          Gx?            04 59 56.1 +27 06 02.4             1988A&AS...76..317P 
IRAS 17234-4008                  PAGB/PPN       17 26 56.1 -40 11 02.3             1992secg.book.....A 
PN G050.8-00.5                   PN??           19 27 02.1 +15 38 03.7             CornishCandidates   
Y-C 40                           notPN?         07 50 02.9 -17 52 03.4             1992secg.book.....A 
Wray 16-87                       unk            11 18 04.1 -70 38 03.8             1992secg.book.....A 
AU Vul                           PAGB/PPN       20 18 05.9 +27 44 03.6             2007A&A...469..799S 
PM 1-222                         notPN?         18 16 08.2 -19 56 03.1             1988A&AS...76..317P 
WKK98 343                        PN??           11 46 08.0 -69 59 03.1             2001A&A...380..441W 
IPHAS J064709.04+012003.8        PN??           06 47 09.0 +01 20 03.8             2009A&A...504..291V 
2MASS J0259+6019                 CGb            02 59 09.7 +60 19 03.0             IPHAS_candidates    
PN G043.9+00.9                   PN??           19 08 11.0 +10 16 03.0             CornishCandidates   
IPHAS J195912.66+335003.9        PN?            19 59 12.7 +33 50 03.9             2009A&A...504..291V 
IRAS 21124+4957                  PN??           21 14 14.9 +50 08 03.9             2009A&A...504..291V 
V1899 Cyg                        PPN?           21 04 14.8 +53 21 03.2             2001A&A...378..843K 
IPHAS J195715.31+344503.1        PN??           19 57 15.3 +34 45 03.1             2009A&A...504..291V 
PN G038.6-00.6                   PN??           19 04 18.7 +04 45 03.4             CornishCandidates   
EP Lyr                           RVtau          19 18 19.6 +27 51 03.2             2007A&A...469..799S 
PN G030.0-00.3                   PN??           18 47 19.4 -02 44 03.7             CornishCandidates   
IPHAS J061023.01+174003.0        PN??           06 10 23.0 +17 40 03.0             2009A&A...504..291V 
IPHAS J235823.44+631403.6        PN??           23 58 23.4 +63 14 03.6             2009A&A...504..291V 
Wray 17-6                        unk            07 35 23.5 -44 01 03.0             1992secg.book.....A 
IRAS 16328-4517                  PPN?           16 36 25.7 -45 24 03.6             1993A&A...274..895V 
WKK98 168                        PN??           11 01 26.7 -70 26 03.8             2001A&A...380..441W 
PN G041.1+00.0                   notPN?         19 06 28.3 +07 22 03.0             CornishCandidates   
PM 1-21                          PPN?           06 53 28.8 +30 55 03.7             1988A&AS...76..317P 
WKK98 1018                       PN??           12 26 29.9 -54 07 03.0             2001A&A...380..441W 
SNR 060715                       SNR            06 07 31.4 +28 55 03.9             ziggy               
PM 1-77                          notPN?         14 14 31.9 -59 29 03.8             1988A&AS...76..317P 
K 4-1                            star           18 16 32.6 +01 53 03.0             1992secg.book.....A 
